title
"Wall Hours: Per Job: by Node Count"
parameters
"Queue =  normal"
start,end
2015-06-01,2016-05-31
---------
"Node Count","Wall Hours: Per Job","Std Err of Wall Hours: Per Job"
1032,47.56242500,0.0009540716433357
496,47.55580000,0
162,47.21589091,0
3920,30.55983333,24.8959821077337
280,30.17238889,4.31334173463014
2400,25.07110000,0
441,24.14470000,0
1312,24.07420000,0
3344,24.07110000,0
2192,24.07000000,0
2016,24.05720000,0
2272,24.00030000,0
304,23.86800000,11.8369854600646
690,23.78310000,0
352,23.37890000,0
675,22.77060000,0
3800,22.38060000,0
2800,22.19875000,1.63819615921205
269,21.98018889,1.16443053485269
1250,21.81947273,0.329927319401269
448,21.78387917,1.19101664645687
1058,21.02868750,2.15119396530055
537,20.94821304,2.00513064845379
1500,18.69643636,1.9221977563304
110,18.62240583,0.216551439242307
285,18.57821667,2.25472027216709
130,17.88999364,1.29332434141492
114,17.75513750,1.66563779512955
1125,17.39984000,7.18932640889119
184,17.24012500,8.12530936109768
180,17.23598958,0.846620699401059
24,17.19374242,0.73659169640525
56,16.81262000,0.760435286932372
51,16.64066182,1.19611800796624
525,16.52470000,0
345,16.36848235,2.48893927519763
1600,16.13350000,4.59833747133535
254,16.04953333,6.50864997719242
297,16.03390000,0
100,15.85896774,0.218171252592088
90,15.48683371,0.309357306830162
3,15.31520750,0.168351169846943
123,15.07023333,8.6607980992388
722,14.97885238,1.46857148436349
160,14.88290061,0.333936204920995
560,14.43093158,2.55741622977387
908,14.19949620,1.51437942501113
249,14.02225000,7.03708740265845
1200,13.89239583,2.76776696015841
58,13.70553387,0.890542377850736
3600,13.45640000,0
108,13.39927438,1.62947432167331
1774,13.18810667,2.43883979185093
576,12.88675417,2.05989199831366
800,12.77475982,0.513833947873023
2,12.75094999,0.0623755549221191
259,12.38653125,2.7907682063749
120,12.37954304,0.431465724010425
616,12.33597500,10.326515097441
76,12.32025385,0.574430317590142
75,12.31803525,1.48480799663174
14,12.19370972,1.04103876280343
3488,12.13860000,8.53301108196866
8000,12.09250000,0
4080,12.00835000,8.49019183799681
2304,11.98687778,1.95146778847377
68,11.91940345,0.791903646649965
1920,11.82416000,4.27020287487522
65,11.78811126,0.843428459182322
400,11.74274295,0.622562592336119
176,11.60940000,6.22496128503753
424,11.54250000,1.41761028219836
29,11.53505556,1.84946512729544
470,11.52080000,0
900,11.46190909,2.95269439096478
336,11.46158000,4.75466503902571
4608,11.37805000,3.28136830180624
1028,11.23975714,3.70323682941073
960,11.20679412,1.55731041443898
220,11.11747857,1.80054077516154
48,11.00429024,0.236922275401732
1754,10.98964667,2.03380855767975
625,10.91962973,1.61333953285596
4112,10.67070000,3.89075915662601
9,10.52247818,0.471064517376508
1074,10.51555000,5.31331820496592
4096,10.47324071,0.656694896612167
30,10.47082387,0.244911762605722
28,10.46749126,1.03069631880035
2160,10.45364286,2.81976815717274
26,10.41272182,0.194611555459131
27,10.24345263,2.71363737431644
288,10.15093636,2.21472620612393
1800,10.05060000,0
650,10.02360000,0
72,9.90644072,0.753163273851763
8,9.83086556,0.0714013365848772
300,9.64659551,0.584069502384071
252,9.64173699,1.15875809322826
283,9.55420000,0
377,9.53110000,0
70,9.52393893,0.371819752998984
1026,9.25445000,2.76733341363527
360,9.14606697,0.905651709205368
38,9.13683241,0.936026171606785
600,9.12723810,0.856932107441633
320,9.12641087,1.84645548530496
150,8.91267660,0.597323075559044
1344,8.78730000,6.23232665878866
3375,8.75690000,0
62,8.69880000,1.30429513947526
2900,8.68055000,2.78639355497566
13952,8.63524400,1.72012887102058
