title
"Wall Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  compute"
start,end
2015-06-01,2016-05-31
---------
"Node Count","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
28,16.11772037,1.6363723049003167
46,15.30714615,3.3909062689208644
22,11.81343771,0.6174086108763488
55,11.78745000,2.4121750418236
6,11.29576948,0.17762966710162356
40,10.51942124,0.4760773339818071
67,10.06498750,1.8382167663762494
5,10.06385758,0.23350455752269517
35,9.81635745,2.4015293999805647
11,9.62108602,0.6587882895076846
3,9.26573018,0.137357299543629
27,8.62848511,2.6007579431961614
43,8.10004650,0.7751816043074506
7,7.91693489,0.3084777283407725
26,7.88087981,1.0413737247416055
45,7.80323115,1.2658128205926995
18,6.96030436,0.3676763654569639
21,6.88325308,0.7836200794042109
60,6.76743273,0.440807403436985
14,6.68872174,0.6105461673280409
16,6.39749767,0.17312047697300997
8,6.38874524,0.09792631703191719
17,6.36527801,0.7560247343387122
30,6.20505174,0.39359106615068395
20,6.20109543,0.20244252668567023
42,6.06335527,0.6345993684876379
15,5.99023976,0.27139916264801683
12,5.88948771,0.1266584083547357
19,5.57390361,1.0865443699968436
24,5.11360240,0.275656560170823
41,4.82351707,2.114090120507046
10,4.81507078,0.10622171696325497
9,4.74130244,0.2667942119530006
72,4.59439402,0.2636118681278846
70,4.57998937,0.5980727014518936
38,3.97155000,2.8889063162775206
4,3.96679527,0.04004902266428647
51,3.90381304,1.7344892861755434
32,3.89333658,0.23934051471528006
62,3.85586512,1.8611099762184735
2,3.82911786,0.03473462770233045
50,3.67394510,0.4968188714638559
64,3.67005597,0.24915638183955136
25,3.49803383,0.2351499566878978
1,3.29408509,0.013140380790769178
71,3.02815135,1.8794325042306574
54,2.97364486,0.5908199974989269
56,2.84341607,0.7997236936935166
23,2.80763667,1.0427331418610706
48,2.79282133,0.2591566484735877
65,2.76144634,1.012011545069939
33,2.71552110,0.4502102481821841
36,2.30519272,0.2560712656013141
52,2.21577297,1.007029123197293
34,2.10955570,0.5268123119713325
53,2.05332000,0.6248659427852463
13,2.00543072,0.25936100941825874
49,1.85127027,0.8029200028909358
58,1.81441591,1.1147909785087926
44,1.32488214,1.0408172429017784
39,1.21089333,0.45044096608010964
31,1.14710000,0.6687434797813596
37,0.78399615,0.5174870634572499
29,0.58982195,0.15616220824625196
57,0.55733200,0.3988757035889504
61,0.42161481,0.29482030885396965
68,0.26157727,0.08175021218548695
66,0.12323333,0.045570086176771725
59,0.09500000,0.03893438311148136
69,0.06433182,0.0006028056256714291
63,0.05648889,0.0015942187127280603
47,0.04790000,0.00038415134854377506
---------
