title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2015-06-01,2016-05-31
---------
"Node Count","Number of Jobs Running"
1,363974
2,107071
4,87318
8,78994
6,54634
16,37920
3,34410
32,13455
10,10827
5,10778
64,10695
9,8737
20,5235
12,4931
128,4124
36,3931
256,3805
54,2546
7,2320
24,2292
11,1929
15,1694
40,1581
14,1456
30,1438
17,1374
48,1316
13,1218
18,1214
110,1213
80,1143
217,776
163,757
60,679
25,669
100,545
22,537
181,441
50,419
96,414
28,381
42,375
91,346
34,337
21,327
56,326
63,315
160,313
45,312
72,283
75,236
35,225
125,223
144,214
23,208
19,205
200,203
57,187
26,173
188,164
120,161
65,154
224,153
127,148
250,146
140,145
38,141
47,133
55,133
33,127
27,126
216,119
255,118
44,117
90,116
108,115
62,114
39,109
192,108
43,105
150,104
70,102
41,87
179,81
79,77
53,76
29,71
68,71
66,69
76,69
126,69
52,67
84,60
88,60
112,54
240,54
138,53
142,52
165,49
81,46
225,45
46,44
73,44
118,43
135,42
129,41
67,40
116,40
37,38
103,37
252,37
58,36
113,36
124,36
130,35
132,33
168,33
185,33
119,32
98,30
136,30
172,29
31,27
51,26
82,26
105,26
156,26
158,26
180,26
203,25
151,23
49,22
83,22
211,20
157,17
166,17
176,17
238,17
205,16
248,16
59,15
109,15
123,15
243,15
122,14
133,14
208,14
78,13
85,13
196,13
220,13
69,12
86,12
94,12
95,11
99,11
190,11
244,11
152,10
253,10
71,9
186,9
254,8
161,7
175,7
247,7
61,6
77,6
115,6
234,6
162,5
170,5
204,5
223,5
230,5
249,5
74,4
93,4
97,4
131,4
141,4
195,4
210,4
218,4
87,3
101,3
102,3
104,3
134,3
148,3
153,3
155,3
227,3
251,3
92,2
106,2
107,2
114,2
143,2
145,2
178,2
189,2
213,2
226,2
233,2
235,2
236,2
241,2
89,1
137,1
173,1
182,1
183,1
199,1
201,1
206,1
209,1
214,1
215,1
219,1
229,1
232,1
239,1
245,1
288,1
390,1
---------
