title
"Wall Hours: Per Job: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2015-06-01,2016-05-31
---------
"Node Count","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
123,31.51770000,5.010944731761882
118,28.16384651,3.132630520705513
127,23.54450280,1.489358456546005
155,23.40340000,0
18,22.48502053,0.6119770756802299
39,20.26299717,1.4835640897238846
38,19.58580791,1.5699933977470477
234,19.49320000,8.567772231333892
43,18.17998762,2.14969079483233
252,17.47441944,2.524464546987611
132,16.93586364,3.5572298425204645
56,16.66935492,1.0268628013479375
116,16.43246667,2.961874807033524
62,16.31848378,1.8935418155697956
45,16.23528026,1.0445908323269446
52,15.83627692,2.046966812957148
65,15.66916928,1.646348243147523
69,15.58979167,5.57854040708493
126,15.58451594,1.4261792821014332
179,15.44491795,1.80833704166143
21,15.26493323,0.8707590472601292
28,14.18849920,0.8000121600058592
90,14.03504375,1.4676611775973984
19,13.85143547,0.8109765547176369
205,12.86781250,3.915830174944449
15,12.62181446,0.3812946202071692
30,12.10556365,0.4089521611352083
26,12.07197427,1.3715916218023094
70,11.89073627,2.3930951497898456
85,11.75563077,4.862778996049235
25,11.68694341,0.5627072012961546
238,11.28622941,2.211507656696739
35,11.05633710,1.0978303650151817
46,10.97369773,2.699373899807634
94,10.80288333,2.3160658388758293
29,10.57970423,1.787467677744411
50,10.48084952,0.652718907805755
55,9.99743561,1.3935356830071124
152,9.90958000,1.3367426148241988
138,9.84541132,2.4801704762041616
40,9.67922934,0.3146126059711721
10,9.62718918,0.11778744304281948
7,9.33492683,0.27003349700435975
119,9.28685625,1.7682173485616244
12,9.28421002,0.19582558813388518
24,9.00569222,0.2846601692805436
96,8.83454390,0.7744781749282922
224,8.62409732,0.7121144561396997
66,8.55098986,1.2524066610180555
5,7.97825160,0.1269224850397519
3,7.85620788,0.061283603534483526
196,7.79736667,2.5481188941084594
48,7.73371314,0.34642984260065457
