title
"Number of Jobs Running: by Node Count"
parameters

start,end
2015-06-01,2016-05-31
---------
"Node Count","Number of Jobs Running"
1,2285648
2,106868
8,53248
4,48154
16,38048
64,26106
10,25829
6,15742
32,14737
112,11820
30,10107
5,9997
20,8714
3,8126
128,6251
100,4591
256,4264
40,3824
12,3534
512,3299
14,3287
96,3260
61,2880
80,2742
50,2676
60,2518
28,2477
15,2455
384,2229
48,1904
54,1901
1024,1881
7,1671
160,1168
17,1100
70,1062
26,1051
200,964
240,957
18,925
1152,902
9,871
400,855
24,834
110,830
90,823
192,818
768,782
25,728
120,697
2048,602
352,579
72,506
36,454
19,451
65,444
300,409
4096,398
8192,343
52,330
250,309
13,305
1000,301
168,294
144,286
21,280
800,276
150,272
101,271
600,259
1488,259
500,248
210,236
33,213
11,204
208,201
108,199
56,198
38,184
782,182
908,175
68,174
180,174
1754,167
76,166
75,160
22,155
129,153
58,151
130,135
23,130
151,122
125,118
63,117
360,116
501,116
41,115
114,114
43,113
207,106
672,102
45,100
864,99
31,95
42,94
448,88
27,81
320,81
35,79
51,79
625,78
648,78
29,76
71,76
252,76
34,75
44,74
113,71
177,70
86,67
2000,67
55,65
296,65
576,65
1425,65
288,64
338,63
216,61
1046,61
88,58
98,58
528,57
163,56
696,56
46,55
92,54
66,53
170,53
1013,53
49,52
37,50
257,50
513,50
59,49
62,44
220,44
140,43
132,42
222,42
53,41
81,40
280,40
84,39
95,39
196,39
1200,39
69,38
330,38
722,38
124,37
1008,37
173,36
1500,35
2154,33
104,32
450,32
22425,32
39,30
47,30
57,30
74,30
93,30
236,30
1400,30
3200,30
4000,30
82,29
105,28
224,28
78,27
83,27
97,27
1536,27
67,26
159,26
261,26
1520,26
102,25
324,25
2475,25
13952,25
16384,25
79,24
13865,24
272,23
354,23
537,23
91,22
94,22
99,22
175,22
507,22
750,22
1120,22
1620,22
77,21
122,21
432,21
560,21
401,20
520,20
5625,20
183,19
259,19
700,19
875,19
900,19
938,19
1032,19
73,18
85,18
87,18
89,18
126,18
315,18
345,18
957,18
1250,18
1774,18
313,17
960,17
3060,17
7700,17
380,16
3000,16
8300,16
136,15
189,15
2560,15
3920,15
138,14
148,14
154,14
156,14
162,14
188,14
436,14
1237,14
2160,14
16320,14
201,13
823,13
1440,13
2500,13
3072,13
255,12
285,12
301,12
615,12
640,12
807,12
1002,12
4200,12
6000,12
116,11
152,11
225,11
248,11
902,11
1350,11
1744,11
109,10
111,10
134,10
176,10
269,10
290,10
293,10
751,10
1026,10
26862,10
375,9
420,9
424,9
934,9
1241,9
2304,9
103,8
165,8
204,8
214,8
274,8
877,8
893,8
928,8
1028,8
1058,8
1074,8
2016,8
3040,8
121,7
135,7
228,7
391,7
426,7
480,7
578,7
896,7
1040,7
1230,7
1296,7
1600,7
4112,7
5184,7
106,6
118,6
123,6
147,6
184,6
185,6
238,6
262,6
266,6
336,6
388,6
464,6
638,6
1001,6
1004,6
1251,6
1280,6
3024,6
16500,6
18975,6
22380,6
212,5
258,5
260,5
264,5
282,5
304,5
308,5
344,5
440,5
456,5
544,5
608,5
894,5
1044,5
1125,5
1156,5
1216,5
1368,5
1920,5
2100,5
3260,5
6250,5
8640,5
20250,5
26650,5
26860,5
107,4
115,4
117,4
119,4
127,4
167,4
346,4
416,4
588,4
616,4
704,4
1025,4
1240,4
2800,4
4500,4
5000,4
6400,4
7168,4
9950,4
12000,4
20550,4
26861,4
164,3
215,3
218,3
253,3
254,3
270,3
284,3
319,3
368,3
370,3
372,3
376,3
396,3
454,3
518,3
860,3
930,3
1056,3
1344,3
1512,3
1664,3
3125,3
3459,3
3600,3
4590,3
5596,3
22600,3
142,2
146,2
158,2
172,2
190,2
193,2
198,2
232,2
244,2
249,2
294,2
303,2
316,2
328,2
333,2
342,2
348,2
356,2
364,2
379,2
392,2
598,2
609,2
663,2
690,2
720,2
736,2
832,2
1048,2
1171,2
1210,2
1232,2
1307,2
1392,2
1676,2
1792,2
2049,2
2056,2
2162,2
2432,2
2700,2
2900,2
2916,2
3038,2
3488,2
3500,2
3750,2
3813,2
4032,2
4080,2
4100,2
4227,2
4608,2
5738,2
6045,2
8064,2
9728,2
20600,2
26851,2
145,1
166,1
174,1
178,1
182,1
186,1
194,1
235,1
237,1
243,1
283,1
292,1
297,1
312,1
332,1
340,1
350,1
362,1
365,1
377,1
386,1
441,1
470,1
472,1
473,1
496,1
504,1
514,1
523,1
525,1
540,1
550,1
568,1
579,1
605,1
650,1
666,1
675,1
712,1
831,1
880,1
901,1
968,1
992,1
995,1
1036,1
1100,1
1119,1
1188,1
1284,1
1312,1
1331,1
1408,1
1540,1
1563,1
1646,1
1728,1
1800,1
1856,1
2001,1
2050,1
2052,1
2109,1
2176,1
2192,1
2272,1
2376,1
2400,1
2576,1
2736,1
3108,1
3344,1
3375,1
3397,1
3400,1
3691,1
3800,1
4066,1
4079,1
4104,1
4176,1
4225,1
4228,1
4290,1
4460,1
4528,1
4837,1
4864,1
5001,1
5120,1
5579,1
5600,1
6144,1
6519,1
6708,1
7000,1
8000,1
8128,1
8580,1
9092,1
10000,1
10151,1
15813,1
22000,1
22127,1
22460,1
22634,1
22635,1
22636,1
25421,1
25422,1
26560,1
26693,1
26747,1
26852,1
26853,1
26863,1
---------
