title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  compute"
start,end
2015-06-01,2016-05-31
---------
"Node Count","Number of Jobs Running"
1,493168
2,113974
4,55321
3,15300
8,15212
10,9296
12,8328
6,6712
16,5503
5,4074
20,2800
32,1972
24,1680
7,1488
9,1442
72,1301
40,1293
18,1225
64,1179
15,1170
25,1011
30,866
60,782
22,716
11,622
48,601
13,485
36,453
14,394
42,393
43,290
21,262
70,259
50,255
17,193
45,123
28,111
33,109
54,108
26,104
19,83
34,79
56,56
27,47
35,47
58,44
62,43
29,41
41,41
65,41
46,40
49,37
52,37
71,37
31,36
55,36
53,35
23,31
44,28
61,27
37,26
57,25
67,24
51,23
68,22
69,22
59,20
39,15
38,9
63,9
66,9
47,7
---------
