title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[10] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[16] Number of Jobs Ended","[5] Number of Jobs Ended","[20] Number of Jobs Ended","[7] Number of Jobs Ended","[32] Number of Jobs Ended","[24] Number of Jobs Ended","[40] Number of Jobs Ended","[72] Number of Jobs Ended","[18] Number of Jobs Ended","[9] Number of Jobs Ended","[15] Number of Jobs Ended","[30] Number of Jobs Ended","[64] Number of Jobs Ended","[25] Number of Jobs Ended","[11] Number of Jobs Ended","[42] Number of Jobs Ended","[22] Number of Jobs Ended","[14] Number of Jobs Ended","[48] Number of Jobs Ended","[21] Number of Jobs Ended","[36] Number of Jobs Ended","[50] Number of Jobs Ended","[17] Number of Jobs Ended","[13] Number of Jobs Ended","[60] Number of Jobs Ended","[70] Number of Jobs Ended","[26] Number of Jobs Ended","[19] Number of Jobs Ended","[54] Number of Jobs Ended","[43] Number of Jobs Ended","[71] Number of Jobs Ended","[33] Number of Jobs Ended","[56] Number of Jobs Ended","[28] Number of Jobs Ended","[29] Number of Jobs Ended","[51] Number of Jobs Ended","[65] Number of Jobs Ended","[35] Number of Jobs Ended","[27] Number of Jobs Ended","[41] Number of Jobs Ended","[58] Number of Jobs Ended","[52] Number of Jobs Ended","[55] Number of Jobs Ended","[67] Number of Jobs Ended","[44] Number of Jobs Ended","[45] Number of Jobs Ended","[34] Number of Jobs Ended","[49] Number of Jobs Ended","[68] Number of Jobs Ended","[23] Number of Jobs Ended","[31] Number of Jobs Ended","[38] Number of Jobs Ended","[46] Number of Jobs Ended","[37] Number of Jobs Ended","[39] Number of Jobs Ended","[57] Number of Jobs Ended","[63] Number of Jobs Ended","[66] Number of Jobs Ended"
2015-08-01,1217,76,75,23,3,14,23,9,5,0,2,0,2,0,7,3,0,1,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,2099,129,44,13,8,23,9,6,3,1,2,0,0,0,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,1252,249,113,83,61,47,4,5,8,4,8,0,4,2,6,5,0,3,0,2,4,0,0,0,0,0,4,0,2,0,0,0,3,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,6,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-08-04,953,227,67,36,41,90,1,14,3,11,12,2,1,0,1,7,0,4,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,912,267,53,47,34,75,10,18,34,4,0,1,1,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,812,229,63,27,12,40,12,10,19,0,5,0,0,0,6,3,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,911,181,36,24,68,57,28,8,21,0,1,0,1,0,7,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,845,89,55,21,27,7,12,6,17,0,6,0,2,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,1477,130,64,22,31,9,17,15,7,2,3,0,5,1,10,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,2216,340,108,32,39,9,12,5,10,1,10,0,3,0,9,4,14,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
