title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2013-08-01,2014-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[16] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[64] Number of Jobs Ended","[6] Number of Jobs Ended","[25] Number of Jobs Ended","[12] Number of Jobs Ended","[10] Number of Jobs Ended","[9] Number of Jobs Ended","[7] Number of Jobs Ended","[18] Number of Jobs Ended","[96] Number of Jobs Ended","[24] Number of Jobs Ended","[128] Number of Jobs Ended","[33] Number of Jobs Ended","[48] Number of Jobs Ended","[5] Number of Jobs Ended","[40] Number of Jobs Ended","[20] Number of Jobs Ended","[35] Number of Jobs Ended","[15] Number of Jobs Ended","[11] Number of Jobs Ended","[60] Number of Jobs Ended","[41] Number of Jobs Ended","[38] Number of Jobs Ended","[19] Number of Jobs Ended","[14] Number of Jobs Ended","[21] Number of Jobs Ended","[36] Number of Jobs Ended","[17] Number of Jobs Ended","[65] Number of Jobs Ended","[13] Number of Jobs Ended","[23] Number of Jobs Ended","[31] Number of Jobs Ended","[43] Number of Jobs Ended","[30] Number of Jobs Ended","[126] Number of Jobs Ended","[256] Number of Jobs Ended","[45] Number of Jobs Ended","[61] Number of Jobs Ended","[34] Number of Jobs Ended","[63] Number of Jobs Ended","[37] Number of Jobs Ended","[46] Number of Jobs Ended","[57] Number of Jobs Ended","[26] Number of Jobs Ended","[29] Number of Jobs Ended","[42] Number of Jobs Ended","[49] Number of Jobs Ended","[50] Number of Jobs Ended","[81] Number of Jobs Ended","[117] Number of Jobs Ended"
2013-08-01,1521,251,21,3,1,0,0,12,4,0,0,1,23,0,0,33,3,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,1762,57,21,5,3,0,0,7,1,0,0,1,20,0,1,1,2,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,1832,132,14,4,0,0,1,11,3,0,0,3,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,974,66,14,4,12,0,0,6,0,0,0,3,14,0,1,2,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,1070,114,31,4,1,0,2,7,0,0,0,1,10,0,3,1,7,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,1959,237,44,0,2,1,0,7,0,0,0,2,5,0,0,2,5,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,1678,66,45,5,0,1,6,3,0,0,0,2,3,0,6,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,1225,77,23,0,2,0,2,2,0,0,0,1,2,0,2,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,1745,47,10,0,5,2,6,1,0,0,0,3,7,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,1934,58,13,1,3,0,5,0,0,0,0,0,25,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
