title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[32] Number of Jobs Ended","[16] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[9] Number of Jobs Ended","[10] Number of Jobs Ended","[24] Number of Jobs Ended","[5] Number of Jobs Ended","[20] Number of Jobs Ended","[31] Number of Jobs Ended","[22] Number of Jobs Ended","[11] Number of Jobs Ended","[18] Number of Jobs Ended","[7] Number of Jobs Ended","[17] Number of Jobs Ended","[15] Number of Jobs Ended","[30] Number of Jobs Ended","[14] Number of Jobs Ended","[25] Number of Jobs Ended","[28] Number of Jobs Ended","[13] Number of Jobs Ended","[26] Number of Jobs Ended"
2014-08-01,717,171,11,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,835,82,4,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,439,98,4,6,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,1677,238,34,19,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,2549,135,22,11,1,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,2882,189,16,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,796,284,5,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,948,280,23,7,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,600,91,9,4,1,5,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,270,117,2,3,0,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-11,717,215,22,0,0,9,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-12,342,168,42,17,0,7,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-13,407,235,14,1,3,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-14,393,191,27,5,1,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-15,459,117,16,2,0,5,3,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-16,368,58,20,3,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,528,75,11,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-18,411,154,15,17,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-19,592,131,27,7,6,2,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-20,651,246,31,2,2,3,1,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-21,435,156,26,6,3,5,6,0,4,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-22,493,190,13,4,1,16,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
