title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[16] Number of Jobs Ended","[3] Number of Jobs Ended","[64] Number of Jobs Ended","[6] Number of Jobs Ended","[9] Number of Jobs Ended","[5] Number of Jobs Ended","[32] Number of Jobs Ended","[10] Number of Jobs Ended","[20] Number of Jobs Ended","[12] Number of Jobs Ended","[31] Number of Jobs Ended","[256] Number of Jobs Ended","[7] Number of Jobs Ended","[40] Number of Jobs Ended","[128] Number of Jobs Ended","[36] Number of Jobs Ended","[30] Number of Jobs Ended","[15] Number of Jobs Ended","[181] Number of Jobs Ended","[66] Number of Jobs Ended","[24] Number of Jobs Ended","[48] Number of Jobs Ended","[14] Number of Jobs Ended","[13] Number of Jobs Ended","[25] Number of Jobs Ended","[11] Number of Jobs Ended","[100] Number of Jobs Ended","[50] Number of Jobs Ended","[60] Number of Jobs Ended","[18] Number of Jobs Ended","[136] Number of Jobs Ended","[45] Number of Jobs Ended","[192] Number of Jobs Ended","[96] Number of Jobs Ended","[80] Number of Jobs Ended","[200] Number of Jobs Ended","[125] Number of Jobs Ended","[17] Number of Jobs Ended","[63] Number of Jobs Ended","[150] Number of Jobs Ended","[250] Number of Jobs Ended","[144] Number of Jobs Ended","[26] Number of Jobs Ended","[1024] Number of Jobs Ended","[39] Number of Jobs Ended","[22] Number of Jobs Ended","[160] Number of Jobs Ended","[106] Number of Jobs Ended","[120] Number of Jobs Ended","[512] Number of Jobs Ended","[21] Number of Jobs Ended","[132] Number of Jobs Ended","[27] Number of Jobs Ended","[61] Number of Jobs Ended","[240] Number of Jobs Ended","[90] Number of Jobs Ended","[35] Number of Jobs Ended","[54] Number of Jobs Ended","[101] Number of Jobs Ended","[51] Number of Jobs Ended","[224] Number of Jobs Ended","[162] Number of Jobs Ended","[28] Number of Jobs Ended","[75] Number of Jobs Ended","[135] Number of Jobs Ended","[52] Number of Jobs Ended","[72] Number of Jobs Ended","[183] Number of Jobs Ended","[104] Number of Jobs Ended","[49] Number of Jobs Ended","[204] Number of Jobs Ended","[216] Number of Jobs Ended","[44] Number of Jobs Ended","[105] Number of Jobs Ended","[19] Number of Jobs Ended","[169] Number of Jobs Ended","[76] Number of Jobs Ended","[34] Number of Jobs Ended","[375] Number of Jobs Ended","[41] Number of Jobs Ended","[251] Number of Jobs Ended","[153] Number of Jobs Ended","[77] Number of Jobs Ended","[130] Number of Jobs Ended","[180] Number of Jobs Ended","[23] Number of Jobs Ended","[156] Number of Jobs Ended","[70] Number of Jobs Ended","[384] Number of Jobs Ended","[42] Number of Jobs Ended","[460] Number of Jobs Ended","[252] Number of Jobs Ended","[81] Number of Jobs Ended","[151] Number of Jobs Ended","[170] Number of Jobs Ended","[171] Number of Jobs Ended","[2048] Number of Jobs Ended","[38] Number of Jobs Ended","[108] Number of Jobs Ended","[112] Number of Jobs Ended","[208] Number of Jobs Ended","[65] Number of Jobs Ended","[29] Number of Jobs Ended","[73] Number of Jobs Ended","[225] Number of Jobs Ended","[123] Number of Jobs Ended","[202] Number of Jobs Ended","[139] Number of Jobs Ended","[211] Number of Jobs Ended","[400] Number of Jobs Ended","[69] Number of Jobs Ended","[312] Number of Jobs Ended","[345] Number of Jobs Ended","[84] Number of Jobs Ended","[94] Number of Jobs Ended","[196] Number of Jobs Ended","[88] Number of Jobs Ended","[113] Number of Jobs Ended","[127] Number of Jobs Ended","[210] Number of Jobs Ended","[220] Number of Jobs Ended","[4096] Number of Jobs Ended","[47] Number of Jobs Ended","[58] Number of Jobs Ended","[500] Number of Jobs Ended","[33] Number of Jobs Ended","[102] Number of Jobs Ended","[114] Number of Jobs Ended","[121] Number of Jobs Ended","[140] Number of Jobs Ended","[161] Number of Jobs Ended","[255] Number of Jobs Ended","[37] Number of Jobs Ended","[56] Number of Jobs Ended","[78] Number of Jobs Ended","[155] Number of Jobs Ended","[245] Number of Jobs Ended","[1000] Number of Jobs Ended","[55] Number of Jobs Ended","[99] Number of Jobs Ended","[201] Number of Jobs Ended","[165] Number of Jobs Ended","[168] Number of Jobs Ended","[67] Number of Jobs Ended","[85] Number of Jobs Ended","[93] Number of Jobs Ended","[110] Number of Jobs Ended","[116] Number of Jobs Ended","[117] Number of Jobs Ended","[142] Number of Jobs Ended","[372] Number of Jobs Ended","[768] Number of Jobs Ended","[2400] Number of Jobs Ended","[53] Number of Jobs Ended","[68] Number of Jobs Ended","[124] Number of Jobs Ended","[187] Number of Jobs Ended","[203] Number of Jobs Ended","[205] Number of Jobs Ended","[213] Number of Jobs Ended","[253] Number of Jobs Ended","[274] Number of Jobs Ended","[518] Number of Jobs Ended","[3000] Number of Jobs Ended","[43] Number of Jobs Ended","[46] Number of Jobs Ended","[57] Number of Jobs Ended","[91] Number of Jobs Ended","[111] Number of Jobs Ended","[133] Number of Jobs Ended","[149] Number of Jobs Ended","[185] Number of Jobs Ended","[190] Number of Jobs Ended","[197] Number of Jobs Ended","[236] Number of Jobs Ended","[241] Number of Jobs Ended","[243] Number of Jobs Ended","[300] Number of Jobs Ended","[450] Number of Jobs Ended","[3200] Number of Jobs Ended","[3500] Number of Jobs Ended","[5625] Number of Jobs Ended","[62] Number of Jobs Ended","[71] Number of Jobs Ended","[95] Number of Jobs Ended","[118] Number of Jobs Ended","[129] Number of Jobs Ended","[138] Number of Jobs Ended","[164] Number of Jobs Ended","[188] Number of Jobs Ended","[195] Number of Jobs Ended","[234] Number of Jobs Ended","[341] Number of Jobs Ended","[350] Number of Jobs Ended","[689] Number of Jobs Ended","[700] Number of Jobs Ended","[720] Number of Jobs Ended","[861] Number of Jobs Ended"
2013-02-01,5068,104,281,124,69,13,113,46,3,2,22,42,23,63,0,4,0,8,14,1,1,11,9,0,3,0,6,0,0,17,0,21,1,0,0,1,1,0,4,8,0,2,0,2,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,6717,87,180,46,40,7,107,29,1,2,13,59,9,21,0,0,0,13,3,0,2,2,10,0,7,0,0,2,3,0,1,8,0,2,0,1,0,0,4,7,0,6,0,0,0,0,4,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,8130,118,321,23,21,4,64,3,1,5,4,4,3,5,0,15,16,16,0,0,2,0,5,0,2,0,0,0,0,0,1,7,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,9055,214,473,122,134,107,29,48,1,14,18,46,10,10,0,13,0,7,1,0,0,11,3,0,5,3,5,0,4,4,0,0,0,0,0,6,2,0,1,1,0,3,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,7329,194,533,119,154,62,42,44,1,6,41,12,4,40,0,13,3,9,6,0,3,6,6,0,11,0,6,0,7,0,2,4,0,0,1,9,2,0,2,0,0,6,1,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2013-02-06,7464,192,520,56,224,242,72,42,1,8,17,16,11,24,0,23,0,27,14,0,9,22,1,0,32,3,5,1,3,0,0,0,0,5,0,6,8,0,8,0,0,5,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,6937,1566,416,121,195,29,61,24,4,6,26,25,15,35,0,19,17,8,7,0,22,33,10,0,7,0,2,9,11,2,4,2,0,4,0,4,4,11,9,0,0,4,9,6,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,5664,3119,241,135,137,46,58,21,2,10,8,19,16,33,0,32,5,15,1,0,3,50,17,0,10,1,2,7,9,4,0,1,0,4,0,0,1,0,4,0,0,5,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,4,0,0,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,5366,203,150,113,90,26,99,18,2,12,18,9,5,17,0,10,1,7,2,0,2,34,33,0,2,2,2,0,0,7,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,3529,456,726,32,105,125,94,10,0,17,45,8,2,9,0,8,0,2,12,0,2,12,12,0,7,2,2,0,3,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
