title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-02-01,2012-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[16] Number of Jobs Ended","[10] Number of Jobs Ended","[5] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[14] Number of Jobs Ended","[9] Number of Jobs Ended","[13] Number of Jobs Ended","[7] Number of Jobs Ended","[24] Number of Jobs Ended","[18] Number of Jobs Ended","[15] Number of Jobs Ended","[20] Number of Jobs Ended","[30] Number of Jobs Ended","[11] Number of Jobs Ended","[48] Number of Jobs Ended","[17] Number of Jobs Ended","[19] Number of Jobs Ended","[64] Number of Jobs Ended"
2012-02-01,718,107,9,82,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-02,904,166,26,201,8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-03,393,89,4,19,3,3,4,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2012-02-04,425,16,3,9,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-05,257,23,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-06,123,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-07,728,19,23,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-08,642,34,29,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-09,404,69,19,6,1,4,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-10,527,110,28,4,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-11,474,123,9,14,9,5,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-12,332,68,9,8,13,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-13,806,98,24,13,3,5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-14,729,116,29,14,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-15,1510,97,36,22,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-16,735,45,232,8,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-17,1079,78,8,11,4,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-18,3377,45,4,7,9,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-19,1373,30,2,14,8,7,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-20,2599,56,3,10,4,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-21,793,57,10,7,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-22,1631,100,25,14,4,14,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-23,2273,83,35,12,7,21,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-24,967,85,157,17,3,9,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-02-25,1588,82,49,34,2,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-26,1489,107,56,26,10,41,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-27,2374,94,67,4,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-28,2276,89,133,13,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-29,2070,122,66,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,439,95,30,28,30,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-02,749,59,9,2,8,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-03,826,50,22,3,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-04,923,68,17,6,27,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-05,1411,89,32,13,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-06,941,83,41,19,5,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-07,2768,70,26,17,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-08,2004,60,31,38,14,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-09,1567,75,17,61,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,1428,51,34,128,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,349,12,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,1125,91,14,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,2561,99,12,68,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,2578,45,13,16,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-03-15,1780,88,16,64,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-16,1725,147,23,43,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-17,1416,56,19,18,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-18,2529,59,9,62,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-19,2518,159,23,50,5,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2012-03-20,1235,170,17,89,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-21,1253,79,8,51,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-22,2057,132,18,83,5,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-03-23,2218,89,9,31,25,3,6,0,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
2012-03-24,691,36,7,9,50,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-25,910,43,17,10,44,2,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2012-03-26,1318,83,19,38,52,0,7,0,3,1,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0
2012-03-27,1146,90,9,10,28,1,3,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2012-03-28,738,65,29,29,43,5,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2012-03-29,861,94,40,19,43,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-03-30,1107,77,15,14,40,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-31,1046,65,19,10,83,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,1864,66,37,8,73,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-04-02,1518,94,49,9,27,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-03,1433,127,28,14,33,17,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-04,1088,117,30,85,41,5,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-05,887,122,29,83,21,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-06,902,109,24,10,71,9,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-04-07,212,52,13,20,49,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-08,1351,87,17,8,59,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-09,770,142,45,9,42,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-10,1248,67,26,6,42,0,10,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-11,1693,154,17,16,37,2,17,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-12,1116,102,8,28,42,1,1,1,1,1,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0
2012-04-13,356,100,35,30,33,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2012-04-14,255,41,35,12,27,1,1,1,1,1,1,0,2,1,1,0,0,0,1,0,1,0,0,1,0
2012-04-15,345,82,5,13,47,1,2,1,1,1,2,1,1,1,1,0,3,1,0,0,1,0,1,0,0
2012-04-16,862,142,9,13,40,7,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-17,570,100,34,3,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-18,487,122,40,16,22,8,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-19,527,157,6,10,13,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-20,820,81,10,14,29,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-21,359,15,17,8,56,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-22,368,92,39,20,56,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-23,681,123,24,6,20,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-04-24,589,71,43,16,1,6,5,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-04-25,693,90,22,19,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-26,576,121,21,14,6,6,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-27,983,99,39,14,4,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-28,1286,148,47,12,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-29,1139,116,32,12,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-30,717,691,35,15,0,1,5,0,0,5,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2012-05-01,1369,246,54,29,7,2,12,0,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2012-05-02,1323,139,72,15,4,33,16,0,0,4,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0
2012-05-03,1299,112,112,26,6,11,5,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-05-04,888,21,24,25,4,2,2,0,2,4,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0
2012-05-05,2263,19,9,15,4,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-05-06,1510,21,5,10,0,1,3,40,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-07,335,257,22,17,1,5,9,47,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2012-05-08,853,56,55,21,3,2,13,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-05-09,1777,98,44,86,11,2,11,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-10,2022,144,63,13,12,3,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-11,677,135,122,11,32,0,5,67,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-12,414,53,15,13,5,1,10,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-13,502,67,9,34,32,0,7,203,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-14,855,112,10,18,41,1,3,10,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
2012-05-15,2083,161,58,22,27,3,6,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-16,434,34,57,18,9,4,6,66,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-17,1273,140,43,31,38,0,3,65,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-18,744,94,25,20,16,1,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-05-19,1260,88,31,13,10,16,6,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-05-20,591,71,45,29,3,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-21,337,97,29,25,0,12,19,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-22,516,117,40,25,2,40,10,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-23,867,92,27,5,3,17,5,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-05-24,863,92,18,6,2,26,3,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2012-05-25,2969,103,31,10,2,26,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-26,1087,4,5,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-27,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-28,1783,75,7,3,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
