title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[16] Number of Jobs Ended","[32] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[9] Number of Jobs Ended","[12] Number of Jobs Ended","[5] Number of Jobs Ended","[7] Number of Jobs Ended","[10] Number of Jobs Ended","[15] Number of Jobs Ended","[20] Number of Jobs Ended","[14] Number of Jobs Ended","[24] Number of Jobs Ended","[30] Number of Jobs Ended","[21] Number of Jobs Ended","[18] Number of Jobs Ended","[26] Number of Jobs Ended","[11] Number of Jobs Ended","[13] Number of Jobs Ended","[27] Number of Jobs Ended","[23] Number of Jobs Ended"
2013-02-01,676,156,29,4,16,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-02-02,2519,104,23,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,344,49,18,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,1398,153,26,8,2,3,7,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2013-02-05,756,94,17,7,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,956,146,11,6,6,8,9,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
2013-02-07,1044,93,21,6,2,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,980,112,8,7,12,10,12,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2013-02-09,1255,32,12,4,2,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,379,58,5,2,0,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2013-02-11,566,104,5,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-12,1488,120,12,0,0,6,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-13,1452,68,11,5,4,10,11,3,0,0,0,0,1,0,0,0,3,0,1,0,3,0,0,1,0
2013-02-14,1091,143,19,2,2,3,2,5,4,12,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
2013-02-15,1079,90,9,3,0,2,5,39,3,6,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
2013-02-16,1018,34,8,0,0,1,0,19,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
2013-02-17,646,22,17,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-18,578,112,30,3,0,2,3,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-19,987,139,6,1,0,3,7,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-20,514,117,5,1,0,2,33,9,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2013-02-21,1082,168,2,2,0,2,13,27,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2013-02-22,767,120,7,2,0,0,4,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-23,991,40,9,4,0,0,2,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-24,790,52,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-25,572,109,10,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-26,385,95,7,2,0,0,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-27,764,123,35,7,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-28,1037,94,21,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,1179,74,8,8,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-02,848,66,16,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-03,777,95,15,2,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-04,533,158,41,26,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-05,429,139,36,18,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-06,303,159,15,9,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-07,517,111,9,7,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-08,634,127,10,13,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-09,437,63,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-10,20,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-11,849,113,5,5,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2013-03-12,423,149,15,10,0,0,2,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0
2013-03-13,945,105,25,9,0,0,1,0,0,0,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0
2013-03-14,1541,206,30,17,2,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-15,1500,136,28,21,2,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-16,741,54,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-17,2606,62,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-18,3104,99,20,12,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2013-03-19,984,133,27,22,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-20,1201,159,11,10,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2013-03-21,993,117,5,4,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-22,3258,137,2,7,2,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-23,2418,95,1,10,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-24,1970,88,0,13,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-25,1798,139,12,2,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2013-03-26,1004,116,15,11,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-03-27,925,103,29,21,6,1,2,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
2013-03-28,427,147,21,4,0,1,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2013-03-29,427,79,18,23,8,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-30,602,263,220,220,72,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-31,369,57,21,23,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,620,128,46,16,5,1,3,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2013-04-02,782,125,57,3,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-03,856,167,32,1,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-04-04,466,173,6,4,0,1,3,0,0,0,3,0,1,0,0,7,0,0,0,0,0,0,0,0,0
2013-04-05,1511,166,24,4,2,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-06,396,129,23,2,1,3,1,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2013-04-07,535,92,16,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-08,673,138,17,8,12,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-09,918,155,34,13,6,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-10,761,132,16,12,6,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-11,2118,162,7,3,1,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-12,2522,177,7,10,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2013-04-13,2405,49,12,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2013-04-14,4043,261,7,7,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-15,427,163,25,13,5,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-16,480,229,19,8,4,0,7,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2013-04-17,2308,193,3,5,3,0,6,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
