title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[16] Number of Jobs Ended","[10] Number of Jobs Ended","[256] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[12] Number of Jobs Ended","[6] Number of Jobs Ended","[64] Number of Jobs Ended","[5] Number of Jobs Ended","[20] Number of Jobs Ended","[128] Number of Jobs Ended","[15] Number of Jobs Ended","[200] Number of Jobs Ended","[7] Number of Jobs Ended","[30] Number of Jobs Ended","[9] Number of Jobs Ended","[14] Number of Jobs Ended","[45] Number of Jobs Ended","[1024] Number of Jobs Ended","[11] Number of Jobs Ended","[36] Number of Jobs Ended","[106] Number of Jobs Ended","[13] Number of Jobs Ended","[100] Number of Jobs Ended","[50] Number of Jobs Ended","[35] Number of Jobs Ended","[22] Number of Jobs Ended","[48] Number of Jobs Ended","[136] Number of Jobs Ended","[23] Number of Jobs Ended","[160] Number of Jobs Ended","[24] Number of Jobs Ended","[25] Number of Jobs Ended","[68] Number of Jobs Ended","[80] Number of Jobs Ended","[192] Number of Jobs Ended","[208] Number of Jobs Ended","[28] Number of Jobs Ended","[75] Number of Jobs Ended","[230] Number of Jobs Ended","[17] Number of Jobs Ended","[40] Number of Jobs Ended","[132] Number of Jobs Ended","[181] Number of Jobs Ended","[46] Number of Jobs Ended","[150] Number of Jobs Ended","[39] Number of Jobs Ended","[250] Number of Jobs Ended","[18] Number of Jobs Ended","[34] Number of Jobs Ended","[512] Number of Jobs Ended","[21] Number of Jobs Ended","[51] Number of Jobs Ended","[54] Number of Jobs Ended","[70] Number of Jobs Ended","[232] Number of Jobs Ended","[19] Number of Jobs Ended","[66] Number of Jobs Ended","[71] Number of Jobs Ended","[152] Number of Jobs Ended","[168] Number of Jobs Ended","[216] Number of Jobs Ended","[85] Number of Jobs Ended","[120] Number of Jobs Ended","[129] Number of Jobs Ended","[86] Number of Jobs Ended","[175] Number of Jobs Ended","[213] Number of Jobs Ended","[224] Number of Jobs Ended","[31] Number of Jobs Ended","[110] Number of Jobs Ended","[49] Number of Jobs Ended","[60] Number of Jobs Ended","[63] Number of Jobs Ended","[65] Number of Jobs Ended","[67] Number of Jobs Ended","[90] Number of Jobs Ended","[113] Number of Jobs Ended","[165] Number of Jobs Ended","[210] Number of Jobs Ended","[27] Number of Jobs Ended","[72] Number of Jobs Ended","[84] Number of Jobs Ended","[96] Number of Jobs Ended","[140] Number of Jobs Ended","[183] Number of Jobs Ended","[194] Number of Jobs Ended","[225] Number of Jobs Ended"
2013-01-07,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,588,31,16,6,1,0,4,3,13,4,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,6,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2013-01-09,145,90,85,50,46,16,74,15,12,26,26,5,17,6,1,24,0,16,0,16,16,0,13,16,5,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,173,380,78,6,35,4,59,18,7,3,6,2,2,17,4,6,0,2,2,5,0,0,3,0,6,0,0,1,0,0,0,4,0,0,3,1,1,0,0,0,0,2,2,0,1,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-11,1007,292,115,26,27,39,10,7,28,2,37,6,3,21,3,1,0,2,0,2,1,15,0,0,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-01-12,135,59,146,19,5,17,23,10,3,2,5,2,0,5,3,0,0,4,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,17,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-13,993,71,117,10,33,6,28,16,14,4,5,11,8,2,12,2,1,12,0,12,2,4,14,2,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,3202,163,79,18,10,3,3,8,2,2,4,2,0,2,3,0,0,2,0,2,0,0,4,0,2,0,0,0,0,6,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,1605,7,27,7,21,24,17,1,1,8,0,9,1,9,0,0,0,0,0,1,0,3,0,0,6,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,3270,226,183,77,84,30,22,14,66,17,9,4,0,8,1,0,0,11,0,3,0,3,0,0,10,0,0,0,2,12,0,0,1,0,1,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
