title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2011-08-01,2012-01-31
---------
Day,"[64] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[272] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[704] XSEDE Utilization (%)","[496] XSEDE Utilization (%)","[992] XSEDE Utilization (%)","[720] XSEDE Utilization (%)","[624] XSEDE Utilization (%)","[448] XSEDE Utilization (%)","[368] XSEDE Utilization (%)","[400] XSEDE Utilization (%)","[480] XSEDE Utilization (%)","[304] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[576] XSEDE Utilization (%)","[176] XSEDE Utilization (%)","[1440] XSEDE Utilization (%)","[288] XSEDE Utilization (%)","[640] XSEDE Utilization (%)","[336] XSEDE Utilization (%)","[528] XSEDE Utilization (%)","[736] XSEDE Utilization (%)","[672] XSEDE Utilization (%)","[768] XSEDE Utilization (%)","[1728] XSEDE Utilization (%)","[8] XSEDE Utilization (%)"
2011-08-01,2.639539897,1.505235392,4.021421204,0.389431458,0.087226054,0,0,3.609998881,0,3.094572856,0,41.832519633,0,0,0,0,3.799153646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-02,1.761555888,4.039180094,5.989614970,0,1.012410482,0,0,8.670681356,0,0.910689697,0,2.072301737,0,0,0,0,10.546875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-03,0.481119792,0,0.338103129,0,0,0,0,0.191948751,0,0,0,0,0,0,0,0,3.965820313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-04,5.691189168,1.497585653,1.715435791,0.749746806,0.006144206,0,0,1.291259766,0,0,1.230902710,0,0,0,0.007269999,0,1.916422526,0,0.001844584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0
2011-08-05,20.990162048,34.239917806,7.897732340,4.342845764,0,0,0,7.021592814,0,0,2.523003438,0,0,0.079730021,0,0,10.546875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-06,22.220739339,24.196026815,7.511560465,4.499674479,0.108194987,0,0,4.480468750,0,0,0,0,0,0,0,10.206886597,8.639770508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-07,16.108651632,23.364104004,6.805297750,3.021484375,0.738660990,2.094012248,0,6.206949870,0,0,0,0,0,0.123788350,0,13.635995382,6.583984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-08,15.261791178,34.445321554,6.774653931,2.108000590,0.355441589,0.109818115,0,9.369194845,0,0,0,0,0,0.223479106,0,0,10.546875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-09,22.831813863,27.365080668,5.937477417,0,1.030259908,2.806911825,0,10.167046407,0,0,0,2.223420308,0,0.011641846,0,0,5.787841797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-10,11.279350993,9.851047058,5.284704183,0.901041667,0.963473816,0,0,4.360243022,0,0,12.015335592,2.115184631,0,1.284925741,0,0,0.400512695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
