Day,[1] XSEDE Utilization (%),[4] XSEDE Utilization (%),[32] XSEDE Utilization (%),[64] XSEDE Utilization (%),[8] XSEDE Utilization (%),[16] XSEDE Utilization (%),[2] XSEDE Utilization (%),[60] XSEDE Utilization (%),[20] XSEDE Utilization (%),[5] XSEDE Utilization (%),[38] XSEDE Utilization (%),[12] XSEDE Utilization (%),[128] XSEDE Utilization (%),[10] XSEDE Utilization (%),[18] XSEDE Utilization (%),[6] XSEDE Utilization (%),[24] XSEDE Utilization (%),[30] XSEDE Utilization (%),[3] XSEDE Utilization (%),[26] XSEDE Utilization (%),[63] XSEDE Utilization (%),[19] XSEDE Utilization (%),[50] XSEDE Utilization (%),[120] XSEDE Utilization (%),[14] XSEDE Utilization (%),[15] XSEDE Utilization (%),[75] XSEDE Utilization (%),[7] XSEDE Utilization (%),[48] XSEDE Utilization (%),[43] XSEDE Utilization (%),[40] XSEDE Utilization (%),[9] XSEDE Utilization (%),[73] XSEDE Utilization (%),[25] XSEDE Utilization (%),[23] XSEDE Utilization (%),[90] XSEDE Utilization (%),[37] XSEDE Utilization (%),[17] XSEDE Utilization (%),[22] XSEDE Utilization (%),[56] XSEDE Utilization (%),[28] XSEDE Utilization (%),[45] XSEDE Utilization (%),[33] XSEDE Utilization (%),[31] XSEDE Utilization (%),[96] XSEDE Utilization (%),[72] XSEDE Utilization (%),[102] XSEDE Utilization (%),[21] XSEDE Utilization (%),[11] XSEDE Utilization (%),[13] XSEDE Utilization (%),[27] XSEDE Utilization (%),[61] XSEDE Utilization (%),[78] XSEDE Utilization (%),[80] XSEDE Utilization (%),[81] XSEDE Utilization (%),[35] XSEDE Utilization (%),[74] XSEDE Utilization (%),[71] XSEDE Utilization (%),[58] XSEDE Utilization (%),[49] XSEDE Utilization (%),[84] XSEDE Utilization (%),[52] XSEDE Utilization (%),[44] XSEDE Utilization (%),[100] XSEDE Utilization (%),[36] XSEDE Utilization (%),[42] XSEDE Utilization (%)
2014-02-01,22.993344845,7.484000595,6.340243086,9.572386672,3.801809663,2.306805075,1.932703505,6.440932161,0,0,0,3.824851019,9.741552378,2.785336957,0,0.865051903,0,0,0.683781478,0,0,0,0,0,0,0.586738461,0,1.011738612,0,0,0,0,0,0.565229006,0,0,1.867996496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,19.618770575,9.423518974,8.383474317,6.878123836,5.037992862,4.149659311,0.846142221,8.650519031,0.114539292,0,0,3.901464168,8.071681828,0.912526282,0,1.541444396,0,0,0.683646314,0,0,0,0,0,0,1.576567118,0,0.918910733,0,0,0,0,0,1.174886988,0,0,3.848362972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,17.308196705,18.397331180,7.535349648,16.910589977,4.178494374,4.332548404,2.387102692,5.809364187,3.272078873,0,0,2.435821934,0,0,0,1.320515772,0,0.583559621,0.452990849,0,0.002417940,0,0,0,0,0,0,0,0,0,0,0.001261534,0,3.063391747,0,0,3.355108162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,18.647213399,19.180102980,9.831581866,9.417745316,4.614290965,4.844797974,2.646568252,8.151812592,3.591000006,0,0,4.284289696,0,1.565770640,0,1.470498126,0,4.333719791,0.092862909,0,0,0,0,0,0,0,0,0.686671668,0,0,0,0,0,0,0,0,2.786713681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,15.942006305,23.200057933,9.063768217,14.482143587,2.501775497,3.840029488,2.464069596,3.178064514,0.339512860,0,0,5.796288274,0,0.191633026,0,1.030112629,0,3.750911120,0.331838491,0,0,0,0,0,0,0,0,1.537085759,0,0,0,0.002643214,0,0,0,0,1.222116118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,16.631079918,13.525026432,4.548677867,29.506172844,0.138621939,2.765282621,1.766040743,5.214741138,0.007609265,0,0,2.961801538,0,0,0,0,0,5.453381324,0.262429114,0,0,0,0,0,0,0,0,1.009227220,0,0,0,1.151450163,0,0,0,0,1.507548179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,18.598474032,12.048851403,9.244361168,23.084924631,1.288406652,6.634467512,1.990877645,3.848880201,3.694358991,0,0,1.915509247,0,0.363208336,0,0.314512447,0,8.650519031,0.165986865,0,0,0,0,0,0,0,0,0.331958674,0,0,0,3.176843041,0,0,0,0,1.592936986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,19.140471401,20.069664687,7.237494143,10.617390735,2.154112714,5.832932834,3.556654817,3.623105709,5.767012687,0.147721279,0,5.062295714,0.883848084,1.331218762,0,0.385859217,0,3.215560121,0.362400692,0,0,0,0,0,0,1.185241253,0,0.059116874,0,0,0,3.368521122,0,0,0,0,2.777267157,0,0,0,0,0,0,0,0.794726375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,14.450313994,25.774735378,0,0.476526156,7.844285288,7.708173126,1.546086729,2.023160150,4.599459605,0.146503148,0,5.490896906,0,8.592081283,0,0,0,7.664570117,0.521203834,0,0,0,0,0,0,0.980241974,0,0.950449084,0,0,0,2.070117263,0,0,0,0,0,0,0,0,0,0,0,0,1.748526183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,20.659065586,7.365336236,1.220524145,9.449677483,9.039058145,9.225057670,4.089175775,7.411011803,3.651173152,0,0,5.827866686,0,13.349616471,0,0,0,8.650519031,0.123054647,0,0,0,0,0,0,0,0,0,0,0,0,0.674019608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-11,27.917247460,8.545945182,10.510754390,3.939617237,10.376057286,5.486244586,6.233459862,8.192762399,2.931564783,0.079454942,0,4.784557998,0,0.280123968,0,0,0,6.608335736,0.276606353,0,0,0,0,0,0,0.000400500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.251087322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,24.606643178,18.619574803,9.427410394,2.876671382,8.645926822,7.526271972,7.194675350,2.103057305,2.550000788,0.773023334,0,2.487705037,0,0,0,0,0,8.650519031,6.291600586,0,0,0,0,0,0,0.000275322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-13,21.276402067,18.909901090,4.604585826,7.120017954,7.790045971,7.772811764,6.925347860,4.406258035,3.977369807,1.573029454,0,2.610474337,0,0,0,0,0,8.453229114,5.904910371,0,0,0,0,0,0,0.811937303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,19.592237436,23.042820032,0,0,12.569110701,6.152761746,7.604013218,8.650519031,5.022340491,0.962436998,0,3.820986332,0,0,0,0,0,6.220764437,5.753931781,0,0,0,0,0,0,0.938916710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,25.418160270,20.052450380,0,4.877931565,11.724336794,9.972179495,5.803520356,1.141788427,1.632985698,1.210221617,0,3.411228066,0,0,1.707426230,0.229739351,0,5.136395857,6.362226480,0,0,0.620154095,0,0,0,1.748300946,0,0.481427065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-16,36.736642758,18.953687697,0,2.774360297,8.610884185,6.769458336,4.148674826,2.076525067,0.903799057,0.168688425,0,0.545723587,0,0.002836800,2.511534025,0.144165292,0,6.763874884,4.559869814,0,0,0.917105200,0,0,0,0.417232367,0,0.637436811,0,0,0,0,0,0,0,0,0,0,1.214520182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-17,26.011383129,17.475623746,0.002135935,3.168012303,9.162782005,3.543055067,5.007892885,8.650519031,7.588127163,0.494434570,0,1.899750096,0,0,1.799998799,0.035903671,0,6.252703287,0.813664403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067582180,0
2014-02-18,33.094819976,6.909902404,0,10.243068922,11.075134076,4.052314277,5.116398140,8.168132449,4.902661649,0.890816558,0,0.338071107,0,0.468019099,2.094627067,1.231527537,0,8.650519031,0.152310222,0,0,0,0,0,0,0,0,0,0,0.357406256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-19,25.862323723,8.805053683,0.015966065,18.491392208,9.573414635,1.428670613,5.391265717,10.774001210,0,2.657890332,0,0.887238870,0,1.017153521,2.248564254,2.760767118,0,7.147741666,2.932631079,0,0,0,0,0,0,0.346996948,0,0,0,0.001865606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-20,21.163574144,10.134984178,4.275492336,7.671408420,11.915369089,2.156942868,7.566961475,4.523400442,4.539019435,4.004652996,0,1.644659919,0,1.313180177,1.974300750,2.203689687,0,5.720756440,6.484510164,0,0,0,0,0,0,1.323459314,0,0.484429066,0.022987966,0.275248027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-21,23.200842112,7.133434256,14.444497834,0,9.852233629,2.505473331,3.808824844,10.093774029,5.767012687,3.130740318,0,1.746824126,0.003631078,1.441753172,1.403066128,1.968733968,0,6.170653527,3.387243901,0,0,0,0,0,0,0.842374327,0,1.009227220,0,0.246689975,0,0,0,0,1.540189545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-22,27.620175308,17.990436371,3.869451916,0,9.660881031,3.685468217,2.959195081,12.289744329,0.926593400,1.513607221,0,0.272891849,0,0.130325138,2.485582468,3.255548760,0,3.815890110,5.445256444,0,0,0,0,0,0,0.602382497,0,0.525674207,0,0,0,0,0,0,3.316032295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
