title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[67] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[71] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[58] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[37] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[57] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[38] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[66] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[63] XSEDE Utilization (%)"
2015-08-01,19.902828741,2.744503232,3.581783649,7.077411509,3.455513291,1.811025617,9.500675252,6.581365862,6.934556080,0.534510901,0.148058279,6.024250894,0,0,0,0,0.810670981,0,3.050308966,0,0,0.577124869,0,0.047077212,0,0,0,0.010259998,0,0,0,0.020980283,0,0,0,0,2.255433017,2.938090241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,20.733408216,2.167548394,1.278200429,4.460225512,0.465868019,2.921660637,4.360547585,0.002667016,2.154679667,0.487420937,0.003400564,7.100463713,0,0,0,0.153690466,0.820071120,0,3.357817419,0,0,0.329375319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.255615791,0.146360424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,22.943889982,2.461909986,1.870244067,4.920710913,4.075193832,2.949069213,1.780124178,6.637985310,0.970666463,1.129973330,0.048178759,5.999857896,0.005790677,0.001326221,0,0.069666095,0.588984348,0,1.762718116,0,0,0.577124869,0.218592721,0.002798181,0,0,0,0.004780226,0,0.005574502,0,0,0,0.001661420,0,0,2.255641906,0.001360224,0,0,0,0,0,0.493116283,0,0,0,0,0,0,0,0,0,0.006757407,0,0,0,0.003716334,0,0.001897034,0,0,0,0,0,0
2015-08-04,15.654352083,2.725359273,4.175993928,4.795691502,3.929120030,1.737252727,0.043843027,6.483604407,3.447898449,1.552515084,0.046126268,5.963265374,0,0,0,0.333559237,0.992862452,0,1.678889281,0.407581076,0.000209499,0.519793124,0.404242451,0.027588318,0,0,0,0.340095605,0,0,0,0,0,0,0,0,2.255198013,0,0,0,0,0,0,2.749154716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,12.652318592,2.947219590,3.340610554,4.134907784,4.768669115,4.227857451,0.095094430,3.777544596,2.305646642,1.649786493,0.557972384,4.898146925,0,0,0.000229538,0.118792137,0.727162761,0,1.678889281,1.154249738,0.005283024,0.577124869,0.148787573,0,0,0,0,0,0,0,0,0,0,0,0,0,2.255850795,0,0,0,0,0,0,0.597411682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,13.193379687,3.060141494,3.218612760,3.359495863,4.627878337,7.972698305,0.276247522,2.531129766,5.201953626,1.313804360,3.882209197,8.887674413,0,0,0,0,0.864903958,0,1.678908709,1.096443741,0,0.563324635,0,0,0,0,0,0.007549260,0,0,0,0,0,0,0,0,2.255563571,0,0,0,0,0,0,0.453159613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,13.744891279,3.881944435,3.266682206,3.113236454,1.579456686,11.760085111,0.785603941,0.602439664,4.877113210,1.453917454,5.745695856,5.014992841,0,0,0,0,1.557781713,0,1.015156815,0.488926298,0,0.577124869,0,0.045814752,0,0,0,0,0,0,0,0,0,0,0,0,2.255668020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,12.391792175,2.911116449,4.535817685,4.434483220,2.618230442,10.205705174,7.116051650,6.269324939,3.359857759,3.075545427,5.862019545,2.926151818,0,0,0,0.003534161,2.221110965,0,3.008025342,0.199241677,0,0.161234260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679342892,0,0,0,0,0,0,0.762237188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,12.411084423,2.857063212,3.899192608,4.971653814,2.841101201,5.661128600,13.846090325,3.133919203,1.172408768,2.216330739,7.285509202,3.435277486,0,0.000626676,0,0.183117522,1.524863006,0,3.445007970,0.206148466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.765999667,0,0,0,0,0,1.060738995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,13.070582827,3.274316468,2.510925540,4.370496677,3.717813629,4.660506779,4.625986168,2.865512417,2.046319372,3.022011994,5.335684589,5.109067136,0,0,0.004033316,0.157087997,0.508154075,0,7.650246790,0.710371242,0,0,0,0.003251793,0,0,0,0,0,0,0,0,0,0,0,0,0.011227948,1.824370409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
