Day,[1] XSEDE Utilization (%),[64] XSEDE Utilization (%),[16] XSEDE Utilization (%),[32] XSEDE Utilization (%),[4] XSEDE Utilization (%),[40] XSEDE Utilization (%),[2] XSEDE Utilization (%),[3] XSEDE Utilization (%),[8] XSEDE Utilization (%),[5] XSEDE Utilization (%),[9] XSEDE Utilization (%),[12] XSEDE Utilization (%),[35] XSEDE Utilization (%),[128] XSEDE Utilization (%),[48] XSEDE Utilization (%),[10] XSEDE Utilization (%),[11] XSEDE Utilization (%),[25] XSEDE Utilization (%),[15] XSEDE Utilization (%),[20] XSEDE Utilization (%),[41] XSEDE Utilization (%),[96] XSEDE Utilization (%),[19] XSEDE Utilization (%),[6] XSEDE Utilization (%),[33] XSEDE Utilization (%),[18] XSEDE Utilization (%),[30] XSEDE Utilization (%),[91] XSEDE Utilization (%),[45] XSEDE Utilization (%),[38] XSEDE Utilization (%),[14] XSEDE Utilization (%),[24] XSEDE Utilization (%),[62] XSEDE Utilization (%),[36] XSEDE Utilization (%),[100] XSEDE Utilization (%),[7] XSEDE Utilization (%),[21] XSEDE Utilization (%),[60] XSEDE Utilization (%),[31] XSEDE Utilization (%),[22] XSEDE Utilization (%),[93] XSEDE Utilization (%),[104] XSEDE Utilization (%),[106] XSEDE Utilization (%),[108] XSEDE Utilization (%),[23] XSEDE Utilization (%),[44] XSEDE Utilization (%),[110] XSEDE Utilization (%),[98] XSEDE Utilization (%),[112] XSEDE Utilization (%),[28] XSEDE Utilization (%),[13] XSEDE Utilization (%),[57] XSEDE Utilization (%),[69] XSEDE Utilization (%),[43] XSEDE Utilization (%),[72] XSEDE Utilization (%),[26] XSEDE Utilization (%)
2013-02-01,15.809838952,6.622132526,3.987942663,33.961777509,4.200194111,0,1.261030088,1.284752259,1.443662143,0,1.130499688,0.256291638,0,4.840232385,0,0,0,0.100538930,0,0,0,0,0,1.146664331,0,0,0,0,0,9.773514581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,11.656881368,27.492844624,8.864592682,4.530629220,1.505517409,0,1.134402746,0.427459804,1.001698040,0,0,1.384443483,0,0.152291862,0,0,0,0,0,0,0,0,0,8.106046953,0,0,0,0,0,4.050405305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,10.008262447,59.902601576,7.393684070,13.346736269,1.343653846,0,0.557127480,0.493244786,0,0,0.450412702,1.645861342,0,0,0,0,0,0,0,0,0,0,0,2.513035852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,18.086402240,22.110940316,11.164562758,12.425669627,1.164669576,0,0.687986629,0.124331162,0.528963207,0.187077499,2.272488346,3.460087466,0,0,0,0,0,0,0,0,0,0,0,7.303140619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,23.766183154,36.880793745,10.084849840,10.270248635,1.751656665,0,4.708018250,0.639853061,1.461417071,0.720876586,1.371692979,3.459606882,0,0,0,0,0,0,0,0,0,0,0,4.007012515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,22.868085892,25.596351876,5.085383814,14.130729617,2.483733570,0,7.321222569,0.688141805,1.700601256,0.046656747,6.659548010,3.459486736,0,0,0,0,1.513570539,0.147304109,0,0,0,0,0,0.865051903,0,0,0,0,0,0,0,0,0,0,0,0.270283665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,21.884038516,35.824789669,7.343543086,6.322194438,4.842034501,0,1.245247584,0.051928157,2.083213187,0,4.044643286,3.142921780,0,0,0,1.266473382,3.172738062,0,0,0,0,0,0,1.004761765,0,0,0,0,0,0,0,0,5.321213934,0,0,1.258286739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,14.430491653,36.215664911,5.873008241,4.857907190,3.844000993,0,1.043672431,0.083561611,0.989643406,0,1.952013649,3.064486428,0,5.597206190,0,4.325259516,1.554007999,0,0,1.123966744,0,0,0,1.724917512,0,0,0,0,0,0,0,0,3.489987174,0,0,1.009227220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,9.826072604,49.317890542,4.757945637,2.191892016,4.825834865,0,0.391112230,0.463809029,0.018662706,0.001393357,2.110486351,1.949150192,0,0,0.303969627,2.186859208,3.437885481,0,0,2.883506344,0,0,0,0.906221953,0,0,0.042852096,0,0,0,0,0,0,0,0,0.767736906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,5.143129821,23.537528272,5.674927387,1.670671549,7.485168640,0,0.349521668,0,0,0,4.238994617,0,0,0,0,0,0,0,0,0.751046623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.618537154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
