title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2011-08-01,2012-01-31
---------
Day,"[1] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[11] XSEDE Utilization (%)"
2011-08-01,27.889561976,0.287412620,4.661116450,5.868484244,0,6.031113304,0,1.280006878,0,0,4.409171076,0,0,0,0,0,0.600198413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-02,37.264538610,0,17.367663610,1.019865784,2.501224751,13.206324807,0,1.690978365,0.002510759,0,4.699977380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-03,32.051218665,3.745509190,13.515017763,4.292695473,0,14.209635704,0,0,0.001025764,0,6.613756614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-04,38.834358064,3.188157242,18.280260061,6.607428535,1.858220635,8.048645730,0.125814491,0.001469724,0.369941682,0,3.436193553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-05,26.607925255,3.317329707,14.770069938,8.194893571,0.148278816,0.949645601,0.848612317,0.021310994,3.323764858,0,1.824013850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-06,3.891914395,5.331177777,1.832725006,0.712734352,0.250506251,0,1.812567343,0.179673721,1.288427132,0,0.528284029,0.002194366,0,0,0.010900470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-07,5.391828509,9.535240702,6.094495081,1.193170722,0.119210896,0,2.645502646,1.152263374,4.333832408,0,2.204585538,0,0,0,3.267685656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-08,7.424822026,9.165523497,7.049518149,4.544589752,0,0.545022517,2.507869165,0,3.493621284,0,2.083741584,0.434691220,0,0,0.511586303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-09,24.613425983,10.891632392,9.910811196,3.538033177,0.004817421,1.535412189,0,0.007654792,0.958412963,0,0,4.409171076,0,0,1.373579248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-10,28.827911201,0.052256830,14.763578582,1.286008230,0,4.273813485,1.125624633,0,0.503671266,0,0,4.371560445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-11,33.843172100,0,62.099648300,0.523221634,0.030864198,7.174027456,2.645502646,0,1.322751323,0,0,4.409171076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-12,33.218275096,0,66.757963147,0,0.045887989,6.892473407,2.645502646,0,1.102353969,0,0,4.064245297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-13,35.014870905,1.785714286,20.757438467,0,3.483653400,3.725014697,2.645502646,0,1.327405467,0,0,4.409171076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-14,23.702190922,5.348487792,4.265689186,0.122517832,0,1.340204292,2.645502646,0,1.473581717,0,0,4.391054665,0,0,0,0,0,0,0,0,0,0.142287625,0,0,0,0,0,0,0,0,0,0
2011-08-15,25.765938120,31.148997373,4.659820280,5.472516167,10.478313423,1.988668832,2.224794239,0,0.764440035,0,0,1.823069782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-16,41.194400066,40.617773839,15.234870056,7.928669429,2.191684636,2.504919498,0,0,0.939337155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-17,79.035592746,15.792834293,10.711371815,0.339591658,5.553537212,3.106674383,0,0,0.095026822,0,0,0.798804988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-18,76.961755034,13.754654144,13.544291329,0.975289237,3.591923007,2.251404964,0,0,1.334141681,0,0,0,0,0,0.006736214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-19,63.432938345,44.759618538,10.947788066,4.512010915,0,2.149644396,0,0,3.993147413,0,0,0.597126288,0.001567323,0,0.007838565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-20,57.473477056,41.546475878,8.242128826,8.352562257,0.783036116,4.263035588,0,0,6.613756614,0,0,1.406852185,0,0.005715618,0.015921988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-21,54.905580242,14.302697747,7.535263149,7.652606348,7.195685557,5.060360806,0,0,5.841891374,0,0,3.104893376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-22,70.724617470,18.984747426,7.589969538,7.690410799,10.984224927,2.497836234,0,0.532346150,5.292061655,0,0,3.469415452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-23,85.170575500,6.858710582,5.614936584,4.310862866,6.801309719,2.294136721,0,2.276234568,3.365544797,0,0,1.773823819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-24,72.198779211,23.655692711,2.960309365,3.362646169,2.934384990,2.629539839,0,2.746301176,1.955329586,0,2.291033882,0.004643925,0,1.395216853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-25,82.927575174,8.397674564,4.140334155,7.297912935,0.075364216,2.115299824,0,1.884675662,1.322751323,0,4.409171076,0.334209025,0,0.808450050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-26,64.566062759,0.078875191,7.840924973,9.201572604,0.014288987,0.348967519,0,7.951205173,0.380015432,0,4.099916697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-27,86.843807239,2.367724925,7.529629170,6.266470608,0.035436646,0.247495327,0,3.626175779,0.552447664,0,2.204585538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-28,51.907927609,7.798190632,4.358363532,2.258516188,0,0,1.155294680,4.219882893,1.352467299,0,3.205681688,0.860706937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-29,43.650376674,14.204552871,3.665286791,0.189390260,0.030945836,0.237005691,2.645502646,0.832598471,1.060696546,0,1.892983677,1.232220420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-30,38.710745632,18.945718167,6.037390173,5.901757066,0,1.057480836,2.645502646,0,0.404832348,0,0,0.305324878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-31,39.986916990,23.985890595,14.333884193,3.059352323,0,0.623142407,1.181198560,0,0.624219209,1.545496158,0,0,1.510488086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,48.559446132,0.611405056,10.026080591,0,0,2.627973148,0,0,0.037845385,0.383516245,0,0,3.086419753,0,0.067729748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-02,42.321116542,5.756581090,11.823914242,0.430220792,0,3.835348635,0,0,1.028531011,0,0.033425995,0,3.086419753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-03,41.622798170,14.109347443,7.350726767,1.925378856,0,5.568129845,0,0,1.259124515,0,2.203615922,0,3.086419753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-04,28.911265891,1.443105331,3.418352715,0.673827493,0.775115970,4.652532805,0.206986067,0,1.322751323,0,0.206348173,0,3.086419753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-05,25.152376532,2.519433020,2.569271006,3.527336861,5.775932471,1.758136586,2.048121222,0,0.317751219,0,0,0,2.369327268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-06,23.563529897,14.844209289,3.487684921,4.434360475,0,6.658440290,0,0,0.065402704,0,0.231404953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-07,16.291190270,5.724247226,2.820736423,4.027287832,0,4.939455536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-08,0.156270266,0.945358946,0.071832745,0,0,0.049031590,0,0,0.348630688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-09,0,0,0,0,0,0,0,0,1.010404438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-10,4.186842356,0.873179150,3.121917714,1.303277484,0.321379600,0.499318186,0,0,0,2.761059613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-11,9.158495922,12.249003860,25.986909297,3.527336861,0.247485165,4.291776896,0,0,0.808991035,10.322930962,0,0,0,0.773237939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-12,17.033369100,4.832941388,23.194393291,1.753380364,0,5.384006249,1.168277220,0,1.316627455,19.220393220,0,0,0,3.509067391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-13,35.276471102,4.497844444,10.778586068,4.633712132,0.593850010,13.738630080,6.968143739,0,1.322751323,16.807413149,0,0,0,1.378988692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-14,25.789655844,0,11.848953281,6.570685557,0.055033000,14.125412384,12.650095589,0,1.872627028,18.987482834,0.000331721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-15,17.890054047,0,13.603844016,5.843376426,0,14.361772544,12.735278249,0,1.322751323,0,0.148988130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-16,22.837836659,0,15.255890090,5.175754439,0,19.163155635,10.856910113,0,1.086294195,0,0.000357212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-17,18.453524122,0,7.356844836,7.054673721,0,15.283697492,5.080681688,0,1.322751323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-18,6.251499520,0,3.953138262,3.850390281,0,5.853705369,6.485217048,0,0.054119532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-19,4.470697212,0,0.989144483,0,0,1.156937900,2.271212993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-20,24.484052924,10.757560925,7.367959679,47.117096274,0,3.875457222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-21,21.768064339,1.625677680,9.194668061,46.651438664,0,1.644008465,0.832965902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-22,43.943973731,14.109347443,7.811591584,23.936532451,4.493027022,9.719391224,5.291005291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-23,48.187142272,8.327454439,7.701775610,12.444123804,7.234429081,8.220202845,4.060050441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-24,18.104303018,0.939153439,6.146762130,4.725544372,5.428832706,2.271253812,0.563118490,0,0.001163550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-25,29.337576127,7.859919027,3.648313549,0.345589164,0,3.960762454,0,0,0.141414976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-26,48.030991650,14.113103390,5.561852747,2.214592921,1.044401960,0.012758005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-27,55.811837534,4.985629375,18.722233532,4.811572983,0.041478875,0.019065589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-28,85.507367105,0,15.797600676,8.695028258,0.042703626,1.009373565,0,0,0.207246312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-29,46.828015632,3.620582677,18.373863088,27.656362353,1.493320910,1.873652734,0,0.197616579,0.615538654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-30,30.872942444,0.896041563,21.311090501,38.582533195,5.551962942,0.786628787,0.000428689,0,1.378600823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
