Day,[1] XSEDE Utilization (%),[2] XSEDE Utilization (%),[8] XSEDE Utilization (%),[32] XSEDE Utilization (%),[4] XSEDE Utilization (%),[16] XSEDE Utilization (%),[6] XSEDE Utilization (%),[3] XSEDE Utilization (%),[30] XSEDE Utilization (%),[7] XSEDE Utilization (%),[12] XSEDE Utilization (%),[9] XSEDE Utilization (%),[21] XSEDE Utilization (%),[10] XSEDE Utilization (%),[5] XSEDE Utilization (%),[24] XSEDE Utilization (%),[15] XSEDE Utilization (%),[13] XSEDE Utilization (%),[20] XSEDE Utilization (%),[14] XSEDE Utilization (%),[26] XSEDE Utilization (%),[18] XSEDE Utilization (%),[11] XSEDE Utilization (%),[27] XSEDE Utilization (%),[23] XSEDE Utilization (%)
2013-02-01,36.353182468,11.182576483,6.813353243,0.637533471,7.498000315,6.499444720,0,4.976484421,0,0,0,0,0,0,0,9.600357614,0,0,0,0,0,0,0,0,0
2013-02-02,27.185098782,6.354996544,3.804134804,0,7.470107944,4.252890476,0,3.805233307,0,0,0,0,1.248928307,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,20.720658057,4.271353822,5.739801782,0,6.374538759,0,0.067425469,4.991457231,0,0,0,0,9.259259259,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,24.078606277,5.314566799,4.361609210,0.018126573,7.190092397,2.194869057,0.081501748,6.246727568,0,0,0,0,8.619148663,0,1.533156565,0,0,0,0,0,0,0,0,0,0
2013-02-05,40.423015643,5.509772112,4.646572271,1.233261455,7.495465788,4.847230375,0,4.394048997,0,0,0,0,9.259259259,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,42.334255642,5.746793017,4.158787340,6.173982676,4.899441333,1.644784146,0.063045003,6.342627039,0,0,0,0.053695149,6.159443606,0,0,4.893812463,0,0,0,0,0,0,0,0,0
2013-02-07,30.371369897,5.950329367,13.789192651,2.235776290,7.159029213,1.293111876,0.165343915,8.787164088,0,0,0,0,9.259259259,0,0,10.582010582,0,0,0,0,0,0,0,0,0
2013-02-08,32.569236387,5.777626557,19.261014775,2.315468038,11.856740750,5.033885341,0.118429474,9.916248657,0,0,0,0,6.767189624,0,0,4.566186538,0,0,0,0,0,0,0,0,0
2013-02-09,25.474941154,4.783552586,12.996766665,8.281893004,10.248189312,3.028365667,0.086079305,3.397955247,0,0,0,0,9.259259259,3.550403370,0,10.577846384,0,0,0,0,0,0,0,0,0
2013-02-10,8.777227952,2.385759468,6.351860004,5.156933823,2.938972709,0,0.058816677,1.335997954,0,0,0,0,1.369277263,2.341147383,0,6.883695884,0,0,0,0,0,0,0,0,0
