title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2010-08-01,2011-01-31
---------
Day,"[64] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[112] XSEDE Utilization (%)"
2011-01-21,4.378544617,0,0.230034688,0,0.001066996,0,0,0,0,0,0
2011-01-22,8.786874288,1.452835693,0.356065572,0,0,0,0,0,0,0,0
2011-01-23,6.489547221,3.123372396,2.343750000,0,0,0,0,0,0,0,0
2011-01-24,6.925582275,3.121455485,2.175618490,0,0.100260417,0,0,0.035120036,0,0,0
2011-01-25,3.563603109,1.670428263,0.003363749,0,0.618494263,1.567021077,0,0.008933716,0,0,0
2011-01-26,1.985315348,0.732313334,0.532769063,0,0.198006999,0,0,0.006040243,0,0.024016215,0
2011-01-27,6.598054097,4.566116842,1.115858256,0.586995443,0.627161153,0,0,0.027533671,0.014160156,0.002025452,0.002943217
2011-01-28,2.777633057,4.341254272,0,0.723266602,0.630533752,0,0.374190674,0.050699972,0.000786641,0.081597188,0
2011-01-29,1.413067729,9.313874410,0,0.743164063,0.177603353,0,0,0,0,0,0
2011-01-30,0.988950399,5.861979167,0,0,0.015620524,0,0.270453593,0.004204610,0.068562826,0,0
2011-01-31,1.410156250,5.793547465,0,1.949544271,0.058611857,0,0.903388163,0.210539653,0.089762370,0,0
---------
