Day,[1] XSEDE Utilization (%),[2] XSEDE Utilization (%),[8] XSEDE Utilization (%),[32] XSEDE Utilization (%),[3] XSEDE Utilization (%),[16] XSEDE Utilization (%),[4] XSEDE Utilization (%),[6] XSEDE Utilization (%),[20] XSEDE Utilization (%),[5] XSEDE Utilization (%),[28] XSEDE Utilization (%),[7] XSEDE Utilization (%),[24] XSEDE Utilization (%),[12] XSEDE Utilization (%),[10] XSEDE Utilization (%),[18] XSEDE Utilization (%),[9] XSEDE Utilization (%),[26] XSEDE Utilization (%),[22] XSEDE Utilization (%),[25] XSEDE Utilization (%),[23] XSEDE Utilization (%),[15] XSEDE Utilization (%),[13] XSEDE Utilization (%),[14] XSEDE Utilization (%),[30] XSEDE Utilization (%),[11] XSEDE Utilization (%)
2011-02-01,16.097597806,4.552754871,6.756034020,0,3.968253968,0,1.134769586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-02,2.402732825,11.468274464,7.054673721,0,1.422263845,0,3.561467117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-03,2.685741384,8.817382755,7.054673721,0,0,0,2.196889927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-04,8.407477793,8.718880553,7.069003527,5.588379366,0.469714506,2.788229178,1.763668430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-05,3.912312610,8.000951244,5.370696982,14.155888712,2.645502646,7.054673721,1.205132608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-06,0,6.439175887,0.513300999,9.618361729,2.007229203,5.562332647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-07,0,7.283542367,3.527336861,14.109347443,0.495143769,7.905153850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-08,0.016330238,8.582665815,3.596903763,0.557841780,5.551498487,5.237442015,0.227051872,0,0,0,0,0,0.119047619,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-09,0.043361958,12.032546113,3.527336861,0,7.173736612,0,0.011206643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,2.053632744,16.701817463,3.576572604,5.613038057,6.613756614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-11,7.433096914,6.923092632,3.546892338,14.109347443,6.613756614,0,1.753768176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-12,10.973635798,6.516958946,3.527336861,14.109347443,6.613756614,0,4.284101666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-13,5.717291414,6.091269841,3.527336861,3.986707153,4.309428909,0,0.634267412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-14,7.812423414,3.141922261,3.527336861,0,0.309591153,0,0.027863493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061085391,0,0,0,0
2011-02-15,9.347600963,2.859500558,3.540523555,0,0,0,0.008328453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221070958,0,0,0,0
2011-02-16,10.270301649,7.212148472,1.522878661,0,0,3.873211817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-17,6.187087674,3.766871222,4.847026278,0,0,11.944689418,4.198306545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-18,2.323905515,0.598044866,6.270372035,0,0,8.161212327,3.759961512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-19,0.884763443,0.087999706,9.907489046,0,0,9.976076171,2.558482774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-20,0.881834215,0.004929717,6.556519086,0,0.104855600,12.816970429,1.358677915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-21,0.523565469,0.005715618,3.450258005,0,0.708069989,13.064128925,1.759381775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-22,0.170794122,0.340210377,2.876698335,0,0.959683642,7.190378190,4.107020342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-23,2.058067290,0.754897050,7.131793396,0,1.322751323,4.803301941,4.387921283,0.506227954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-24,4.898043028,8.585707282,10.079691691,0,0.640125868,4.354627965,1.683915482,0.582194297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-25,3.570456372,21.158642435,8.304306233,0,0,1.944689418,0,1.337632275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-26,1.075358016,14.976668079,14.602684714,0,0,7.054673721,1.482400059,2.645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-27,3.507077179,13.405982637,7.589979814,0,0.117302322,3.640097335,0.901736743,1.309370694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-28,9.238283030,13.090267559,1.767220282,0,0,0,1.873101645,1.781274515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,21.357805783,16.854066599,5.366696061,0,0,0,1.984637311,2.645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-02,18.243531149,15.520210653,10.331218539,0.133091633,0.820764096,6.353615520,0.743659750,2.604258524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-03,20.036984793,20.574008683,6.613225906,14.028186085,0.140021839,12.705108094,0,4.065715021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-04,11.973474989,19.292756731,6.030847893,26.894963728,0.501512552,1.184025711,0,4.000802205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-05,5.614976427,12.440210836,2.348373487,18.234535234,1.872887272,0,0.075996943,7.801048384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-06,5.123114965,12.506328079,3.527336861,27.270886439,2.632811007,0,0,8.008463140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-07,7.463671588,10.796773956,1.996864609,7.004213170,2.866895048,0,0.032599275,3.837356702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-08,8.217531335,9.990906027,2.623497609,0.735351735,3.177619151,0,0,2.645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-09,4.810201490,7.556706763,3.899217774,2.780064002,2.682107951,0.364654810,0.042642425,1.619666109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-10,7.504051959,3.411830931,3.521580424,3.939512718,1.603866579,0.050133883,0,1.390848501,0,0,0,0,0,0,2.476790594,0,0,0,0,0,0,0,0,0,0,0
2011-03-11,12.917242041,5.746976847,0.946052988,13.828956829,1.995808245,0,0,1.517520312,0,0,0,0,0,0,3.947534940,0,0,0,0,0,0,0,0,0,0,0
2011-03-12,9.524361818,4.774325936,0,3.656509211,1.232761347,0,0,0,0,0,0,0,0,0,2.763897041,0,0,0,0,0,0,0,0,0,0,0
2011-03-13,4.699989995,5.115511715,0,0,1.322751323,0,0,0,0,0,0,0,0,0,0.482186530,0,0,0,0,0,0,0,0,0,0,0
2011-03-14,4.695228737,5.798978542,3.487858475,0,2.212852676,0.018698158,1.427571270,0.625765462,0,0,0,0,0,0,2.118341348,0,0,0,0,0,0,0,0,0,0,0
2011-03-15,16.151201269,9.220546278,6.385377857,0,4.473563345,0,4.562104036,2.645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-16,14.913741802,13.686516204,9.576556300,2.622313678,10.772783817,0,2.791964688,2.041660524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-17,9.312276441,9.031482745,20.155341527,22.844895179,26.624228395,0,2.880862533,0,0.068995375,0,0,0,0,1.239467018,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-18,5.309172626,8.251784164,9.065541467,19.891893670,27.636868019,0.864442504,1.778753537,2.342280276,0,0,0,0,0,0,0.112423643,0,0,0,0,0,0,0,0,0,0,0
2011-03-19,6.394017593,7.032515512,7.054673721,9.497844444,27.270233215,0,0,2.645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-20,6.908119133,7.064747414,17.375808405,0,28.146709025,0,0,1.530992798,5.481661121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-21,12.575546783,13.856207918,6.062528591,5.356489691,27.427294606,0,0.198351498,2.645502646,3.627665884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-22,11.976620198,11.571787850,7.927240525,14.439055496,27.745137683,0,1.807413149,2.585427690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-23,11.159623820,16.298531539,21.434409504,0,26.859858803,0,0.944399549,2.645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-24,11.136372561,15.397774574,6.885206370,0.401561180,25.341925074,0,0.273041938,3.278739241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-25,5.439196096,11.678016263,26.908640368,4.083545640,23.809523810,1.885737135,1.450780561,3.748162845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-26,3.548793334,4.323488251,2.174578660,9.016918185,23.809523810,5.710529766,2.016420086,2.622048267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-27,1.768965579,2.106011974,0,6.419753086,23.809523810,6.730028063,1.307625397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-28,4.764571794,3.254999070,2.075086519,5.888039722,11.541939197,0,0.508320301,0.683666490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-29,14.875704664,7.629601096,3.918569155,0,1.922995664,0.297129159,0.603178679,2.645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-30,15.850165975,5.132509829,3.227717324,1.220850499,4.513490858,4.214677660,0,2.436924339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-31,17.331597452,7.925638124,3.527336861,13.652589986,21.689523913,0,0,2.645502646,2.467604821,0,0,0,0,0.007777307,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,13.754639791,8.231901903,3.515538252,4.235090514,19.841269841,0,0,2.642593798,3.512639624,0,0,0,0,1.090228749,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-02,8.071790146,7.440496629,3.527336861,0.100104488,19.841269841,0,0,2.645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-03,4.588293651,2.249565168,3.432253890,0,20.125416403,0,0,2.071912375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-04,3.299274554,0.231165089,5.265897473,0,19.841269841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-05,1.760218656,0.057931628,12.332941388,1.281599059,19.841269841,0.140195335,0.174795042,2.050417666,1.459925515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-06,2.740157042,1.594793102,9.643428670,7.844568510,18.873732363,3.266460905,0,2.056143445,4.465816696,0,0,0,0,0.218805115,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-07,4.955061591,8.416597257,5.740740741,6.563622731,16.389378835,1.173819341,0,0.688963581,5.501563648,0,0,0,0,3.487470606,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-08,6.025708969,10.089101999,0.100594434,0.992553381,14.257024016,0,0.005001137,0,24.648388988,0,1.912294239,0,0,2.090069548,0,0,0,0,0,0,0,0,0,0.017932696,0,0
2011-04-09,8.712757718,5.600014697,21.027826749,0,10.691367210,0,1.174390868,0,23.238883148,0,0,0,0,1.439349383,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-10,27.186684763,3.454238545,21.864630238,0,4.743548487,0,2.792495453,1.956845238,0.099002195,0,0,0,0,0.688749265,0,0,0,0,0,0,0,0,0,0,0,0
