Day,[976] XSEDE Utilization (%),[96] XSEDE Utilization (%),[32] XSEDE Utilization (%),[16] XSEDE Utilization (%),[256] XSEDE Utilization (%),[128] XSEDE Utilization (%),[512] XSEDE Utilization (%),[64] XSEDE Utilization (%),[48] XSEDE Utilization (%),[112] XSEDE Utilization (%),[768] XSEDE Utilization (%),[384] XSEDE Utilization (%),[1904] XSEDE Utilization (%),[176] XSEDE Utilization (%),[576] XSEDE Utilization (%),[224] XSEDE Utilization (%),[1872] XSEDE Utilization (%),[80] XSEDE Utilization (%),[400] XSEDE Utilization (%),[1840] XSEDE Utilization (%),[192] XSEDE Utilization (%),[160] XSEDE Utilization (%),[1360] XSEDE Utilization (%),[144] XSEDE Utilization (%),[240] XSEDE Utilization (%),[416] XSEDE Utilization (%),[912] XSEDE Utilization (%),[1680] XSEDE Utilization (%),[480] XSEDE Utilization (%),[208] XSEDE Utilization (%),[880] XSEDE Utilization (%),[800] XSEDE Utilization (%),[1312] XSEDE Utilization (%),[640] XSEDE Utilization (%),[1024] XSEDE Utilization (%),[320] XSEDE Utilization (%),[1520] XSEDE Utilization (%),[448] XSEDE Utilization (%),[848] XSEDE Utilization (%),[496] XSEDE Utilization (%),[1856] XSEDE Utilization (%),[336] XSEDE Utilization (%),[960] XSEDE Utilization (%),[1600] XSEDE Utilization (%),[304] XSEDE Utilization (%),[368] XSEDE Utilization (%),[688] XSEDE Utilization (%),[272] XSEDE Utilization (%),[352] XSEDE Utilization (%),[672] XSEDE Utilization (%),[288] XSEDE Utilization (%),[1776] XSEDE Utilization (%),[1760] XSEDE Utilization (%)
2014-02-01,0,9.128933411,5.184434611,5.014029134,10.600839132,11.704137675,0.011429443,10.145236511,5.859375000,0,0,0,0,0,0,0,0,0,3.367332153,0,0.353949687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,0,7.232882996,2.714871012,2.510330709,13.155309652,12.862810974,0,6.069625346,5.859375000,0,0,0,0,0,0,0,0,0.442527466,0,0,6.409830729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,0,6.601616821,6.587746073,4.102100423,23.755425212,9.501663818,1.107349548,1.578215434,4.787828166,0,0,0,0,0,0,0,0,1.725712585,0,0,1.800618490,0,0,0.018391927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,0,6.424479167,5.716290487,6.358633525,27.516927083,12.599609375,0,5.885832825,2.343750000,0,0,0,0,0,0,0,0,1.222669779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,0,4.687500000,7.277343750,7.053380636,20.608506978,12.526909688,0,12.077636617,4.807332458,0,0,0,0,0,0,0,0,0.385538737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,0,3.875542501,9.948006999,8.800306295,16.837456665,11.588830973,0,8.935564880,11.164523621,0,0,0,0,0,0,0,0,0.380045573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,0,3.205973307,8.720712077,6.686396891,20.311342570,8.104890137,0,10.279803162,7.653632202,0,0,0,0,0,0,0,0,1.433489787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,0,3.587537944,5.963776957,7.116744181,11.192997640,5.441370036,0,9.911476440,9.029418945,0,0,0,0,0,0,0,0,0.411263936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,0,5.742621562,6.990098775,5.662529806,11.468026632,8.427553609,0,4.955385539,6.652208049,0,0,0,0,0,0,0,0,1.360699768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,0,5.933024089,4.181233927,10.719229126,7.785879517,9.395218506,0,5.083785502,8.965928752,0,0,0,0,0,0.521158854,0,0,3.864226176,0,0,0.052137553,1.290012004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-11,0,4.957139791,1.698260193,9.444973551,4.077473958,8.289351908,0,7.188657328,9.388264974,0,0,0,0,0,6.756673177,0,0,3.906250000,0,0,0,0.750641988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589825643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,0,2.347357890,2.673656209,10.677738546,7.722149862,6.339301249,0,6.553765157,8.501085103,0,0,0,0,0,7.917480469,0,0,2.102548116,0,0,0,0.035083923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
