title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2012-08-01,2013-01-31
---------
Day,"[32] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[848] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[1312] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[1296] XSEDE Utilization (%)","[1440] XSEDE Utilization (%)","[304] XSEDE Utilization (%)","[720] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[1040] XSEDE Utilization (%)","[608] XSEDE Utilization (%)","[800] XSEDE Utilization (%)","[480] XSEDE Utilization (%)","[912] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[272] XSEDE Utilization (%)","[176] XSEDE Utilization (%)","[656] XSEDE Utilization (%)","[496] XSEDE Utilization (%)","[544] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[1968] XSEDE Utilization (%)","[688] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[336] XSEDE Utilization (%)","[672] XSEDE Utilization (%)","[976] XSEDE Utilization (%)","[640] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[1008] XSEDE Utilization (%)","[576] XSEDE Utilization (%)","[1200] XSEDE Utilization (%)","[400] XSEDE Utilization (%)","[368] XSEDE Utilization (%)","[560] XSEDE Utilization (%)","[464] XSEDE Utilization (%)","[448] XSEDE Utilization (%)"
2012-08-01,2.333287964,1.212854411,11.268952535,3.799334513,3.089274089,1.420893758,0,0,0,5.592719218,0,0,0,0,0,0,0,0,0,0,0,0,0,8.949110209,0,0,1.100757751,0.797566732,0,0,0,5.727846476,0.013222046,0,0,0,0.008409322,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-02,3.476589559,0,1.995967102,2.923321737,1.993544006,1.592877502,0.000488281,0,3.236834513,6.185058594,0,0,0,0,0,0,0,0,0,0,0,0,0,4.902479350,0,0,0,0,0,0,0,3.134313558,0.042089437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,11.971499023,0,6.082591756,4.835937602,11.387722371,4.803611247,0,0,12.500000000,20.703125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171691895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,8.177888184,0,1.561957499,0,4.870035807,4.127694600,1.267496745,0,9.416087952,20.703125000,0,0,0,0,0,0,30.414225260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193440755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,8.952049052,0,0.507830607,4.325520833,4.049994507,3.053430786,2.343750000,0,0,20.703125000,0,0,0,0,0,0,35.156250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,13.210512492,0.006329549,3.538664653,4.731192118,6.137478333,4.053774719,1.079074402,21.368344930,0,16.487738749,0.993561910,0,0,0,0,0,4.781901042,0,0,0.042819519,0,0,0,0,0,0,0,1.038212484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,13.612657572,2.935004374,3.810492655,5.779875488,4.749321899,4.701271464,0,25.000000000,0,20.703125000,0,0,0,0,0,0,0,0,0,0.274924927,0,0,0,0,0,0,0,2.635498047,0,0,0,0,0.042699788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,13.370632731,2.585901286,2.877495728,3.324508057,4.243489583,4.339233602,0,8.425925903,8.285879618,19.776516418,0.013518168,0,0,0,0,0,0,0,0,0,0,0,7.029305929,0,0,0,0,6.030978699,0,0,0,0,0.122124532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,8.305203044,7.749240519,4.813910522,11.000940348,5.925075989,4.518464254,0,0,16.308449097,20.703125000,0,0,0,0,0,0,0,0,0,0.229415283,0,0,0,0,0,0,0,0,0,0,0,0,0.152728068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,16.460639140,4.287651774,5.264738871,10.940104268,6.412665507,5.041345825,0.024549662,0.008101807,6.132667847,14.147375081,0,0,0,0,0,0,0,0,0,0,0,0,0.001546224,0,0,0,0,0,0,0,0,0,0.195310262,0,0,0,0,0,0,0,0.708912048,0,0,0,0,0,0,0,0,0
2012-08-11,14.204282430,3.438006388,6.373589376,8.043909098,5.139987488,5.043307902,0.087131042,11.596932882,0,20.703125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195310262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-12,9.892514954,6.250000000,7.416395467,12.499348958,2.837714233,4.378576152,0.102674662,15.256076355,0,20.700968424,0,0,0,0,0,0,0,0,0,0,0,0,0,7.610857951,0,0,0,0,0,0,0,0,0.132993368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-13,10.565963236,4.117006734,7.621111654,12.556134338,7.110012410,5.374597473,0,0,0,20.658555705,0,0,0,0,0,0,0,0,0,0,0,0,3.875524495,14.430067240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-14,10.442238363,3.218315938,3.584617208,10.907479757,8.188205261,4.407280782,0,0,0,20.703125000,0,0,0,0,0,0,0,0,0,0,0,0,14.843750000,0,0,0,0,0,0,0,0,0,0.110109660,0,0,0,3.512008057,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-15,4.804452209,3.017071737,3.995533040,4.824001668,8.477037252,3.000320943,0,6.644965312,3.199797465,19.919329631,0,0,0,0,0,0,0,0,0,0,0,0,10.896927490,0,0,0,0,0,0,0,0,0,0.158334249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-16,4.781792603,4.023835347,0.752459615,3.131438090,6.385660807,1.409518636,0,25.000000000,12.500000000,20.703125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155196533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-17,6.144422607,3.900860799,2.959165141,0,5.566311340,1.135574951,0,25.000000000,4.105758057,6.800161845,2.169912821,0,0,0,0,21.242797852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106883850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-18,5.509602763,3.125000000,3.203559062,1.799189860,5.220825297,0.980834961,0,23.139178263,0,0,3.897976379,0,0,0,0,31.640625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098598938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-19,8.130090637,3.125000000,5.963487549,2.603298645,9.454847616,2.699996338,0,0,0,0,4.690438741,0,0,0,0,22.927001953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120187276,0,0,0,0,0,0,0,0,0,0.861043294,0,0,0,0,0,0,0
2012-08-20,13.252486877,5.181857605,6.635470785,6.608506978,10.430976156,4.401317342,0,0,0,0,0.458441874,0,0,0,0,0,0,1.318413595,0,1.173122864,0,0,0,0,0,0,0.003526510,0,0.043018494,0,0,0,0.115064799,0,0,0,0,0,0,0,1.277126770,0,0.230143229,0,0,0,0,0,0,0
2012-08-21,21.006781921,6.315791423,8.438838196,8.439308370,12.895562134,5.361029561,0,0,0,0,0,0,0,0,0,0,0,0,0,2.735387777,0,0,0,0,0,0,0,0,0,0,0,0,0.195310262,0,0,0,0,0,0,0,0,0,0,0,0,0.005877482,0,0,0,0
2012-08-22,19.662905273,5.129484965,10.087149150,12.290147603,14.400811056,4.837085978,0,0,0,0,0.331759949,0,0,0,0,0,0,0,0,2.734375000,0,0,0,0,0,0,0,0,0,0,0,0,0.195310262,0,0,0,0.116916199,0,0,0,0,0,0.358032227,0,0,0,0,0,0,0
