title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2013-08-01,2014-01-31
---------
Day,"[1] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[102] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[95] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[98] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[22] XSEDE Utilization (%)"
2013-08-01,31.548274395,25.924017352,23.972762575,4.600898541,14.109347443,9.857763414,0,0.956483950,0,2.652136840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,35.262903830,29.915429688,21.018079668,3.447196100,11.130707408,7.937324494,0,0,0,5.600285161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,28.437859967,18.577844604,12.550562629,2.684981031,0,6.955059122,0.000505218,0,0,6.613756614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,23.784252140,17.066317952,10.489673239,0.320399765,0,4.885361552,0.014130762,0,0,5.154035253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,24.213863571,25.736038142,15.133910717,0.226990672,5.357796080,6.445065058,0.689132025,0,0,4.836972966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,35.529406186,30.377375900,17.948661231,1.343490732,16.924194924,9.252727141,0.252516902,0,0,4.910229507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,35.612144396,36.479057987,9.982347987,5.587154615,14.037657593,14.331683970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,29.717409222,38.823765030,10.696548159,0.523221634,14.116532784,8.946861279,0.114669048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,34.784898015,40.953295109,11.656152746,4.116818519,10.482069371,13.597638625,0.034844680,0,0,1.210072487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,25.182780235,43.987041400,8.524417852,3.625849167,14.250767529,7.012051734,0.005036846,0,0.017350892,3.861801077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
