title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[11] XSEDE Utilization (%)"
2012-08-01,30.512706278,3.775995738,13.140906716,5.859461806,15.833864041,1.672953812,9.971462846,6.172839506,15.815757849,1.289514153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-02,27.379163566,1.983841192,13.170959638,14.109347443,21.109355595,11.614164864,8.508322310,6.120613277,18.447604350,1.759534832,0,0,0,1.179887004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,28.170313878,1.022228537,5.294053188,8.475569977,14.202552439,5.965118577,6.905802940,6.172839506,14.711260495,2.315427219,0,0,0,2.204585538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,15.540395356,0.052603822,4.570024182,0.957443347,11.776896001,5.166732000,5.602035567,6.171339182,16.032787124,0.327189601,0,0,0,2.204585538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,20.862655297,0.018269469,2.224060640,3.891501725,5.521343660,3.501535058,5.291005291,5.264489007,5.303987831,0,0,0,0,2.447396120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,25.456280428,1.608714658,5.155050740,19.633059023,0.886325082,16.426938313,6.508579512,6.172839506,12.757140388,1.043461682,0,0,0,4.295905384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,18.186037682,4.958337410,9.296749959,22.271213050,5.045071546,20.046051323,6.281017313,4.478595082,27.357253086,2.330484194,0,0,0,2.967795713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,13.933539209,2.845356994,17.162468883,18.559997336,14.769702450,16.410199882,2.068972870,6.172839506,26.455026455,3.328135736,0,0,0,2.204585538,0.652256198,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,18.202170828,1.067269368,22.730524668,21.885492220,13.715992144,11.368476092,7.339371429,5.382158760,16.628515051,4.598055429,0,0,0,2.204585538,3.086419753,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,21.356550834,9.306280198,21.462686242,12.515187183,9.356138508,16.332712777,6.888043740,2.877371996,17.650340448,4.045533073,0,0,0,0.754994018,2.848651127,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-11,13.735647574,11.048627416,18.303285636,0.077242132,4.535608133,10.677705899,5.291005291,5.852266245,0.053706115,1.926671868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-12,14.289092354,3.092441544,15.549870595,0.196126474,0.001102293,12.703148481,5.291005291,6.172839506,1.049199001,2.610122090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-13,18.829263175,3.542758740,19.262428523,8.494676328,5.232828747,23.218368331,8.630248119,6.171624917,2.917768959,4.194063235,0,0,0.130846228,0,0,0,0,0,0,0,0,0.078747566,0,0,0.473894033,0.110050671,0,0
2012-08-14,32.937352913,5.589226523,12.266997642,8.134267412,10.187879717,17.230632257,13.227513228,6.172839506,6.532186949,4.880202190,0,0,0.139317577,0,0,0,0,0,0,0,0,0.320563042,0,0,0.528906594,0.584480522,0,0
2012-08-15,24.267887054,3.980389350,8.240427506,13.680024848,9.580557163,29.838738701,15.454328336,5.958862032,11.552763081,2.744808546,0,0.241647089,0,0,0,0,0.206884048,0,0,0,0,0,0.275634450,0,0,0,0,0
2012-08-16,29.450391486,10.643545100,12.341519867,17.696126474,10.186971301,20.053644915,10.675705467,6.243498539,5.868300586,2.211448057,0,0,0.058533813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-17,24.262596164,11.944117890,12.774159502,19.785910230,5.923711179,30.602586714,13.448247354,4.146519224,1.148527865,3.303429853,0,4.587375073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-18,13.496983105,16.418283363,18.129021359,14.715036938,3.789641720,37.666242112,13.323688272,6.172839506,0,6.375975242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-19,9.285075702,10.455451010,14.428410103,16.891044503,4.827960689,32.895110700,10.809419723,6.172053606,0,5.601051943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-20,13.771575888,9.609380052,11.936058637,15.218825553,1.268667558,35.215396159,12.470574869,6.133473359,0,6.964722096,0,0.722736626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-21,15.892774126,20.737576873,12.041425885,22.566790789,0.004000921,24.443546305,11.640425956,6.172839506,0,6.774951660,0,0,0,1.222856041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-22,15.137192621,28.920518491,5.786968201,10.168854947,4.403128847,7.391648697,1.421682156,5.907564599,0,3.616599611,0,3.347295708,0,0.282921811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-23,20.783341084,13.748091483,11.866334888,27.804559416,10.184174808,8.956659456,5.852041710,6.046524907,0,2.452413906,0,10.582010582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-24,21.021942630,2.302771290,15.817741861,22.064635176,3.788763962,5.519547325,8.297968107,6.172839506,0,2.090174782,0,7.235694709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-25,21.150597420,2.423594806,13.984145356,10.141746698,0,0,6.659746737,6.158193308,0,1.250535875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-26,20.964542916,2.634112344,16.662635088,10.435528102,0.902818597,0.734167803,4.006497384,6.172839506,0,2.207325998,0,2.787208524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-27,29.075469680,11.603440474,20.450511073,0.053236665,3.930326945,0,2.645502646,6.172267921,0,1.786341961,0,10.582010582,0,0.002857809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-28,25.124302398,4.102958278,15.484156608,0,5.281003075,6.009291926,1.457659672,6.172125083,0,1.356202866,0,0.715632980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-29,20.572012385,6.790018796,17.456062668,0,9.183976797,7.054673721,2.804018489,6.172839506,0,2.091726833,0,0,0,1.543311953,0.014896224,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-30,21.524921864,6.646312429,11.971553957,0,14.038637428,3.715869743,1.776773428,6.171053390,1.421590241,5.990364124,0,0.004041740,0,2.204585538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-31,26.575436554,4.392695358,8.512874378,0,7.482812385,6.828009661,0.037875985,6.172839506,2.087987477,7.673484807,0,0.010043093,0,2.204585538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,18.972395604,6.154457798,6.516853138,0,3.869333354,6.921337116,0,6.172339398,0,5.864729559,0,0,0,2.204585538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-02,11.255810116,3.658264785,4.524231725,4.210105154,5.801938370,6.053057025,0,6.172839506,0,1.550719246,0,0,0.061289545,1.880965643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-03,16.047989866,3.703275015,4.687836888,18.897054065,7.356579425,6.777222555,0.316419225,6.172553714,3.831692123,0.703676146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
