title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2015-02-01,2015-07-31
---------
Day,"[256] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[480] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[768] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[288] XSEDE Utilization (%)","[272] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[176] XSEDE Utilization (%)","[576] XSEDE Utilization (%)"
2015-02-01,6.250000000,3.623553263,3.798140971,3.125000000,1.244918315,4.687500000,23.437500000,0,0,0,0,0,0,0,7.812500000,0,0,0,0,0,0,0,0,0,0
2015-02-02,6.254991353,9.142903646,3.531910400,3.810908610,1.669524028,4.687500000,16.795301615,0,0,0,0,0,0,0,4.373281962,0,0,0,0,0,0,0,0,0,0
2015-02-03,9.930410868,15.241446228,3.726033223,0.047598368,3.183367716,4.687500000,20.100179036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,8.925708923,13.434118245,4.853827616,1.364981181,3.714102275,4.687500000,19.619547526,5.241970520,0.161539714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,6.250000000,17.167679342,5.215852051,2.879665833,4.709644572,4.687500000,9.490885417,9.375000000,1.131998698,0.809642639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,6.504557292,14.665961304,5.464495646,1.742802327,2.286675415,4.687988281,2.083658854,9.375000000,0.581380208,2.930863037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,6.250000000,7.812500000,3.629123230,0,0.293728333,4.687500000,1.203369141,9.375000000,0,2.306382955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,6.286313680,5.096317952,2.578106995,0.268988749,0.408067424,4.687500000,0,9.375000000,0,0.403419800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,6.501663717,6.205023804,4.691270650,3.581054688,4.758852234,4.687500000,0.034396667,9.375000000,0,1.959273682,0.259693298,0,0,0,0,0.919704895,0,0,0,0,0,0,0,0,0
2015-02-10,6.250000000,8.685456543,3.880787252,4.061342570,4.202718099,4.687500000,0.321397603,9.375000000,0,0,0.002314860,0,0,0,0,0,0,0,0,0,0,0,0,0,0
