Day,[768] XSEDE Utilization (%),[384] XSEDE Utilization (%),[64] XSEDE Utilization (%),[16] XSEDE Utilization (%),[32] XSEDE Utilization (%),[192] XSEDE Utilization (%),[1024] XSEDE Utilization (%),[128] XSEDE Utilization (%),[96] XSEDE Utilization (%),[512] XSEDE Utilization (%),[256] XSEDE Utilization (%),[48] XSEDE Utilization (%),[112] XSEDE Utilization (%)
2015-08-01,0,0,13.495533244,0.544976095,1.769241943,0,25.000000000,3.125000000,0,0,0,0,0
2015-08-02,14.251085103,0,13.060113017,1.364922384,0.939199931,0,2.072048645,0.258391215,0,0,0,0.000705261,0.001772257
2015-08-03,16.876953125,0,5.930537313,2.307599182,1.654152120,0,0,1.430013021,0,0,0,0,0
2015-08-04,18.750000000,0.414171041,3.599989115,3.399739583,2.994484253,0,0,3.125000000,0,0,0,0,0
2015-08-05,15.979166667,0,4.914351807,5.265186564,3.348641866,2.206217448,0,3.125000000,1.103542786,1.300925903,0,0,0
2015-08-06,17.495442708,0,2.505624288,6.265620524,3.520227458,7.630588074,0,1.728407084,2.343750000,0.313512777,0,0,0
2015-08-07,18.750000000,0,4.569191284,3.361377563,5.056803589,9.375000000,0,0.513852743,0.600585938,0,0,0,0
2015-08-08,14.469401042,6.406466980,4.899956665,2.258115438,7.071587423,6.983072917,0,0,0,0,0,0,0
2015-08-09,18.750000000,18.750000000,4.706868490,0.556722005,5.732575582,4.687500000,0,0,0,0,0,0,0
2015-08-10,22.647569377,22.955512187,1.230070801,1.847005208,3.391646729,1.559136251,0,0.000723368,1.269558309,0,0,0,0
2015-08-11,18.750000000,30.823676249,2.503219096,3.770873922,0.833450826,0,0,0,1.680447083,0,0.097005208,0,0
2015-08-12,27.590060832,14.744791667,2.019748230,3.701673787,2.588442179,0,0,0,1.506944478,0,0,0,0
2015-08-13,0,13.224392395,0.725513611,2.243674825,0.634241130,0,0,0,1.635633647,0,0,0.017415365,0
2015-08-14,0,0.089301249,0.427607829,2.044433594,0,0,0,0,0,0,0,0,0
2015-08-15,0,0,0,1.199838155,0,0,0,0,0,0,0,0,0
