title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2012-02-01,2012-07-31
---------
Day,"[16] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[48] Number of Jobs Running","[128] Number of Jobs Running","[256] Number of Jobs Running","[80] Number of Jobs Running","[320] Number of Jobs Running","[96] Number of Jobs Running","[240] Number of Jobs Running","[160] Number of Jobs Running","[112] Number of Jobs Running","[512] Number of Jobs Running","[192] Number of Jobs Running","[272] Number of Jobs Running","[144] Number of Jobs Running","[8] Number of Jobs Running","[1024] Number of Jobs Running","[208] Number of Jobs Running","[352] Number of Jobs Running","[176] Number of Jobs Running","[224] Number of Jobs Running","[288] Number of Jobs Running","[384] Number of Jobs Running","[304] Number of Jobs Running","[768] Number of Jobs Running","[816] Number of Jobs Running","[400] Number of Jobs Running","[640] Number of Jobs Running","[448] Number of Jobs Running","[1040] Number of Jobs Running","[480] Number of Jobs Running","[848] Number of Jobs Running","[912] Number of Jobs Running","[1536] Number of Jobs Running","[576] Number of Jobs Running","[528] Number of Jobs Running","[608] Number of Jobs Running","[1248] Number of Jobs Running","[1920] Number of Jobs Running"
2012-02-01,81,37,23,8,8,2,0,12,8,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-02,87,69,50,24,15,1,1,30,5,10,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
2012-02-03,86,30,50,5,8,0,2,1,3,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-04,77,23,35,3,2,1,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-05,51,20,33,7,2,0,1,7,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-06,65,42,48,11,6,0,1,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2012-02-07,50,39,33,8,7,0,1,18,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-08,52,42,23,71,4,0,0,12,3,3,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-09,124,38,48,31,6,3,1,4,6,3,2,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-10,113,45,69,44,7,1,1,10,4,8,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-11,38,36,30,7,4,2,1,15,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-12,77,57,53,7,6,6,1,13,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-13,72,49,37,13,4,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-14,81,55,54,11,9,4,3,0,0,1,2,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-15,90,48,39,16,8,5,1,0,0,4,3,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-16,44,68,54,20,12,5,0,0,1,2,2,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-02-17,95,53,37,18,6,7,0,0,0,4,4,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-18,28,46,29,13,8,4,0,5,0,1,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-19,71,52,42,18,6,4,0,8,0,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-20,54,66,44,10,8,8,3,9,1,3,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
