title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-02-01,2012-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[16] Number of Jobs Running","[10] Number of Jobs Running","[6] Number of Jobs Running","[5] Number of Jobs Running","[12] Number of Jobs Running","[14] Number of Jobs Running","[9] Number of Jobs Running","[7] Number of Jobs Running","[13] Number of Jobs Running","[18] Number of Jobs Running","[24] Number of Jobs Running","[15] Number of Jobs Running","[20] Number of Jobs Running","[30] Number of Jobs Running","[11] Number of Jobs Running","[48] Number of Jobs Running","[17] Number of Jobs Running","[19] Number of Jobs Running","[64] Number of Jobs Running"
2012-02-01,1299,116,10,84,10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-02,1545,183,26,208,11,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-02-03,1016,98,5,22,6,6,4,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2012-02-04,944,19,3,12,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-05,671,24,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-06,430,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-07,1650,20,27,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-08,1507,58,36,11,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-09,1561,71,24,6,5,8,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-10,1895,118,35,8,18,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-11,1750,129,14,21,14,6,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-12,1690,71,14,10,21,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-13,2116,101,29,17,13,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-14,2204,121,42,16,10,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-15,2342,100,267,24,8,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-16,2077,55,242,10,8,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-17,2347,86,17,12,10,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-18,3925,55,11,9,12,6,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-19,2482,47,11,15,14,8,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-20,3790,64,15,11,7,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-21,1836,61,32,8,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-22,2785,103,45,15,8,15,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-23,3120,100,110,12,8,22,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
