title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2012-08-01,2013-01-31
---------
Day,"[16] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[48] Number of Jobs Running","[128] Number of Jobs Running","[96] Number of Jobs Running","[256] Number of Jobs Running","[160] Number of Jobs Running","[80] Number of Jobs Running","[8] Number of Jobs Running","[192] Number of Jobs Running","[512] Number of Jobs Running","[144] Number of Jobs Running","[112] Number of Jobs Running","[1024] Number of Jobs Running","[272] Number of Jobs Running","[304] Number of Jobs Running","[224] Number of Jobs Running","[848] Number of Jobs Running","[176] Number of Jobs Running","[384] Number of Jobs Running","[208] Number of Jobs Running","[400] Number of Jobs Running","[480] Number of Jobs Running","[1040] Number of Jobs Running","[1312] Number of Jobs Running","[1968] Number of Jobs Running","[320] Number of Jobs Running","[576] Number of Jobs Running","[608] Number of Jobs Running","[496] Number of Jobs Running","[240] Number of Jobs Running","[656] Number of Jobs Running","[720] Number of Jobs Running","[800] Number of Jobs Running","[1008] Number of Jobs Running","[688] Number of Jobs Running","[1296] Number of Jobs Running","[1440] Number of Jobs Running","[336] Number of Jobs Running","[368] Number of Jobs Running","[544] Number of Jobs Running","[560] Number of Jobs Running","[640] Number of Jobs Running","[912] Number of Jobs Running","[448] Number of Jobs Running","[464] Number of Jobs Running","[672] Number of Jobs Running","[976] Number of Jobs Running","[1200] Number of Jobs Running"
2012-08-01,134,87,48,17,9,0,4,0,6,6,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-08-02,41,99,12,15,0,1,3,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-08-03,95,80,13,23,0,0,4,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,22,19,2,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,18,15,3,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,47,76,7,12,1,1,6,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,31,50,6,22,5,0,4,0,0,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,56,36,10,10,6,0,2,1,0,9,0,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,86,34,25,10,5,0,6,0,0,8,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,151,82,26,11,7,1,8,0,0,2,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
