title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2011-08-01,2012-01-31
---------
Day,"[16] Number of Jobs Ended","[32] Number of Jobs Ended","[64] Number of Jobs Ended","[48] Number of Jobs Ended","[128] Number of Jobs Ended","[320] Number of Jobs Ended","[224] Number of Jobs Ended","[112] Number of Jobs Ended","[96] Number of Jobs Ended","[256] Number of Jobs Ended","[80] Number of Jobs Ended","[160] Number of Jobs Ended","[240] Number of Jobs Ended","[512] Number of Jobs Ended","[144] Number of Jobs Ended","[272] Number of Jobs Ended","[1024] Number of Jobs Ended","[8] Number of Jobs Ended","[192] Number of Jobs Ended","[208] Number of Jobs Ended","[384] Number of Jobs Ended","[176] Number of Jobs Ended","[528] Number of Jobs Ended","[288] Number of Jobs Ended","[576] Number of Jobs Ended","[624] Number of Jobs Ended","[640] Number of Jobs Ended","[304] Number of Jobs Ended","[368] Number of Jobs Ended","[448] Number of Jobs Ended","[720] Number of Jobs Ended","[336] Number of Jobs Ended","[400] Number of Jobs Ended","[480] Number of Jobs Ended","[496] Number of Jobs Ended","[672] Number of Jobs Ended","[736] Number of Jobs Ended","[768] Number of Jobs Ended","[992] Number of Jobs Ended","[704] Number of Jobs Ended","[1440] Number of Jobs Ended","[1728] Number of Jobs Ended"
2011-08-01,58,86,22,0,2,0,0,50,7,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-02,107,67,12,1,0,0,0,10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-03,15,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-04,55,10,16,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-08-05,71,44,20,0,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-06,85,43,17,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-07,93,35,10,3,3,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-08,218,48,29,0,2,0,15,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-09,411,61,40,1,0,0,25,12,9,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-10,831,60,28,1,0,0,0,3,4,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
