title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2012-08-01,2013-01-31
---------
Day,"[16] Number of Jobs Ended","[32] Number of Jobs Ended","[64] Number of Jobs Ended","[48] Number of Jobs Ended","[128] Number of Jobs Ended","[256] Number of Jobs Ended","[96] Number of Jobs Ended","[80] Number of Jobs Ended","[8] Number of Jobs Ended","[160] Number of Jobs Ended","[192] Number of Jobs Ended","[512] Number of Jobs Ended","[144] Number of Jobs Ended","[112] Number of Jobs Ended","[272] Number of Jobs Ended","[304] Number of Jobs Ended","[224] Number of Jobs Ended","[1024] Number of Jobs Ended","[176] Number of Jobs Ended","[848] Number of Jobs Ended","[208] Number of Jobs Ended","[400] Number of Jobs Ended","[1968] Number of Jobs Ended","[320] Number of Jobs Ended","[576] Number of Jobs Ended","[384] Number of Jobs Ended","[480] Number of Jobs Ended","[1040] Number of Jobs Ended","[240] Number of Jobs Ended","[496] Number of Jobs Ended","[608] Number of Jobs Ended","[656] Number of Jobs Ended","[1008] Number of Jobs Ended","[688] Number of Jobs Ended","[336] Number of Jobs Ended","[368] Number of Jobs Ended","[560] Number of Jobs Ended","[640] Number of Jobs Ended","[800] Number of Jobs Ended","[1312] Number of Jobs Ended","[448] Number of Jobs Ended","[464] Number of Jobs Ended","[544] Number of Jobs Ended","[672] Number of Jobs Ended","[720] Number of Jobs Ended","[912] Number of Jobs Ended","[976] Number of Jobs Ended","[1200] Number of Jobs Ended","[1296] Number of Jobs Ended","[1440] Number of Jobs Ended"
2012-08-01,132,83,45,17,9,3,0,6,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-02,29,84,10,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2012-08-03,83,67,12,18,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,11,7,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,12,5,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,35,59,4,7,1,4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-08-07,19,29,4,18,3,4,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,44,23,8,4,3,0,0,0,5,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,76,26,22,6,3,4,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,136,50,23,4,6,6,1,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-11,25,36,13,5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
