title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2011-02-01,2011-07-31
---------
Day,"[16] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[128] Number of Jobs Running","[48] Number of Jobs Running","[96] Number of Jobs Running","[112] Number of Jobs Running","[256] Number of Jobs Running","[160] Number of Jobs Running","[224] Number of Jobs Running","[480] Number of Jobs Running","[144] Number of Jobs Running","[1024] Number of Jobs Running","[80] Number of Jobs Running","[208] Number of Jobs Running","[400] Number of Jobs Running","[512] Number of Jobs Running","[1008] Number of Jobs Running","[192] Number of Jobs Running","[240] Number of Jobs Running","[288] Number of Jobs Running","[384] Number of Jobs Running","[320] Number of Jobs Running","[800] Number of Jobs Running","[1440] Number of Jobs Running","[768] Number of Jobs Running"
2011-02-01,329,64,12,30,1,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-02,309,404,12,19,1,1,0,103,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-03,236,174,2,5,0,1,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-04,17,0,3,16,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
2011-02-05,71,56,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2011-02-06,104,39,0,6,0,1,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2011-02-07,18,16,0,6,3,5,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2011-02-08,151,24,1,6,1,0,1,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2011-02-09,54,22,0,4,0,1,2,5,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
2011-02-10,42,9,2,6,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-02-11,169,8,15,8,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
2011-02-12,14,17,0,3,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2011-02-13,46,42,0,1,0,0,0,3,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
