title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[6] Number of Jobs Running","[8] Number of Jobs Running","[16] Number of Jobs Running","[3] Number of Jobs Running","[10] Number of Jobs Running","[5] Number of Jobs Running","[12] Number of Jobs Running","[20] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[25] Number of Jobs Running","[21] Number of Jobs Running","[18] Number of Jobs Running","[19] Number of Jobs Running","[17] Number of Jobs Running","[7] Number of Jobs Running","[24] Number of Jobs Running","[9] Number of Jobs Running","[23] Number of Jobs Running","[40] Number of Jobs Running","[30] Number of Jobs Running","[13] Number of Jobs Running","[26] Number of Jobs Running","[28] Number of Jobs Running","[15] Number of Jobs Running","[44] Number of Jobs Running","[22] Number of Jobs Running","[14] Number of Jobs Running","[128] Number of Jobs Running","[11] Number of Jobs Running","[48] Number of Jobs Running","[60] Number of Jobs Running","[34] Number of Jobs Running","[72] Number of Jobs Running","[31] Number of Jobs Running","[56] Number of Jobs Running","[100] Number of Jobs Running","[36] Number of Jobs Running","[63] Number of Jobs Running","[52] Number of Jobs Running","[33] Number of Jobs Running","[35] Number of Jobs Running","[38] Number of Jobs Running","[42] Number of Jobs Running","[46] Number of Jobs Running","[90] Number of Jobs Running","[27] Number of Jobs Running","[29] Number of Jobs Running","[43] Number of Jobs Running","[50] Number of Jobs Running","[55] Number of Jobs Running","[108] Number of Jobs Running","[86] Number of Jobs Running"
2016-02-01,639,134,98,16,24,20,8,15,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,689,113,65,14,28,11,3,15,0,0,0,0,8,0,0,0,0,2,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,843,63,109,29,22,19,19,10,0,2,0,6,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,967,77,61,25,39,37,32,5,1,1,0,0,2,0,0,0,0,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,963,52,50,39,33,12,46,2,2,2,2,1,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,429,40,33,27,24,34,4,3,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,296,22,17,19,19,42,2,1,2,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,208,8,7,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,202,21,21,16,15,10,22,4,0,2,2,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,642,49,33,15,20,19,22,6,1,1,6,0,3,0,0,0,0,0,0,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-11,484,47,33,21,16,14,21,6,1,2,2,0,3,0,1,0,0,0,0,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,414,99,42,14,19,6,18,19,106,1,0,0,10,0,0,1,0,0,0,2,1,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,380,32,40,21,6,5,4,20,2,0,0,0,6,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,448,44,21,14,7,7,2,28,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15,503,66,22,22,5,4,2,13,0,0,1,0,7,0,0,0,0,0,0,0,1,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,793,102,43,11,8,2,2,8,0,0,4,0,11,0,0,0,0,0,0,5,1,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,904,149,42,16,11,4,1,6,1,0,0,3,10,0,0,0,0,0,0,1,2,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,1272,112,51,16,14,5,0,9,1,0,0,2,8,0,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-19,1260,87,53,26,25,4,2,11,3,4,0,2,5,0,0,0,0,0,0,2,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,952,28,16,13,20,6,7,5,0,5,0,0,3,0,0,0,0,0,0,1,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,1107,120,27,16,22,9,1,3,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-22,938,87,53,22,38,22,1,4,1,0,0,6,4,0,0,1,0,0,0,0,1,16,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,897,112,140,24,50,5,1,4,1,0,1,0,3,0,0,0,0,0,0,4,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-24,716,146,98,27,17,16,1,12,4,2,3,8,3,0,0,0,0,0,0,4,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-25,720,81,99,17,24,5,6,27,2,0,1,22,2,4,0,0,0,0,1,4,3,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-26,1842,67,63,23,19,5,2,11,3,0,2,32,4,1,0,0,0,0,0,2,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-02-27,1067,61,27,8,10,10,4,8,5,2,4,22,3,1,0,0,0,0,0,1,0,1,0,1,5,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2016-02-28,502,35,25,10,16,9,3,5,15,0,1,1,5,7,0,0,0,0,0,0,1,0,0,0,2,2,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-02-29,649,99,38,13,12,13,2,12,2,2,4,10,3,10,0,0,0,0,0,0,3,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,897,132,34,7,11,11,1,16,0,0,2,15,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-02,1793,86,169,25,42,10,11,7,1,2,1,18,3,0,0,1,0,2,0,1,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-03,571,30,46,9,10,11,8,3,2,1,1,15,3,0,0,0,0,0,0,1,0,2,0,1,0,3,4,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-04,780,36,118,22,18,13,5,11,1,0,2,8,3,0,0,2,0,0,0,1,0,3,0,1,1,3,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-05,1536,41,69,18,15,14,0,10,1,1,2,0,4,1,0,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-03-06,1672,50,71,20,12,20,9,1,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-07,957,51,20,24,13,36,7,1,3,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-08,1590,43,23,32,25,24,7,13,1,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-09,2319,43,29,27,16,36,1,31,1,0,7,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-10,1077,65,17,37,11,16,14,8,1,0,12,4,6,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-11,727,73,19,31,11,16,2,6,1,0,6,8,2,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-12,414,86,23,19,9,15,2,0,1,0,5,0,2,0,0,6,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-13,175,10,31,9,7,10,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-14,657,35,30,36,2,17,8,6,0,0,0,0,4,0,0,6,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-15,697,63,27,73,10,17,21,6,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-16,832,61,70,70,9,33,29,12,0,0,0,0,4,0,0,6,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-17,923,59,58,43,8,22,45,8,0,2,0,2,3,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-18,833,144,37,46,16,21,15,14,0,2,1,1,2,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-19,675,51,34,21,10,16,2,8,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-20,662,22,41,21,10,18,3,6,7,1,0,0,3,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-21,1011,43,30,27,9,26,4,0,8,4,4,3,3,0,7,6,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-22,1091,69,36,22,13,20,9,0,9,3,9,1,1,0,0,6,0,0,11,0,0,0,1,0,1,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-23,1072,64,42,21,36,23,18,4,3,1,1,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-24,1173,19,33,14,51,17,3,3,9,1,0,0,0,0,0,5,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-03-25,992,48,22,11,39,16,9,2,2,0,0,0,0,0,0,5,0,0,10,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
