title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2010-08-01,2011-01-31
---------
Day,"[16] Number of Jobs Running","[64] Number of Jobs Running","[32] Number of Jobs Running","[128] Number of Jobs Running","[256] Number of Jobs Running","[96] Number of Jobs Running","[48] Number of Jobs Running","[80] Number of Jobs Running","[144] Number of Jobs Running","[160] Number of Jobs Running","[112] Number of Jobs Running"
2011-01-21,2,10,0,0,0,1,0,0,0,0,0
2011-01-22,0,17,0,1,0,1,0,0,0,0,0
2011-01-23,0,12,0,2,0,1,0,0,0,0,0
2011-01-24,24,14,5,2,0,1,0,0,0,0,0
2011-01-25,9,5,3,1,0,2,0,0,0,2,0
2011-01-26,35,10,9,11,4,3,0,0,0,0,0
2011-01-27,117,12,22,23,1,3,4,0,1,0,1
2011-01-28,281,58,58,46,40,0,1,1,1,0,0
2011-01-29,74,5,0,6,0,0,0,0,1,0,0
2011-01-30,19,3,1,4,0,0,1,2,0,0,0
2011-01-31,39,4,37,6,0,0,3,6,1,0,0
---------
