title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2013-08-01,2014-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[16] Number of Jobs Running","[6] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[10] Number of Jobs Running","[12] Number of Jobs Running","[9] Number of Jobs Running","[25] Number of Jobs Running","[7] Number of Jobs Running","[18] Number of Jobs Running","[40] Number of Jobs Running","[96] Number of Jobs Running","[48] Number of Jobs Running","[24] Number of Jobs Running","[128] Number of Jobs Running","[33] Number of Jobs Running","[35] Number of Jobs Running","[15] Number of Jobs Running","[5] Number of Jobs Running","[20] Number of Jobs Running","[11] Number of Jobs Running","[60] Number of Jobs Running","[41] Number of Jobs Running","[38] Number of Jobs Running","[14] Number of Jobs Running","[19] Number of Jobs Running","[36] Number of Jobs Running","[21] Number of Jobs Running","[17] Number of Jobs Running","[65] Number of Jobs Running","[23] Number of Jobs Running","[13] Number of Jobs Running","[45] Number of Jobs Running","[31] Number of Jobs Running","[43] Number of Jobs Running","[30] Number of Jobs Running","[63] Number of Jobs Running","[126] Number of Jobs Running","[256] Number of Jobs Running","[34] Number of Jobs Running","[61] Number of Jobs Running","[46] Number of Jobs Running","[26] Number of Jobs Running","[37] Number of Jobs Running","[57] Number of Jobs Running","[29] Number of Jobs Running","[42] Number of Jobs Running","[49] Number of Jobs Running","[50] Number of Jobs Running","[81] Number of Jobs Running","[117] Number of Jobs Running"
2013-08-01,1843,267,37,4,0,2,8,0,12,2,0,30,0,0,0,1,34,0,3,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,2096,79,40,7,0,4,4,0,7,3,0,27,0,0,1,2,1,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,2062,179,29,10,0,1,3,1,11,5,0,18,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,1097,101,23,7,0,15,0,0,7,4,0,23,0,0,4,0,2,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,1258,138,47,4,0,3,0,2,9,2,0,15,0,0,3,1,2,0,8,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,2156,242,54,0,1,2,0,0,8,3,0,8,0,0,3,2,4,0,7,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,1923,79,64,5,1,2,0,6,3,3,0,5,0,0,7,0,4,0,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,1514,82,30,1,0,4,0,2,3,3,0,7,0,0,6,1,2,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,2103,74,12,1,2,7,0,6,1,3,0,22,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,2256,80,14,1,0,5,0,6,0,0,0,30,0,0,11,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
