title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[16] Number of Jobs Running","[10] Number of Jobs Running","[24] Number of Jobs Running","[5] Number of Jobs Running","[6] Number of Jobs Running","[9] Number of Jobs Running","[12] Number of Jobs Running","[7] Number of Jobs Running","[21] Number of Jobs Running","[20] Number of Jobs Running","[13] Number of Jobs Running","[11] Number of Jobs Running","[14] Number of Jobs Running","[17] Number of Jobs Running","[18] Number of Jobs Running","[15] Number of Jobs Running","[19] Number of Jobs Running","[22] Number of Jobs Running","[28] Number of Jobs Running"
2014-02-01,660,148,14,24,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,3056,59,16,20,6,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,3256,105,22,28,11,0,4,0,0,2,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2014-02-04,1637,147,37,15,2,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,1177,278,27,31,5,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-02-06,764,331,14,15,6,0,3,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0
2014-02-07,744,459,14,27,5,0,5,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-02-08,676,91,25,14,4,3,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-09,690,100,16,21,6,1,1,5,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2014-02-10,958,199,15,16,5,1,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-11,995,160,23,18,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,1717,262,26,9,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-13,1956,171,30,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,948,226,28,17,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,989,86,21,10,2,0,2,2,0,1,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0
2014-02-16,1265,71,21,5,9,0,0,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0
2014-02-17,1209,183,21,28,8,2,1,0,0,2,0,2,3,0,2,3,0,1,1,0,0,0,3,0,0
2014-02-18,1452,210,11,11,5,0,3,0,0,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0
2014-02-19,1732,196,19,11,4,0,0,0,0,1,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0
2014-02-20,2026,189,18,10,3,0,2,0,0,0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0
2014-02-21,1452,133,21,6,1,0,2,3,0,0,2,2,4,0,1,0,0,0,0,0,1,0,0,0,0
2014-02-22,836,87,2,6,4,0,1,2,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0
