title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Running","[4] Number of Jobs Running","[2] Number of Jobs Running","[8] Number of Jobs Running","[16] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[5] Number of Jobs Running","[6] Number of Jobs Running","[64] Number of Jobs Running","[20] Number of Jobs Running","[12] Number of Jobs Running","[10] Number of Jobs Running","[60] Number of Jobs Running","[9] Number of Jobs Running","[18] Number of Jobs Running","[38] Number of Jobs Running","[24] Number of Jobs Running","[19] Number of Jobs Running","[15] Number of Jobs Running","[7] Number of Jobs Running","[30] Number of Jobs Running","[43] Number of Jobs Running","[14] Number of Jobs Running","[75] Number of Jobs Running","[128] Number of Jobs Running","[26] Number of Jobs Running","[63] Number of Jobs Running","[80] Number of Jobs Running","[17] Number of Jobs Running","[28] Number of Jobs Running","[48] Number of Jobs Running","[37] Number of Jobs Running","[50] Number of Jobs Running","[40] Number of Jobs Running","[22] Number of Jobs Running","[96] Number of Jobs Running","[25] Number of Jobs Running","[11] Number of Jobs Running","[45] Number of Jobs Running","[23] Number of Jobs Running","[35] Number of Jobs Running","[102] Number of Jobs Running","[120] Number of Jobs Running","[13] Number of Jobs Running","[21] Number of Jobs Running","[33] Number of Jobs Running","[81] Number of Jobs Running","[56] Number of Jobs Running","[73] Number of Jobs Running","[74] Number of Jobs Running","[78] Number of Jobs Running","[49] Number of Jobs Running","[72] Number of Jobs Running","[90] Number of Jobs Running","[31] Number of Jobs Running","[36] Number of Jobs Running","[100] Number of Jobs Running","[27] Number of Jobs Running","[52] Number of Jobs Running","[42] Number of Jobs Running","[44] Number of Jobs Running","[58] Number of Jobs Running","[61] Number of Jobs Running","[71] Number of Jobs Running","[84] Number of Jobs Running"
2014-02-01,549,65,12,22,1,3,3,0,1,3,0,4,4,4,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,644,43,64,5,2,2,3,0,2,5,2,6,2,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,912,85,44,14,8,6,3,0,3,5,3,4,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,1210,98,50,17,8,10,3,0,2,7,3,6,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,1813,122,69,18,2,8,2,0,3,9,1,6,5,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,2202,66,36,9,11,3,6,0,0,16,2,5,0,7,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,2612,76,102,68,6,4,12,0,2,10,3,5,1,5,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,564,101,60,14,10,8,19,1,1,6,2,6,3,1,4,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,711,154,33,17,10,11,0,3,0,2,3,9,16,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,731,32,60,21,5,2,4,0,0,2,2,8,36,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
