title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[16] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[10] Number of Jobs Running","[14] Number of Jobs Running","[18] Number of Jobs Running","[5] Number of Jobs Running","[9] Number of Jobs Running","[24] Number of Jobs Running","[7] Number of Jobs Running","[17] Number of Jobs Running","[28] Number of Jobs Running","[13] Number of Jobs Running","[15] Number of Jobs Running","[20] Number of Jobs Running","[22] Number of Jobs Running","[21] Number of Jobs Running","[30] Number of Jobs Running","[19] Number of Jobs Running","[26] Number of Jobs Running","[11] Number of Jobs Running","[25] Number of Jobs Running"
2012-08-01,1889,119,26,9,3,2,28,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-02,628,154,15,13,7,3,1,6,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,784,90,7,9,4,4,12,11,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,505,26,6,7,13,2,8,4,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,632,64,3,2,6,0,6,2,3,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,643,50,10,2,8,4,7,3,4,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,374,90,9,7,10,7,4,7,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,386,74,5,6,6,13,4,4,5,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,569,281,10,11,5,11,5,4,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,576,229,26,5,4,8,6,13,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
