title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[10] Number of Jobs Submitted","[256] Number of Jobs Submitted","[3] Number of Jobs Submitted","[32] Number of Jobs Submitted","[12] Number of Jobs Submitted","[6] Number of Jobs Submitted","[64] Number of Jobs Submitted","[5] Number of Jobs Submitted","[20] Number of Jobs Submitted","[128] Number of Jobs Submitted","[15] Number of Jobs Submitted","[200] Number of Jobs Submitted","[7] Number of Jobs Submitted","[30] Number of Jobs Submitted","[9] Number of Jobs Submitted","[14] Number of Jobs Submitted","[45] Number of Jobs Submitted","[1024] Number of Jobs Submitted","[11] Number of Jobs Submitted","[106] Number of Jobs Submitted","[36] Number of Jobs Submitted","[13] Number of Jobs Submitted","[50] Number of Jobs Submitted","[100] Number of Jobs Submitted","[35] Number of Jobs Submitted","[23] Number of Jobs Submitted","[136] Number of Jobs Submitted","[24] Number of Jobs Submitted","[68] Number of Jobs Submitted","[160] Number of Jobs Submitted","[208] Number of Jobs Submitted","[22] Number of Jobs Submitted","[192] Number of Jobs Submitted","[28] Number of Jobs Submitted","[80] Number of Jobs Submitted","[230] Number of Jobs Submitted","[25] Number of Jobs Submitted","[75] Number of Jobs Submitted","[181] Number of Jobs Submitted","[40] Number of Jobs Submitted","[132] Number of Jobs Submitted","[46] Number of Jobs Submitted","[150] Number of Jobs Submitted","[17] Number of Jobs Submitted","[250] Number of Jobs Submitted","[18] Number of Jobs Submitted","[39] Number of Jobs Submitted","[512] Number of Jobs Submitted","[21] Number of Jobs Submitted","[51] Number of Jobs Submitted","[54] Number of Jobs Submitted","[70] Number of Jobs Submitted","[232] Number of Jobs Submitted","[19] Number of Jobs Submitted","[34] Number of Jobs Submitted","[48] Number of Jobs Submitted","[66] Number of Jobs Submitted","[71] Number of Jobs Submitted","[152] Number of Jobs Submitted","[168] Number of Jobs Submitted","[216] Number of Jobs Submitted","[85] Number of Jobs Submitted","[129] Number of Jobs Submitted","[86] Number of Jobs Submitted","[120] Number of Jobs Submitted","[175] Number of Jobs Submitted","[213] Number of Jobs Submitted","[224] Number of Jobs Submitted","[31] Number of Jobs Submitted","[110] Number of Jobs Submitted","[49] Number of Jobs Submitted","[60] Number of Jobs Submitted","[63] Number of Jobs Submitted","[65] Number of Jobs Submitted","[67] Number of Jobs Submitted","[90] Number of Jobs Submitted","[113] Number of Jobs Submitted","[165] Number of Jobs Submitted","[210] Number of Jobs Submitted","[27] Number of Jobs Submitted","[72] Number of Jobs Submitted","[84] Number of Jobs Submitted","[96] Number of Jobs Submitted","[140] Number of Jobs Submitted","[183] Number of Jobs Submitted","[194] Number of Jobs Submitted","[225] Number of Jobs Submitted"
2013-01-07,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,598,32,26,6,1,0,4,5,13,5,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,6,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2013-01-09,145,92,79,50,48,17,75,14,12,27,25,6,17,6,2,24,0,16,0,16,16,0,13,16,0,5,16,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,177,405,74,6,36,4,58,16,7,3,6,1,2,17,3,6,0,2,2,7,0,0,3,0,0,6,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,1,4,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-11,1003,297,113,26,24,40,12,6,28,2,37,6,3,21,3,1,0,2,0,0,1,15,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-01-12,136,36,148,19,6,15,36,11,3,2,4,2,0,7,3,0,0,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-13,1016,63,120,12,32,6,13,21,13,4,5,11,8,0,12,2,1,12,0,10,2,4,14,2,0,0,2,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,3213,147,66,16,9,3,3,2,2,0,4,2,0,2,3,0,0,2,0,0,0,0,4,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,1612,15,17,4,21,28,32,8,1,3,0,9,0,2,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,3293,224,183,77,86,58,17,8,66,17,10,3,0,10,1,0,0,11,0,3,1,3,0,0,0,9,0,2,0,12,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
