Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[4] Number of Jobs Submitted,[8] Number of Jobs Submitted,[16] Number of Jobs Submitted,[3] Number of Jobs Submitted,[32] Number of Jobs Submitted,[6] Number of Jobs Submitted,[9] Number of Jobs Submitted,[12] Number of Jobs Submitted,[5] Number of Jobs Submitted,[7] Number of Jobs Submitted,[10] Number of Jobs Submitted,[15] Number of Jobs Submitted,[20] Number of Jobs Submitted,[14] Number of Jobs Submitted,[24] Number of Jobs Submitted,[30] Number of Jobs Submitted,[18] Number of Jobs Submitted,[21] Number of Jobs Submitted,[26] Number of Jobs Submitted,[11] Number of Jobs Submitted,[13] Number of Jobs Submitted,[27] Number of Jobs Submitted,[23] Number of Jobs Submitted
2013-02-01,497,153,30,3,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,2374,95,22,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-02-03,340,48,17,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,1734,158,28,6,3,5,3,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2013-02-05,874,91,16,8,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,833,150,11,9,4,7,7,2,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
2013-02-07,983,93,26,7,2,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,531,111,6,6,13,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-02-09,1339,31,9,1,1,1,27,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-02-10,52,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-11,843,99,9,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-02-12,1620,117,10,0,0,2,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-13,922,70,11,2,4,4,12,10,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0
2013-02-14,1295,138,14,2,0,1,0,0,5,14,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
2013-02-15,887,94,8,2,0,5,1,29,2,4,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
2013-02-16,187,31,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2013-02-17,737,31,16,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-18,955,114,27,2,0,1,2,1,4,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
2013-02-19,450,127,5,1,0,8,2,26,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-02-20,892,120,7,1,0,33,2,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2013-02-21,1032,177,2,1,0,13,2,3,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-22,781,110,7,3,0,5,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-23,869,38,7,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-24,196,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-25,247,98,10,2,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-26,820,94,12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-27,837,121,35,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-28,1196,95,15,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,929,72,13,9,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-02,749,65,14,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-03,290,96,16,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-04,545,161,40,27,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-05,422,134,37,17,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-06,304,166,8,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-07,596,105,8,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-08,549,125,8,14,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-09,370,60,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-10,65,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-11,875,114,5,5,3,3,4,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2013-03-12,440,151,16,9,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0
2013-03-13,1176,111,34,10,0,1,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0
2013-03-14,1514,196,23,17,2,3,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-15,1324,139,29,22,2,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-16,719,60,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-17,301,62,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-18,839,104,18,12,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2013-03-19,1138,119,29,20,3,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-20,1365,123,7,10,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2013-03-21,909,120,6,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-22,2925,131,0,4,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-23,1826,92,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-24,2236,90,0,10,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-03-25,1379,141,12,5,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2013-03-26,1011,112,15,8,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
