Day,[1] Number of Jobs Submitted,[4] Number of Jobs Submitted,[2] Number of Jobs Submitted,[16] Number of Jobs Submitted,[8] Number of Jobs Submitted,[32] Number of Jobs Submitted,[20] Number of Jobs Submitted,[3] Number of Jobs Submitted,[64] Number of Jobs Submitted,[10] Number of Jobs Submitted,[6] Number of Jobs Submitted,[24] Number of Jobs Submitted,[5] Number of Jobs Submitted,[12] Number of Jobs Submitted,[40] Number of Jobs Submitted,[30] Number of Jobs Submitted,[50] Number of Jobs Submitted,[15] Number of Jobs Submitted,[51] Number of Jobs Submitted,[35] Number of Jobs Submitted,[9] Number of Jobs Submitted,[25] Number of Jobs Submitted,[7] Number of Jobs Submitted,[36] Number of Jobs Submitted,[11] Number of Jobs Submitted,[13] Number of Jobs Submitted,[14] Number of Jobs Submitted,[31] Number of Jobs Submitted,[18] Number of Jobs Submitted,[17] Number of Jobs Submitted,[26] Number of Jobs Submitted,[33] Number of Jobs Submitted,[60] Number of Jobs Submitted,[21] Number of Jobs Submitted,[38] Number of Jobs Submitted,[63] Number of Jobs Submitted,[48] Number of Jobs Submitted,[28] Number of Jobs Submitted,[29] Number of Jobs Submitted,[57] Number of Jobs Submitted
2012-03-05,26,6,22,2,4,1,0,5,4,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
2012-03-06,27,5,79,4,2,1,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2012-03-07,25,2,31,1,0,0,0,0,7,1,0,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2012-03-08,24,1,39,14,9,8,0,0,9,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
2012-03-09,21,0,5,4,4,6,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,28,0,20,0,7,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,2,0,0,4,3,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,25,0,4,4,15,5,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,436,0,8,2,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,22,10,6,2,4,13,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
