Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[4] Number of Jobs Submitted,[8] Number of Jobs Submitted,[3] Number of Jobs Submitted,[16] Number of Jobs Submitted,[32] Number of Jobs Submitted,[6] Number of Jobs Submitted,[5] Number of Jobs Submitted,[64] Number of Jobs Submitted,[20] Number of Jobs Submitted,[9] Number of Jobs Submitted,[60] Number of Jobs Submitted,[10] Number of Jobs Submitted,[24] Number of Jobs Submitted,[38] Number of Jobs Submitted,[18] Number of Jobs Submitted,[19] Number of Jobs Submitted,[43] Number of Jobs Submitted,[75] Number of Jobs Submitted,[12] Number of Jobs Submitted,[30] Number of Jobs Submitted,[7] Number of Jobs Submitted,[80] Number of Jobs Submitted,[15] Number of Jobs Submitted,[128] Number of Jobs Submitted,[17] Number of Jobs Submitted,[28] Number of Jobs Submitted,[48] Number of Jobs Submitted,[63] Number of Jobs Submitted,[37] Number of Jobs Submitted,[40] Number of Jobs Submitted,[50] Number of Jobs Submitted,[96] Number of Jobs Submitted,[14] Number of Jobs Submitted,[11] Number of Jobs Submitted,[45] Number of Jobs Submitted,[22] Number of Jobs Submitted,[35] Number of Jobs Submitted,[102] Number of Jobs Submitted,[81] Number of Jobs Submitted,[26] Number of Jobs Submitted,[21] Number of Jobs Submitted,[23] Number of Jobs Submitted,[25] Number of Jobs Submitted,[13] Number of Jobs Submitted,[33] Number of Jobs Submitted,[49] Number of Jobs Submitted,[72] Number of Jobs Submitted,[74] Number of Jobs Submitted,[78] Number of Jobs Submitted,[120] Number of Jobs Submitted,[36] Number of Jobs Submitted,[56] Number of Jobs Submitted,[52] Number of Jobs Submitted,[73] Number of Jobs Submitted,[90] Number of Jobs Submitted,[42] Number of Jobs Submitted,[44] Number of Jobs Submitted,[58] Number of Jobs Submitted,[71] Number of Jobs Submitted,[84] Number of Jobs Submitted,[100] Number of Jobs Submitted,[27] Number of Jobs Submitted,[31] Number of Jobs Submitted,[61] Number of Jobs Submitted
2014-02-01,178,0,10,6,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,372,11,11,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,687,41,25,6,5,0,1,2,0,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,682,37,39,12,9,0,1,1,0,6,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,790,56,43,9,8,0,0,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,568,18,19,8,1,0,4,0,0,12,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,2104,78,33,9,1,0,9,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,332,48,35,7,8,2,17,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,587,20,73,11,10,3,0,0,2,1,1,0,1,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,571,24,18,12,1,0,4,0,0,1,1,0,2,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
