title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[32] Number of Jobs Submitted","[16] Number of Jobs Submitted","[6] Number of Jobs Submitted","[9] Number of Jobs Submitted","[10] Number of Jobs Submitted","[12] Number of Jobs Submitted","[5] Number of Jobs Submitted","[24] Number of Jobs Submitted","[20] Number of Jobs Submitted","[31] Number of Jobs Submitted","[22] Number of Jobs Submitted","[11] Number of Jobs Submitted","[18] Number of Jobs Submitted","[7] Number of Jobs Submitted","[17] Number of Jobs Submitted","[30] Number of Jobs Submitted","[14] Number of Jobs Submitted","[15] Number of Jobs Submitted","[25] Number of Jobs Submitted","[28] Number of Jobs Submitted","[13] Number of Jobs Submitted","[26] Number of Jobs Submitted"
2014-08-01,237,169,11,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,193,66,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,408,90,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,1665,235,34,23,1,0,3,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,2584,137,25,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,2852,207,12,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,639,299,5,6,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,929,255,22,8,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,700,78,9,1,5,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,282,112,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-11,496,208,21,0,16,0,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-12,322,173,49,19,11,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-13,445,235,7,0,4,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-14,370,207,30,6,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-15,497,108,12,5,0,0,5,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-16,322,46,24,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,519,67,12,5,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-18,585,161,16,16,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-19,594,128,26,5,4,7,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-20,533,247,29,4,1,2,3,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-21,419,157,25,7,6,3,4,0,10,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-22,455,186,13,4,0,0,16,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-23,328,107,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-24,202,62,3,3,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-25,230,171,8,4,0,0,3,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-26,317,209,6,5,4,1,8,1,0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-08-27,521,122,53,4,8,1,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-28,432,151,5,4,5,3,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-29,250,113,6,5,1,2,0,0,5,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-30,415,37,13,2,3,121,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2014-08-31,240,43,10,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,406,80,11,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-09-02,437,142,12,4,2,1,0,1,0,0,0,0,1,1,0,4,0,1,0,0,2,0,0,0,1,0,1
2014-09-03,430,152,57,6,9,0,2,0,16,0,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-09-04,631,115,1,3,3,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-05,190,127,12,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-06,198,75,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
