Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[4] Number of Jobs Submitted,[8] Number of Jobs Submitted,[6] Number of Jobs Submitted,[16] Number of Jobs Submitted,[3] Number of Jobs Submitted,[10] Number of Jobs Submitted,[5] Number of Jobs Submitted,[32] Number of Jobs Submitted,[64] Number of Jobs Submitted,[12] Number of Jobs Submitted,[21] Number of Jobs Submitted,[20] Number of Jobs Submitted,[17] Number of Jobs Submitted,[18] Number of Jobs Submitted,[25] Number of Jobs Submitted,[19] Number of Jobs Submitted,[9] Number of Jobs Submitted,[7] Number of Jobs Submitted,[23] Number of Jobs Submitted,[40] Number of Jobs Submitted,[24] Number of Jobs Submitted,[30] Number of Jobs Submitted,[28] Number of Jobs Submitted,[13] Number of Jobs Submitted,[26] Number of Jobs Submitted,[128] Number of Jobs Submitted,[22] Number of Jobs Submitted,[15] Number of Jobs Submitted,[44] Number of Jobs Submitted,[14] Number of Jobs Submitted,[60] Number of Jobs Submitted,[11] Number of Jobs Submitted,[31] Number of Jobs Submitted,[34] Number of Jobs Submitted,[48] Number of Jobs Submitted,[56] Number of Jobs Submitted,[100] Number of Jobs Submitted,[36] Number of Jobs Submitted,[63] Number of Jobs Submitted,[35] Number of Jobs Submitted,[52] Number of Jobs Submitted,[33] Number of Jobs Submitted,[46] Number of Jobs Submitted,[72] Number of Jobs Submitted,[90] Number of Jobs Submitted,[29] Number of Jobs Submitted,[38] Number of Jobs Submitted,[42] Number of Jobs Submitted,[50] Number of Jobs Submitted,[55] Number of Jobs Submitted,[27] Number of Jobs Submitted,[43] Number of Jobs Submitted,[86] Number of Jobs Submitted,[108] Number of Jobs Submitted
2016-02-01,447,104,42,15,15,19,7,8,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,483,43,19,19,2,5,1,4,0,0,7,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,639,39,58,11,16,15,16,2,0,6,3,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,691,51,40,29,11,29,24,0,1,0,1,1,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,658,34,30,18,20,5,22,2,1,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,156,18,14,13,5,18,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,115,14,9,13,0,24,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,122,8,7,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,65,10,0,2,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,461,28,13,5,2,1,15,4,1,0,2,0,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-11,287,31,9,5,4,6,2,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,259,73,16,13,3,4,2,17,106,0,6,0,0,0,0,1,0,0,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,200,16,7,3,6,2,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,269,21,2,4,0,3,0,2,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15,354,48,10,2,8,3,0,8,0,0,4,0,0,1,0,0,0,0,0,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,581,54,10,6,3,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,467,97,20,6,6,0,0,0,1,3,5,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,883,63,20,11,5,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-19,887,50,39,19,10,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,492,9,10,14,1,0,7,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,871,112,22,15,8,2,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-22,580,57,47,35,16,13,0,1,1,6,3,0,0,0,0,1,0,0,1,0,16,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,684,88,125,46,11,2,0,2,0,0,3,0,0,1,0,0,0,0,1,0,0,0,4,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-24,551,119,59,16,14,10,1,9,3,8,2,2,0,3,0,0,0,0,1,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-25,531,45,21,22,7,2,5,1,1,0,1,0,0,1,0,0,3,0,2,1,0,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-26,1473,62,18,16,14,2,1,5,2,29,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-02-27,757,52,18,8,3,1,3,2,5,1,1,2,0,4,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
