title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[3] Number of Jobs Submitted","[16] Number of Jobs Submitted","[32] Number of Jobs Submitted","[64] Number of Jobs Submitted","[8] Number of Jobs Submitted","[10] Number of Jobs Submitted","[6] Number of Jobs Submitted","[25] Number of Jobs Submitted","[12] Number of Jobs Submitted","[9] Number of Jobs Submitted","[20] Number of Jobs Submitted","[5] Number of Jobs Submitted","[38] Number of Jobs Submitted","[36] Number of Jobs Submitted","[35] Number of Jobs Submitted","[24] Number of Jobs Submitted","[28] Number of Jobs Submitted","[15] Number of Jobs Submitted","[128] Number of Jobs Submitted","[18] Number of Jobs Submitted","[34] Number of Jobs Submitted","[50] Number of Jobs Submitted","[7] Number of Jobs Submitted","[13] Number of Jobs Submitted","[40] Number of Jobs Submitted","[45] Number of Jobs Submitted","[14] Number of Jobs Submitted","[42] Number of Jobs Submitted","[52] Number of Jobs Submitted","[29] Number of Jobs Submitted","[11] Number of Jobs Submitted","[30] Number of Jobs Submitted","[55] Number of Jobs Submitted","[17] Number of Jobs Submitted","[21] Number of Jobs Submitted","[27] Number of Jobs Submitted","[48] Number of Jobs Submitted","[54] Number of Jobs Submitted","[60] Number of Jobs Submitted","[63] Number of Jobs Submitted","[80] Number of Jobs Submitted","[22] Number of Jobs Submitted","[43] Number of Jobs Submitted","[68] Number of Jobs Submitted","[100] Number of Jobs Submitted","[19] Number of Jobs Submitted","[23] Number of Jobs Submitted","[26] Number of Jobs Submitted","[31] Number of Jobs Submitted","[33] Number of Jobs Submitted","[37] Number of Jobs Submitted","[39] Number of Jobs Submitted","[41] Number of Jobs Submitted","[44] Number of Jobs Submitted","[46] Number of Jobs Submitted","[47] Number of Jobs Submitted","[49] Number of Jobs Submitted","[51] Number of Jobs Submitted","[53] Number of Jobs Submitted","[56] Number of Jobs Submitted","[57] Number of Jobs Submitted","[58] Number of Jobs Submitted","[59] Number of Jobs Submitted","[61] Number of Jobs Submitted","[62] Number of Jobs Submitted"
2012-08-01,1101,19,6,93,4,2,1,5,1,0,1,1,0,1,0,1,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012-08-02,448,32,8,332,4,3,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,364,30,12,4,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,175,15,5,0,9,0,0,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,402,8,2,4,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,199,5,2,15,5,12,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,390,48,12,29,0,1,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,1405,53,12,26,8,3,1,13,0,0,0,1,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,1469,44,33,40,8,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,1210,43,6,20,4,0,3,1,3,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
