title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[32] Number of Jobs Submitted","[3] Number of Jobs Submitted","[6] Number of Jobs Submitted","[12] Number of Jobs Submitted","[18] Number of Jobs Submitted","[10] Number of Jobs Submitted","[5] Number of Jobs Submitted","[9] Number of Jobs Submitted","[24] Number of Jobs Submitted","[14] Number of Jobs Submitted","[28] Number of Jobs Submitted","[17] Number of Jobs Submitted","[13] Number of Jobs Submitted","[7] Number of Jobs Submitted","[15] Number of Jobs Submitted","[22] Number of Jobs Submitted","[20] Number of Jobs Submitted","[19] Number of Jobs Submitted","[30] Number of Jobs Submitted","[21] Number of Jobs Submitted","[26] Number of Jobs Submitted","[11] Number of Jobs Submitted","[25] Number of Jobs Submitted"
2012-08-01,1699,100,24,4,2,27,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-02,404,134,14,6,4,0,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,573,81,4,4,3,11,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,301,18,6,3,12,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,584,57,3,0,5,6,0,0,2,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,556,48,10,2,7,6,4,1,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,303,81,6,7,5,2,5,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,228,44,4,2,3,3,10,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-08-09,403,244,9,6,3,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,449,200,24,2,1,4,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-11,129,87,0,0,3,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-12,86,98,0,1,3,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-13,447,213,15,6,9,1,5,5,5,0,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0
2012-08-14,395,129,12,1,7,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0
2012-08-15,459,80,6,5,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-16,914,79,18,7,10,3,4,1,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-17,975,111,10,6,3,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-18,423,31,12,1,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-19,512,43,31,2,9,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-20,391,116,21,6,1,8,10,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-21,387,90,44,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-22,377,35,63,20,3,8,8,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-23,497,162,24,6,6,2,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-24,330,143,13,22,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-25,1720,48,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-26,347,40,5,7,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-27,590,92,35,3,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-28,698,92,10,11,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-29,546,197,24,17,0,0,14,14,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-08-30,1215,149,11,9,1,0,11,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-31,979,79,10,17,0,0,15,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,1034,27,39,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-02,480,10,10,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-03,387,62,4,6,0,192,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-04,717,97,9,3,1,8,9,0,1,0,0,3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-05,1224,108,18,6,10,117,20,10,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-09-06,624,88,28,67,1,5,13,9,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-07,570,92,39,173,0,2,8,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-08,243,30,6,73,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-09,216,55,6,0,3,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-10,2741,118,41,48,11,3,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-11,2198,114,29,2,1,8,3,12,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-12,730,87,34,6,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-13,3108,110,27,4,2,6,4,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-14,653,77,26,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-15,5218,23,129,4,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2012-09-16,716,66,14,3,0,0,1,9,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-17,3539,71,13,28,0,0,11,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-09-18,1124,141,23,4,1,4,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-19,4309,106,50,5,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-09-20,2952,96,79,5,0,0,12,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-21,1502,60,30,13,0,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-22,241,29,55,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-23,371,96,29,0,0,1,9,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-24,404,213,101,0,2,2,3,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-25,2832,71,13,4,0,1,6,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
2012-09-26,518,89,29,7,4,0,2,1,2,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-27,518,99,18,2,4,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-09-28,878,158,49,10,9,3,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
