title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[32] Number of Jobs Submitted","[16] Number of Jobs Submitted","[10] Number of Jobs Submitted","[24] Number of Jobs Submitted","[5] Number of Jobs Submitted","[6] Number of Jobs Submitted","[9] Number of Jobs Submitted","[12] Number of Jobs Submitted","[7] Number of Jobs Submitted","[20] Number of Jobs Submitted","[21] Number of Jobs Submitted","[13] Number of Jobs Submitted","[11] Number of Jobs Submitted","[14] Number of Jobs Submitted","[17] Number of Jobs Submitted","[18] Number of Jobs Submitted","[19] Number of Jobs Submitted","[15] Number of Jobs Submitted","[22] Number of Jobs Submitted","[28] Number of Jobs Submitted"
2014-02-01,300,49,10,14,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,2910,49,12,10,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,1064,98,17,16,9,0,1,0,0,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2014-02-04,648,131,30,3,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,728,168,19,20,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-02-06,471,315,11,8,3,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
2014-02-07,485,284,12,17,0,0,4,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-02-08,472,79,17,4,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,490,90,10,14,4,1,0,5,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2014-02-10,691,183,13,8,3,1,0,2,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-11,675,145,18,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,1536,248,19,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-13,1754,150,30,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,702,213,24,12,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,733,80,18,6,1,0,1,2,0,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-16,730,56,18,2,7,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-17,693,166,15,24,2,2,1,0,0,2,0,1,2,0,3,1,0,1,1,0,0,3,0,0,0
2014-02-18,1272,188,9,8,4,0,2,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-19,1528,176,16,8,2,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-20,1566,160,13,6,1,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-21,878,118,16,6,0,0,2,3,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0
2014-02-22,536,78,1,3,3,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0
2014-02-23,2351,64,3,5,2,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-24,516,194,6,9,1,1,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-25,1323,129,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-26,513,174,7,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-27,1029,101,5,4,4,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-02-28,679,166,2,6,8,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-03-01,514,80,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-02,554,59,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-03,511,143,7,8,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-04,600,223,6,95,6,2,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-05,282,141,8,3,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-06,353,184,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-07,479,146,2,18,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-08,52,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-09,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-11,129,81,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-12,361,291,16,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-13,957,181,6,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-14,559,134,21,13,3,13,9,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-15,611,148,27,11,0,24,8,0,8,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-16,233,107,19,17,0,13,4,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-17,610,196,53,8,6,3,1,0,8,0,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-18,1058,199,5,14,4,70,12,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-19,1310,175,3,4,0,35,13,0,14,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-20,1298,196,25,15,5,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-21,1380,177,25,8,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-22,124,72,21,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-23,472,106,19,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,1344,237,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-25,1418,208,2,4,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2014-03-26,1401,191,8,2,0,1,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
2014-03-27,1517,302,9,6,0,5,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-28,1159,246,7,5,5,8,1,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-29,850,138,15,3,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
