Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[4] Number of Jobs Submitted,[8] Number of Jobs Submitted,[32] Number of Jobs Submitted,[12] Number of Jobs Submitted,[16] Number of Jobs Submitted,[3] Number of Jobs Submitted,[28] Number of Jobs Submitted,[6] Number of Jobs Submitted,[5] Number of Jobs Submitted,[10] Number of Jobs Submitted,[24] Number of Jobs Submitted,[20] Number of Jobs Submitted,[9] Number of Jobs Submitted,[7] Number of Jobs Submitted,[11] Number of Jobs Submitted,[25] Number of Jobs Submitted,[27] Number of Jobs Submitted,[18] Number of Jobs Submitted,[15] Number of Jobs Submitted,[30] Number of Jobs Submitted,[26] Number of Jobs Submitted,[13] Number of Jobs Submitted,[14] Number of Jobs Submitted,[17] Number of Jobs Submitted,[19] Number of Jobs Submitted,[21] Number of Jobs Submitted,[23] Number of Jobs Submitted,[29] Number of Jobs Submitted,[31] Number of Jobs Submitted,[22] Number of Jobs Submitted
2011-08-01,205,51,39,9,18,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-02,242,146,31,16,0,1,11,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-03,2514,105,8,14,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-04,2675,201,1,35,5,2,8,4,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-05,2720,52,1,18,12,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-06,2249,10,0,9,5,1,7,5,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-07,473,22,0,2,1,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-08,378,97,5,8,12,0,0,10,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-09,408,224,7,7,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-10,556,455,25,1,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-11,284,66,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-12,362,101,2,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-13,108,9,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-14,177,11,2,5,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-15,334,76,29,13,19,0,17,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-16,385,142,10,0,7,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-17,861,122,47,25,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-18,438,112,1,4,5,0,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-19,261,86,26,4,11,0,0,4,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-20,311,43,5,2,4,0,1,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-21,216,28,7,5,7,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
