title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  shared"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Submitted"
2015-08-01,40
2015-08-02,84
2015-08-03,269
2015-08-04,152
2015-08-05,150
2015-08-06,152
2015-08-07,217
2015-08-08,165
2015-08-09,208
2015-08-10,271
2015-08-11,427
2015-08-12,20927
2015-08-13,6332
2015-08-14,1455
2015-08-15,127
2015-08-16,129
2015-08-17,819
2015-08-18,310
2015-08-19,8421
2015-08-20,610
2015-08-21,481
2015-08-22,678
2015-08-23,257
2015-08-24,872
2015-08-25,510
2015-08-26,2777
2015-08-27,17202
2015-08-28,581
2015-08-29,31035
2015-08-30,273
2015-08-31,111
2015-09-01,4756
2015-09-02,895
2015-09-03,89
2015-09-04,2062
2015-09-05,495
2015-09-06,1120
2015-09-07,20
2015-09-08,679
2015-09-09,434
2015-09-10,121
2015-09-11,60
2015-09-12,1757
2015-09-13,29
2015-09-14,292
2015-09-15,229
2015-09-16,157
2015-09-17,441
2015-09-18,412
2015-09-19,836
2015-09-20,145
2015-09-21,323
2015-09-22,645
2015-09-23,139
2015-09-24,266
2015-09-25,182
2015-09-26,41
2015-09-27,56
2015-09-28,566
2015-09-29,281
2015-09-30,167
2015-10-01,395
2015-10-02,4608
2015-10-03,147
2015-10-04,6019
2015-10-05,539
2015-10-06,326
2015-10-07,319
2015-10-08,3817
2015-10-09,733
2015-10-10,288
2015-10-11,3550
2015-10-12,319
2015-10-13,371
2015-10-14,409
2015-10-15,695
2015-10-16,535
2015-10-17,1121
2015-10-18,696
2015-10-19,511
2015-10-20,988
2015-10-21,826
2015-10-22,562
2015-10-23,323
2015-10-24,135
2015-10-25,291
2015-10-26,378
2015-10-27,984
2015-10-28,440
2015-10-29,633
2015-10-30,545
2015-10-31,141
2015-11-01,123
2015-11-02,2316
2015-11-03,2849
2015-11-04,639
2015-11-05,516
2015-11-06,386
2015-11-07,166
2015-11-08,276
2015-11-09,4179
2015-11-10,3720
2015-11-11,517
2015-11-12,470
2015-11-13,2091
2015-11-14,321
2015-11-15,322
2015-11-16,396
2015-11-17,3473
2015-11-18,6489
2015-11-19,646
2015-11-20,334
2015-11-21,209
2015-11-22,544
2015-11-23,764
2015-11-24,497
2015-11-25,1304
2015-11-26,772
2015-11-27,563
2015-11-28,596
2015-11-29,324
2015-11-30,467
2015-12-01,1764
2015-12-02,2869
2015-12-03,4121
2015-12-04,201
2015-12-05,64
2015-12-06,288
2015-12-07,451
2015-12-08,740
2015-12-09,863
2015-12-10,1963
2015-12-11,477
2015-12-12,337
2015-12-13,121
2015-12-14,553
2015-12-15,1114
2015-12-16,935
2015-12-17,1205
2015-12-18,739
2015-12-19,470
2015-12-20,985
2015-12-21,615
2015-12-22,713
2015-12-23,594
2015-12-24,629
2015-12-25,365
2015-12-26,1313
2015-12-27,537
2015-12-28,251
2015-12-29,1128
2015-12-30,191
2015-12-31,168
2016-01-01,333
2016-01-02,897
2016-01-03,1951
2016-01-04,2551
2016-01-05,1390
2016-01-06,2478
2016-01-07,4010
2016-01-08,1024
2016-01-09,474
2016-01-10,432
2016-01-11,526
2016-01-12,1661
2016-01-13,1972
2016-01-14,2115
2016-01-15,3753
2016-01-16,1978
2016-01-17,622
2016-01-18,852
2016-01-19,1316
2016-01-20,478
2016-01-21,579
2016-01-22,851
2016-01-23,691
2016-01-24,1285
2016-01-25,3270
2016-01-26,3262
2016-01-27,2709
2016-01-28,1155
2016-01-29,470
2016-01-30,192
2016-01-31,186
---------
