title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-GORDON","Queue =  normal"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[3] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[6] Number of Jobs Submitted","[64] Number of Jobs Submitted","[19] Number of Jobs Submitted","[32] Number of Jobs Submitted","[5] Number of Jobs Submitted","[20] Number of Jobs Submitted","[10] Number of Jobs Submitted","[25] Number of Jobs Submitted","[40] Number of Jobs Submitted","[7] Number of Jobs Submitted","[11] Number of Jobs Submitted","[18] Number of Jobs Submitted","[12] Number of Jobs Submitted","[17] Number of Jobs Submitted","[9] Number of Jobs Submitted","[50] Number of Jobs Submitted","[30] Number of Jobs Submitted","[60] Number of Jobs Submitted","[35] Number of Jobs Submitted","[45] Number of Jobs Submitted","[24] Number of Jobs Submitted","[28] Number of Jobs Submitted","[21] Number of Jobs Submitted","[13] Number of Jobs Submitted","[15] Number of Jobs Submitted","[100] Number of Jobs Submitted","[48] Number of Jobs Submitted","[128] Number of Jobs Submitted","[34] Number of Jobs Submitted","[14] Number of Jobs Submitted","[33] Number of Jobs Submitted","[22] Number of Jobs Submitted","[53] Number of Jobs Submitted","[36] Number of Jobs Submitted","[42] Number of Jobs Submitted","[43] Number of Jobs Submitted","[63] Number of Jobs Submitted","[93] Number of Jobs Submitted","[96] Number of Jobs Submitted","[26] Number of Jobs Submitted","[41] Number of Jobs Submitted","[55] Number of Jobs Submitted","[68] Number of Jobs Submitted","[27] Number of Jobs Submitted","[31] Number of Jobs Submitted","[37] Number of Jobs Submitted","[44] Number of Jobs Submitted","[113] Number of Jobs Submitted","[23] Number of Jobs Submitted","[29] Number of Jobs Submitted","[69] Number of Jobs Submitted","[88] Number of Jobs Submitted","[38] Number of Jobs Submitted","[46] Number of Jobs Submitted","[51] Number of Jobs Submitted","[52] Number of Jobs Submitted","[59] Number of Jobs Submitted","[61] Number of Jobs Submitted","[65] Number of Jobs Submitted","[70] Number of Jobs Submitted","[74] Number of Jobs Submitted","[79] Number of Jobs Submitted","[80] Number of Jobs Submitted","[85] Number of Jobs Submitted","[87] Number of Jobs Submitted","[90] Number of Jobs Submitted","[54] Number of Jobs Submitted","[81] Number of Jobs Submitted","[118] Number of Jobs Submitted"
2015-02-01,1538,30,44,4,20,7,10,0,0,5,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1234,31,57,11,12,3,0,7,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,606,42,44,0,19,9,7,3,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,480,27,41,7,13,5,1,3,0,1,16,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,654,44,37,0,16,7,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-06,602,24,21,0,21,8,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,560,18,37,13,10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,345,42,19,3,8,10,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2015-02-09,647,43,68,11,31,4,18,1,0,4,7,0,2,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-02-10,1073,59,57,13,14,6,2,1,0,1,3,12,9,0,0,0,1,2,5,0,0,0,0,0,0,2,0,0,0,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
