title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[6] Number of Jobs Submitted","[3] Number of Jobs Submitted","[10] Number of Jobs Submitted","[5] Number of Jobs Submitted","[12] Number of Jobs Submitted","[7] Number of Jobs Submitted","[9] Number of Jobs Submitted","[14] Number of Jobs Submitted","[13] Number of Jobs Submitted","[15] Number of Jobs Submitted","[11] Number of Jobs Submitted","[32] Number of Jobs Submitted","[40] Number of Jobs Submitted","[21] Number of Jobs Submitted","[30] Number of Jobs Submitted","[94] Number of Jobs Submitted"
2014-08-01,536,90,35,38,27,20,0,6,13,1,0,1,0,1,3,0,0,0,0,0,0
2014-08-02,547,29,34,48,13,15,0,5,16,1,0,0,0,9,0,0,0,0,0,0,0
2014-08-03,451,14,23,57,0,2,11,1,4,0,0,0,0,7,0,0,0,0,0,0,0
2014-08-04,462,60,34,111,15,22,0,35,16,0,0,0,0,8,1,0,0,0,0,0,0
2014-08-05,39,24,17,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,136,78,28,38,47,29,5,10,7,0,0,1,0,0,2,0,0,0,0,0,0
2014-08-07,272,102,48,16,49,14,0,4,0,7,0,0,0,1,0,0,0,0,0,0,0
2014-08-08,481,83,58,17,37,3,4,5,3,11,0,0,0,0,8,0,0,0,0,0,0
2014-08-09,355,66,11,4,5,1,3,16,2,1,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,309,69,7,3,11,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-11,153,95,36,42,30,9,9,1,3,4,0,2,0,6,8,0,0,0,0,0,0
2014-08-12,210,72,25,48,55,1,7,1,0,0,0,1,0,4,2,0,0,0,0,0,0
2014-08-13,227,39,28,62,16,3,5,0,0,2,0,0,0,4,1,1,0,0,0,0,0
2014-08-14,219,84,49,83,15,5,12,1,0,2,0,0,6,2,0,0,0,0,0,0,0
2014-08-15,237,85,61,43,51,18,6,3,1,3,1,0,0,0,0,0,0,0,0,0,0
2014-08-16,96,44,5,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,74,33,12,27,7,5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-18,193,101,41,25,23,14,12,0,1,0,3,0,0,15,0,1,0,0,0,0,0
2014-08-19,152,60,49,29,25,15,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2014-08-20,143,67,40,47,54,8,0,2,0,2,2,0,1,3,0,0,0,0,0,0,0
2014-08-21,268,92,31,34,42,2,28,0,0,3,6,0,0,0,1,0,0,0,0,0,1
2014-08-22,199,56,48,53,34,4,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0
2014-08-23,147,59,25,8,35,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-24,113,54,30,22,47,0,7,0,4,0,0,1,0,6,0,0,0,0,0,0,0
2014-08-25,214,89,27,51,52,15,2,0,5,2,2,0,0,1,0,0,0,0,0,0,0
2014-08-26,336,92,26,48,29,5,0,4,10,1,0,17,0,0,0,0,0,0,0,0,0
2014-08-27,231,145,50,122,36,7,4,2,6,8,3,4,0,0,0,0,0,0,0,0,0
2014-08-28,242,122,53,98,49,12,8,2,6,1,0,5,0,0,0,0,0,0,0,0,0
2014-08-29,198,75,88,83,83,17,5,14,1,1,0,2,0,1,0,0,0,0,0,0,0
2014-08-30,80,13,14,13,43,0,2,1,2,2,0,4,0,0,2,0,0,0,0,0,0
2014-08-31,78,38,25,3,6,1,15,1,1,0,4,0,0,0,0,0,0,0,0,0,0
2014-09-01,106,19,51,28,36,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
