title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-GORDON","Queue =  normal"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[32] Number of Jobs Submitted","[5] Number of Jobs Submitted","[16] Number of Jobs Submitted","[6] Number of Jobs Submitted","[17] Number of Jobs Submitted","[64] Number of Jobs Submitted","[30] Number of Jobs Submitted","[12] Number of Jobs Submitted","[7] Number of Jobs Submitted","[28] Number of Jobs Submitted","[9] Number of Jobs Submitted","[10] Number of Jobs Submitted","[40] Number of Jobs Submitted","[20] Number of Jobs Submitted","[128] Number of Jobs Submitted","[19] Number of Jobs Submitted","[24] Number of Jobs Submitted","[60] Number of Jobs Submitted","[43] Number of Jobs Submitted","[22] Number of Jobs Submitted","[96] Number of Jobs Submitted","[14] Number of Jobs Submitted","[11] Number of Jobs Submitted","[26] Number of Jobs Submitted","[25] Number of Jobs Submitted","[42] Number of Jobs Submitted","[50] Number of Jobs Submitted","[18] Number of Jobs Submitted","[36] Number of Jobs Submitted","[48] Number of Jobs Submitted","[33] Number of Jobs Submitted","[44] Number of Jobs Submitted","[49] Number of Jobs Submitted","[52] Number of Jobs Submitted","[38] Number of Jobs Submitted","[15] Number of Jobs Submitted","[256] Number of Jobs Submitted","[13] Number of Jobs Submitted","[31] Number of Jobs Submitted","[94] Number of Jobs Submitted","[27] Number of Jobs Submitted","[34] Number of Jobs Submitted","[74] Number of Jobs Submitted","[126] Number of Jobs Submitted","[41] Number of Jobs Submitted","[46] Number of Jobs Submitted","[100] Number of Jobs Submitted","[39] Number of Jobs Submitted","[54] Number of Jobs Submitted","[55] Number of Jobs Submitted","[86] Number of Jobs Submitted","[93] Number of Jobs Submitted","[29] Number of Jobs Submitted","[51] Number of Jobs Submitted","[53] Number of Jobs Submitted","[56] Number of Jobs Submitted","[65] Number of Jobs Submitted","[68] Number of Jobs Submitted","[76] Number of Jobs Submitted","[103] Number of Jobs Submitted","[112] Number of Jobs Submitted","[35] Number of Jobs Submitted"
2014-08-01,1082,30,22,45,0,0,1,6,0,2,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,163,37,34,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,289,43,33,27,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,624,72,54,45,9,0,12,1,3,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,655,65,45,15,33,0,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,462,79,60,64,22,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,1451,50,44,82,0,2,2,4,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,301,51,47,28,4,1,0,2,3,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,425,60,59,27,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,230,65,59,54,7,0,0,6,2,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
