title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Submitted","[4] Number of Jobs Submitted","[2] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[3] Number of Jobs Submitted","[64] Number of Jobs Submitted","[6] Number of Jobs Submitted","[9] Number of Jobs Submitted","[5] Number of Jobs Submitted","[32] Number of Jobs Submitted","[10] Number of Jobs Submitted","[20] Number of Jobs Submitted","[12] Number of Jobs Submitted","[31] Number of Jobs Submitted","[7] Number of Jobs Submitted","[256] Number of Jobs Submitted","[128] Number of Jobs Submitted","[36] Number of Jobs Submitted","[40] Number of Jobs Submitted","[30] Number of Jobs Submitted","[181] Number of Jobs Submitted","[15] Number of Jobs Submitted","[48] Number of Jobs Submitted","[24] Number of Jobs Submitted","[66] Number of Jobs Submitted","[25] Number of Jobs Submitted","[13] Number of Jobs Submitted","[100] Number of Jobs Submitted","[50] Number of Jobs Submitted","[60] Number of Jobs Submitted","[11] Number of Jobs Submitted","[14] Number of Jobs Submitted","[136] Number of Jobs Submitted","[18] Number of Jobs Submitted","[45] Number of Jobs Submitted","[192] Number of Jobs Submitted","[96] Number of Jobs Submitted","[200] Number of Jobs Submitted","[17] Number of Jobs Submitted","[63] Number of Jobs Submitted","[150] Number of Jobs Submitted","[80] Number of Jobs Submitted","[144] Number of Jobs Submitted","[250] Number of Jobs Submitted","[160] Number of Jobs Submitted","[22] Number of Jobs Submitted","[39] Number of Jobs Submitted","[120] Number of Jobs Submitted","[26] Number of Jobs Submitted","[132] Number of Jobs Submitted","[27] Number of Jobs Submitted","[61] Number of Jobs Submitted","[125] Number of Jobs Submitted","[21] Number of Jobs Submitted","[240] Number of Jobs Submitted","[54] Number of Jobs Submitted","[90] Number of Jobs Submitted","[101] Number of Jobs Submitted","[51] Number of Jobs Submitted","[162] Number of Jobs Submitted","[224] Number of Jobs Submitted","[28] Number of Jobs Submitted","[72] Number of Jobs Submitted","[135] Number of Jobs Submitted","[52] Number of Jobs Submitted","[75] Number of Jobs Submitted","[106] Number of Jobs Submitted","[35] Number of Jobs Submitted","[183] Number of Jobs Submitted","[104] Number of Jobs Submitted","[216] Number of Jobs Submitted","[105] Number of Jobs Submitted","[44] Number of Jobs Submitted","[49] Number of Jobs Submitted","[204] Number of Jobs Submitted","[169] Number of Jobs Submitted","[19] Number of Jobs Submitted","[34] Number of Jobs Submitted","[251] Number of Jobs Submitted","[41] Number of Jobs Submitted","[76] Number of Jobs Submitted","[153] Number of Jobs Submitted","[77] Number of Jobs Submitted","[130] Number of Jobs Submitted","[180] Number of Jobs Submitted","[23] Number of Jobs Submitted","[70] Number of Jobs Submitted","[156] Number of Jobs Submitted","[42] Number of Jobs Submitted","[252] Number of Jobs Submitted","[81] Number of Jobs Submitted","[151] Number of Jobs Submitted","[170] Number of Jobs Submitted","[171] Number of Jobs Submitted","[38] Number of Jobs Submitted","[108] Number of Jobs Submitted","[112] Number of Jobs Submitted","[208] Number of Jobs Submitted","[73] Number of Jobs Submitted","[29] Number of Jobs Submitted","[65] Number of Jobs Submitted","[123] Number of Jobs Submitted","[202] Number of Jobs Submitted","[139] Number of Jobs Submitted","[69] Number of Jobs Submitted","[225] Number of Jobs Submitted","[88] Number of Jobs Submitted","[94] Number of Jobs Submitted","[113] Number of Jobs Submitted","[127] Number of Jobs Submitted","[210] Number of Jobs Submitted","[220] Number of Jobs Submitted","[47] Number of Jobs Submitted","[196] Number of Jobs Submitted","[33] Number of Jobs Submitted","[58] Number of Jobs Submitted","[84] Number of Jobs Submitted","[102] Number of Jobs Submitted","[114] Number of Jobs Submitted","[121] Number of Jobs Submitted","[255] Number of Jobs Submitted","[37] Number of Jobs Submitted","[56] Number of Jobs Submitted","[78] Number of Jobs Submitted","[99] Number of Jobs Submitted","[140] Number of Jobs Submitted","[155] Number of Jobs Submitted","[161] Number of Jobs Submitted","[245] Number of Jobs Submitted","[55] Number of Jobs Submitted","[201] Number of Jobs Submitted","[165] Number of Jobs Submitted","[168] Number of Jobs Submitted","[67] Number of Jobs Submitted","[85] Number of Jobs Submitted","[93] Number of Jobs Submitted","[110] Number of Jobs Submitted","[116] Number of Jobs Submitted","[117] Number of Jobs Submitted","[142] Number of Jobs Submitted","[53] Number of Jobs Submitted","[68] Number of Jobs Submitted","[124] Number of Jobs Submitted","[203] Number of Jobs Submitted","[205] Number of Jobs Submitted","[213] Number of Jobs Submitted","[253] Number of Jobs Submitted","[43] Number of Jobs Submitted","[46] Number of Jobs Submitted","[57] Number of Jobs Submitted","[111] Number of Jobs Submitted","[133] Number of Jobs Submitted","[149] Number of Jobs Submitted","[185] Number of Jobs Submitted","[190] Number of Jobs Submitted","[197] Number of Jobs Submitted","[236] Number of Jobs Submitted","[241] Number of Jobs Submitted","[243] Number of Jobs Submitted","[71] Number of Jobs Submitted","[95] Number of Jobs Submitted","[118] Number of Jobs Submitted","[129] Number of Jobs Submitted","[138] Number of Jobs Submitted","[164] Number of Jobs Submitted","[187] Number of Jobs Submitted","[195] Number of Jobs Submitted","[234] Number of Jobs Submitted","[689] Number of Jobs Submitted","[720] Number of Jobs Submitted","[861] Number of Jobs Submitted","[1024] Number of Jobs Submitted","[91] Number of Jobs Submitted","[188] Number of Jobs Submitted"
2013-02-01,4771,273,48,96,38,15,110,34,1,2,20,42,12,61,0,0,2,12,1,8,3,8,1,0,3,0,3,0,1,20,1,10,2,0,0,2,0,0,7,0,0,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,6408,154,67,35,36,4,105,24,1,2,7,59,6,9,0,0,0,3,0,15,2,11,1,0,2,0,0,2,0,7,0,0,0,0,2,0,0,0,6,8,0,0,4,0,0,4,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,7817,61,96,24,18,9,64,3,1,18,5,4,2,4,0,16,15,0,0,11,0,5,0,1,1,0,0,0,0,6,0,0,0,0,0,0,1,0,9,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,8394,223,154,63,125,14,28,44,1,4,19,46,12,12,0,0,13,1,0,7,1,2,12,2,1,0,8,0,2,0,0,1,2,0,0,7,2,0,0,6,1,0,1,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,6983,212,142,60,133,30,36,29,0,1,31,17,11,19,0,3,12,6,0,8,4,6,9,0,9,0,4,0,0,4,0,0,3,1,0,8,2,0,0,5,1,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,6969,302,121,41,193,41,69,27,1,6,18,12,6,20,0,0,23,14,0,27,9,1,12,3,32,0,4,1,0,0,0,0,2,0,7,6,8,1,0,4,2,0,10,0,0,0,0,6,0,3,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,6685,403,178,146,159,25,58,20,4,5,24,19,20,26,0,6,20,7,0,5,22,11,22,0,9,0,15,8,4,3,0,2,1,0,4,4,4,10,0,3,7,6,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,5308,209,120,100,99,38,54,18,4,2,6,16,9,29,0,3,32,1,0,8,3,18,53,1,8,0,3,2,0,1,0,5,1,0,3,1,0,0,0,6,0,0,4,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,4,0,0,4,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,4843,97,162,97,80,7,100,11,0,25,17,8,1,12,0,0,10,2,0,7,2,32,21,3,1,0,1,0,0,0,0,6,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,2938,157,85,25,66,6,91,10,0,15,48,7,5,7,0,0,7,12,0,4,2,11,42,2,6,0,2,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
