title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-GORDON","Queue =  normal"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[64] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[3] Number of Jobs Submitted","[5] Number of Jobs Submitted","[32] Number of Jobs Submitted","[9] Number of Jobs Submitted","[6] Number of Jobs Submitted","[25] Number of Jobs Submitted","[10] Number of Jobs Submitted","[12] Number of Jobs Submitted","[35] Number of Jobs Submitted","[20] Number of Jobs Submitted","[11] Number of Jobs Submitted","[24] Number of Jobs Submitted","[18] Number of Jobs Submitted","[128] Number of Jobs Submitted","[48] Number of Jobs Submitted","[40] Number of Jobs Submitted","[15] Number of Jobs Submitted","[96] Number of Jobs Submitted","[19] Number of Jobs Submitted","[21] Number of Jobs Submitted","[23] Number of Jobs Submitted","[36] Number of Jobs Submitted","[98] Number of Jobs Submitted","[30] Number of Jobs Submitted","[41] Number of Jobs Submitted","[7] Number of Jobs Submitted","[31] Number of Jobs Submitted","[45] Number of Jobs Submitted","[100] Number of Jobs Submitted","[38] Number of Jobs Submitted","[60] Number of Jobs Submitted","[91] Number of Jobs Submitted","[22] Number of Jobs Submitted","[33] Number of Jobs Submitted","[106] Number of Jobs Submitted","[108] Number of Jobs Submitted","[13] Number of Jobs Submitted","[14] Number of Jobs Submitted","[69] Number of Jobs Submitted","[93] Number of Jobs Submitted","[44] Number of Jobs Submitted","[28] Number of Jobs Submitted","[57] Number of Jobs Submitted","[110] Number of Jobs Submitted","[112] Number of Jobs Submitted","[26] Number of Jobs Submitted","[62] Number of Jobs Submitted","[72] Number of Jobs Submitted","[104] Number of Jobs Submitted","[43] Number of Jobs Submitted"
2013-02-01,281,19,6,7,2,4,0,0,20,1,2,15,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,269,1,1,9,1,0,1,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,214,2,8,5,0,3,2,0,18,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,853,23,1,21,1,3,4,11,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,775,52,15,18,1,2,8,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,882,62,60,9,2,1,12,0,2,4,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,279,17,23,14,1,1,2,0,3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-02-08,519,41,16,22,5,4,2,0,9,1,1,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,225,10,23,1,1,3,6,3,1,7,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,123,1,1,23,0,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-11,228,10,112,6,3,3,0,0,6,12,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-12,199,10,18,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-13,763,26,55,6,2,9,1,0,2,2,1,0,0,0,0,1,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-14,1131,50,57,18,0,1,0,0,1,0,0,0,5,0,0,0,1,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-15,138,19,45,18,0,0,2,0,3,0,5,0,4,0,0,0,11,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-16,111,29,33,12,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-17,185,203,37,16,2,4,0,0,6,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-18,332,133,14,7,1,11,0,0,2,4,1,0,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-19,373,75,12,7,7,12,5,0,8,1,10,0,15,2,0,0,14,0,11,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-20,719,90,7,13,29,7,2,0,3,10,0,0,6,1,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-21,281,65,7,16,9,5,6,0,14,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-22,350,99,10,36,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-23,161,30,5,5,4,2,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-24,115,1,6,20,0,3,1,0,0,0,0,0,0,0,0,30,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-25,293,39,4,24,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
