Day,[PURDUE STEELE] Number of Jobs Submitted,[NCSA ABE] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[NICS ATHENA] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[TACC LONESTAR] Number of Jobs Submitted,[PSC POPLE] Number of Jobs Submitted,[NCSA EMBER*] Number of Jobs Submitted,[NCSA COBALT] Number of Jobs Submitted,[IU BIGRED*] Number of Jobs Submitted,[NCAR FROST] Number of Jobs Submitted,[NCSA LINCOLN] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[ORNL NSTG] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted
2010-08-01,3688,2145,45,658,1007,99,135,72,60,0,96,81,7,7,33,51,0,0,0,0,10
2010-08-02,7338,3269,65,1035,915,119,18845,104,44,0,186,73,57,38,13,30,0,0,0,0,8
2010-08-03,5668,2290,441,919,1022,77,524,119,70,0,166,4,45,15,18,17,0,0,0,0,10
2010-08-04,3961,1716,260,205,683,87,10264,157,51,0,155,53,14,103,17,15,0,0,0,0,1
2010-08-05,1828,1578,423,392,868,60,566,152,96,0,107,50,32,63,10,13,15,0,0,0,6
2010-08-06,3288,1983,580,652,1199,20,130,120,41,0,149,46,20,47,7,15,40,0,0,0,3
2010-08-07,632,1305,740,307,1667,50,38,197,24,0,240,30,13,39,0,17,48,0,0,0,1
2010-08-08,295,888,102,571,3108,14,41,126,57,0,152,176,6,14,3,13,10,0,0,0,1
2010-08-09,1294,1601,200,818,1036,68,196,154,84,0,344,122,38,66,11,13,0,0,0,0,8
2010-08-10,694,1387,1034,658,1010,47,199,135,113,0,116,85,22,100,21,15,0,0,0,0,0
2010-08-11,1283,1931,642,159,1298,102,197,203,88,0,148,156,36,43,24,23,0,0,0,0,12
2010-08-12,3218,1291,599,16,1630,62,173,309,70,0,208,85,59,80,0,48,0,0,0,0,7
2010-08-13,3331,1296,300,88,1065,50,272,173,83,0,163,55,19,52,44,50,6,0,0,0,4
2010-08-14,4108,566,880,102,742,92,158,298,21,0,76,67,3,48,1,48,6,0,0,0,4
2010-08-15,4460,895,824,453,2289,471,181,239,15,0,113,59,6,18,1,51,5,0,0,0,6
2010-08-16,2540,1368,740,841,1605,1112,317,344,83,0,231,78,53,18,26,50,11,0,0,0,5
2010-08-17,2120,1522,9,842,1206,616,196,282,69,0,206,115,48,11,10,60,2,0,0,0,8
2010-08-18,1720,3012,1281,13,1203,421,161,453,68,0,195,67,23,20,17,59,30,0,0,0,3
2010-08-19,2572,1502,1545,21,1236,131,92,309,100,0,229,55,16,58,11,49,10,0,0,0,7
2010-08-20,1735,2372,1500,77,1709,86,111,274,80,0,152,220,12,57,24,50,6,0,0,0,2
2010-08-21,1321,3382,1758,148,1629,51,112,252,69,0,73,67,2,16,7,54,14,0,0,0,3
2010-08-22,1448,3134,1998,289,1072,54,119,233,70,0,24,126,2,33,0,55,1,0,0,0,2
2010-08-23,857,3481,982,495,1464,72,411,304,79,0,75,254,23,14,16,50,0,0,0,0,5
2010-08-24,1457,2788,400,1519,1328,48,629,91,146,0,92,71,48,29,41,52,0,0,0,0,1
2010-08-25,275,3695,580,17,1943,81,463,160,102,0,193,126,77,70,11,54,11,0,0,0,5
2010-08-26,5702,1538,1904,3924,2310,29,321,131,77,0,181,96,50,24,16,48,20,0,0,0,6
2010-08-27,6509,2691,2424,687,2704,37,360,1927,59,0,160,68,29,20,13,50,2,0,0,0,0
2010-08-28,2220,1525,960,360,1525,25,115,1764,57,0,73,66,5,12,3,48,0,0,0,0,2
2010-08-29,3116,2650,1174,689,2098,7,129,2291,85,0,36,48,5,24,2,47,0,0,0,0,0
2010-08-30,3983,3251,1504,1251,1663,46,170,484,87,0,119,47,13,16,11,54,1,0,0,0,2
2010-08-31,1074,2581,1140,777,1736,111,281,250,89,0,140,31,19,17,11,49,11,0,0,0,6
2010-09-01,1081,1630,2859,479,1717,133,581,240,24,0,143,153,21,18,67,56,12,0,0,0,0
2010-09-02,1298,3256,785,2030,1404,697,161,177,28,0,110,103,6,15,53,57,8,0,0,0,0
2010-09-03,1582,2558,440,1661,1497,73,273,241,48,0,177,77,22,31,10,50,0,0,0,0,1
2010-09-04,911,223,440,985,740,638,128,127,64,0,81,50,8,12,0,54,0,0,0,0,0
2010-09-05,3009,327,40,775,550,749,155,146,2,0,39,57,7,13,1,52,0,0,0,0,0
2010-09-06,891,558,240,1004,729,844,156,153,17,0,147,53,15,9,15,53,0,0,0,0,0
2010-09-07,537,1431,146,2118,1011,39,118,466,88,0,229,61,10,21,16,56,0,0,0,0,3
2010-09-08,461,293,1,516,968,701,187,476,99,0,196,57,21,1,9,53,10,0,0,0,3
2010-09-09,1992,710,6,1078,739,79,136,376,79,0,217,181,15,28,6,56,21,0,0,0,5
2010-09-10,355,1401,0,830,685,75,168,417,52,0,132,170,23,18,3,58,14,0,0,0,3
2010-09-11,216,1509,0,304,715,40,106,2033,25,0,24,147,23,6,4,52,3,0,0,0,3
2010-09-12,377,1704,0,659,813,49,177,2546,28,0,65,199,22,4,7,54,0,0,0,0,1
2010-09-13,654,813,391,1842,1080,113,174,1637,95,0,206,73,29,14,46,55,3,0,0,0,3
2010-09-14,1230,883,860,8133,1102,80,103,1908,31,0,118,56,24,11,16,52,3,0,0,0,14
2010-09-15,888,1310,1603,124,1072,651,75,1649,70,0,152,68,29,24,18,53,8,0,0,0,10
2010-09-16,1590,998,0,222,2144,114,477,277,94,0,19,44,22,4,13,54,3,0,0,0,5
2010-09-17,4811,108,1859,184,989,116,658,851,30,0,1,65,18,0,6,57,0,0,0,0,2
2010-09-18,7762,351,24,3723,773,36,73,1917,36,0,23,46,9,38,6,54,0,0,0,0,0
2010-09-19,9290,382,8,1520,876,100,64,1404,34,0,10,47,11,19,8,51,0,0,0,0,2
2010-09-20,11761,422,480,1751,1002,113,126,851,77,0,146,46,30,28,12,23,0,0,0,0,5
2010-09-21,1334,796,763,5740,1012,151,81,2365,76,0,140,11,40,36,49,7,0,0,0,0,3
2010-09-22,888,938,71,150,809,216,127,2325,63,0,247,44,21,47,10,12,0,0,0,0,15
2010-09-23,966,950,208,343,859,109,67,2086,62,0,318,20,14,47,8,20,0,0,0,0,10
2010-09-24,761,608,34,1340,1013,145,78,2240,43,0,113,32,27,95,4,16,0,0,0,0,8
2010-09-25,5492,458,767,633,722,93,97,1731,13,0,122,17,11,41,0,16,0,0,0,0,0
2010-09-26,690,1451,10,715,890,14,73,1839,14,0,33,21,28,77,0,11,0,0,0,0,3
2010-09-27,1554,1377,23,1307,854,62,97,1974,46,0,162,18,34,44,8,15,0,0,0,0,13
2010-09-28,1779,236,177,616,298,200,216,1224,31,0,211,25,35,35,0,13,0,0,0,0,0
2010-09-29,1584,1224,10,94,1298,101,93,1628,68,0,207,32,27,25,9,13,2,0,0,0,4
2010-09-30,2180,756,8,391,1241,147,124,1610,75,0,144,16,11,46,11,14,0,0,0,0,6
2010-10-01,1932,659,8,722,905,120,102,96,15,0,117,9,13,27,15,13,1,0,0,0,7
2010-10-02,2171,2256,8,621,919,59,91,35,17,0,254,10,23,12,7,18,0,0,0,0,1
2010-10-03,1995,3837,8,710,970,108,119,41,8,0,186,11,12,6,0,12,0,0,0,0,4
2010-10-04,2469,2144,763,1051,902,398,42,77,191,0,125,18,35,35,43,15,6,0,0,0,1
2010-10-05,2885,1755,722,1071,691,388,60,129,74,11,56,3,27,60,11,14,11,0,0,0,9
2010-10-06,1429,4804,128,180,610,86,91,99,30,7,139,8,31,64,19,16,7,0,0,0,4
2010-10-07,1364,6271,8,79,608,180,76,85,59,6,125,10,49,22,40,12,8,0,0,0,27
2010-10-08,1662,6571,355,566,436,57,109,201,42,11,73,18,5,54,19,29,0,0,0,0,6
2010-10-09,3682,8821,28,804,309,9,156,146,2,8,78,44,0,8,7,51,9,0,0,0,3
2010-10-10,1449,12332,18,1234,541,104,99,160,1,37,76,42,10,1,0,50,2,1,0,0,4
2010-10-11,3,7650,32,2228,523,95,134,72,49,13,199,44,13,14,30,50,6,0,0,0,2
2010-10-12,53,11141,882,6086,271,96,111,280,18,19,215,62,34,33,197,55,0,0,0,0,0
2010-10-13,1999,6794,993,2801,464,114,170,120,1,20,173,81,9,31,118,51,13,5,0,0,10
2010-10-14,1893,7015,1040,1395,568,1716,140,54,3,11,147,44,19,44,40,53,45,0,0,0,20
2010-10-15,1011,2988,1374,1296,468,324,134,140,41,40,107,101,15,60,6,53,9,0,0,0,6
2010-10-16,504,1527,280,438,628,97,117,139,45,4,50,20,7,30,13,53,27,0,0,0,4
2010-10-17,921,4882,3841,685,973,41,123,266,60,2,89,41,10,16,0,58,14,0,0,0,0
2010-10-18,1079,5203,2204,1034,860,167,138,429,97,31,153,61,8,66,24,45,3,11,0,0,3
2010-10-19,1378,2282,1769,910,609,93,168,326,42,48,119,42,34,29,11,8,0,3,0,0,0
2010-10-20,874,5739,1152,604,585,132,158,436,84,18,190,32,83,29,138,56,6,6,0,0,4
2010-10-21,1433,2010,3430,633,524,124,89,397,55,81,318,74,21,21,131,50,12,7,0,0,2
2010-10-22,939,6283,699,734,686,252,187,419,173,5,167,58,31,31,45,51,18,2,0,0,1
2010-10-23,482,6243,497,296,505,349,114,413,23,48,51,136,22,17,9,48,16,0,0,0,1
2010-10-24,1322,8973,698,456,578,363,120,290,38,35,90,46,15,0,31,54,13,0,0,0,2
2010-10-25,1450,4331,912,1885,879,63,231,547,124,49,161,56,19,41,48,51,9,3,0,0,2
2010-10-26,761,9770,892,646,421,742,172,92,49,73,275,53,13,31,56,51,2,0,0,0,2
2010-10-27,1423,7714,3373,2787,0,387,106,244,125,108,278,40,17,84,16,29,0,0,0,0,0
2010-10-28,1583,6473,1678,2873,113,467,78,328,99,87,149,30,16,39,15,14,0,0,0,0,0
2010-10-29,525,3040,972,4160,626,1622,123,220,87,46,109,42,17,44,5,15,15,0,0,0,3
2010-10-30,235,2457,615,694,645,938,126,114,65,23,105,38,15,14,4,16,3,0,0,0,1
2010-10-31,539,4839,1014,2551,768,164,132,184,31,22,104,55,21,58,13,14,0,3,0,0,0
2010-11-01,857,4237,560,4396,1044,2090,193,230,78,40,132,48,33,113,49,15,29,3,0,0,3
2010-11-02,2378,4472,3134,3364,519,1463,125,219,72,68,104,33,29,103,41,21,29,1,0,0,10
2010-11-03,6699,546,1106,471,520,105,167,228,137,162,177,24,25,26,60,10,13,1,0,0,1
2010-11-04,2557,149,1163,54,472,172,188,226,77,152,164,48,41,33,16,14,20,1,0,0,6
2010-11-05,1490,873,1838,177,574,492,162,234,174,122,72,62,31,76,16,15,59,0,0,0,1
2010-11-06,884,931,8,216,349,916,103,203,97,74,0,66,18,63,3,0,2,0,0,0,1
2010-11-07,2952,956,0,468,260,447,140,71,85,80,0,44,2,13,4,0,0,0,0,0,0
2010-11-08,689,356,797,1349,740,344,189,209,86,204,0,203,7,83,61,0,17,0,0,0,4
2010-11-09,13003,396,24,4448,872,388,185,304,74,131,0,36,23,59,199,0,33,0,0,0,3
2010-11-10,5967,536,796,1593,665,151,192,403,96,370,0,82,12,26,11,0,0,17,0,0,14
2010-11-11,5802,556,728,3930,635,143,125,265,81,144,0,42,7,33,13,0,13,0,0,0,22
2010-11-12,787,1696,469,1469,650,108,86,314,94,96,0,69,6,28,22,0,3,0,0,0,10
2010-11-13,782,517,705,545,303,149,68,222,15,140,0,49,12,6,13,0,0,0,0,0,6
2010-11-14,2304,413,289,472,669,148,86,185,21,37,0,23,9,9,11,0,0,0,0,0,7
2010-11-15,3699,152,1024,1179,791,122,181,372,111,0,0,67,13,3,17,0,4,0,0,0,16
2010-11-16,5392,980,782,804,282,165,189,362,454,61,0,127,16,5,18,0,0,0,0,0,1
2010-11-17,5665,1346,1594,430,687,101,308,303,168,66,0,81,6,26,43,0,59,0,0,0,9
2010-11-18,6870,1181,584,313,499,128,330,213,94,277,0,81,18,41,22,0,4,8,0,0,15
2010-11-19,2386,1231,4747,1102,482,349,304,188,84,128,0,69,14,15,26,0,4,7,0,0,18
2010-11-20,2638,5703,956,0,711,50,199,203,88,174,0,48,9,23,65,0,19,26,0,0,8
2010-11-21,1511,2862,453,1825,618,84,166,224,259,111,0,58,7,26,10,0,21,27,0,0,5
2010-11-22,2458,2634,11438,2828,587,34,167,209,278,157,0,55,20,45,47,0,15,26,0,0,29
2010-11-23,1198,1289,16716,2181,582,762,238,33,47,139,0,40,18,43,34,0,105,9,0,0,18
2010-11-24,878,1207,15078,481,902,197,251,68,31,188,0,41,21,75,10,0,74,11,0,0,4
2010-11-25,727,772,24,1483,916,170,252,44,43,105,0,6,14,39,3,0,8,7,0,0,0
2010-11-26,645,1807,43,3883,800,132,490,61,24,124,0,48,8,29,10,0,12,0,0,0,0
2010-11-27,1050,1226,3739,3378,569,1400,233,41,50,180,0,63,11,31,4,0,25,0,0,0,0
2010-11-28,1506,1304,4057,3158,1007,1634,256,97,106,109,0,64,6,58,5,0,45,0,0,0,0
2010-11-29,1818,306,13190,2652,899,109,143,83,75,165,0,65,21,4,23,0,58,2,0,0,4
2010-11-30,1208,876,7050,306,1003,205,156,193,54,266,0,144,17,99,8,0,37,7,0,0,2
2010-12-01,1265,1646,675,2188,859,150,139,6,86,261,0,89,18,270,13,0,28,2,0,0,1
2010-12-02,647,2030,6538,232,812,1135,200,0,46,182,0,75,15,57,25,0,24,19,0,0,4
2010-12-03,1048,1667,24,1240,687,443,113,0,73,243,0,28,18,86,12,0,19,8,0,0,7
2010-12-04,2556,1448,471,1876,620,415,27,0,22,61,0,55,11,110,7,0,3,2,0,0,8
2010-12-05,763,1539,4,933,709,1405,51,0,9,55,0,76,14,111,10,0,18,7,0,0,4
