Day,[OSG] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[CCT LSU SUPERMIC] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted
2014-08-01,0,5207,1373,424,2019,2056,271,78,11,0,18,42
2014-08-02,0,7290,305,265,2205,2164,726,62,0,0,17,404
2014-08-03,0,5348,502,508,1975,161,479,219,2,0,17,21
2014-08-04,0,5840,967,1967,2634,1492,211,164,618,0,28,10
2014-08-05,0,2315,986,2758,849,231,18,270,47,0,0,10
2014-08-06,0,3548,907,3083,486,2275,195,174,13,0,4,3
2014-08-07,0,3300,1806,960,1779,1146,282,191,18,0,24,20
2014-08-08,0,4963,592,1221,1722,92,334,138,29,0,9,61
2014-08-09,0,8533,630,801,1824,27,174,58,13,0,4,15
2014-08-10,0,7353,493,400,1543,849,764,67,615,0,12,0
2014-08-11,0,7166,767,752,1643,1481,350,103,884,0,21,2
2014-08-12,0,10735,841,583,1236,1216,223,182,253,0,9,36
2014-08-13,0,7047,942,702,187,147,334,323,530,0,9,113
2014-08-14,0,5507,1111,622,100,102,93,137,809,0,7,26
2014-08-15,0,4546,1566,644,180,137,346,250,270,0,3,85
2014-08-16,0,5603,1119,407,44,48,74,74,801,0,7,0
2014-08-17,0,5877,844,608,64,47,14,67,223,0,2,0
2014-08-18,0,6314,852,789,1058,251,118,289,94,0,6,1
2014-08-19,0,5440,713,770,1584,177,30,412,63,0,6,17
2014-08-20,0,3917,1028,830,1552,95,71,435,59,0,6,0
2014-08-21,0,3769,705,639,2082,148,79,195,35,0,4,12
2014-08-22,0,2927,700,694,1972,237,43,226,32,0,13,0
2014-08-23,0,6753,719,444,1911,189,60,246,47,0,5,10
2014-08-24,0,6532,568,280,1489,319,58,170,35,0,4,4
2014-08-25,0,6183,1035,421,1082,127,75,139,95,0,5,4
2014-08-26,0,7147,790,559,49,76,411,138,74,0,5,3
2014-08-27,0,6829,807,721,1080,125,139,202,111,0,3,0
2014-08-28,0,5201,1177,619,1022,1396,52,165,78,0,4,0
2014-08-29,0,3934,877,389,1040,2973,46,122,68,0,12,0
2014-08-30,0,5056,575,600,1666,4128,21,148,41,0,4,0
2014-08-31,0,7136,514,298,110,2197,25,148,60,0,25,0
2014-09-01,0,6882,582,503,1280,74,28,137,73,0,6,0
2014-09-02,0,4035,462,610,1843,65,7,104,105,0,5,0
2014-09-03,0,6222,829,685,15,124,8,149,103,0,5,0
2014-09-04,0,5843,657,760,1290,87,39,205,95,0,9,0
2014-09-05,0,4698,525,339,638,87,25,215,107,0,4,0
2014-09-06,0,3685,369,282,36,93,12,129,57,0,6,0
2014-09-07,0,5458,541,311,72,65,19,70,83,0,4,0
2014-09-08,0,3649,502,916,1140,77,24,274,73,0,3,0
2014-09-09,0,1007,424,734,1251,1040,17,297,114,0,5,0
