Day,[PURDUE STEELE] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[NCSA FORGE] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted
2012-02-01,2679,1539,15008,1284,701,0,361,87,117,15,70,1,5,0,2
2012-02-02,9550,226,2760,1761,1374,0,487,158,179,23,51,41,6,0,1
2012-02-03,5897,2533,24,1840,490,0,329,84,141,32,66,2,0,0,1
2012-02-04,2629,918,10450,1245,343,0,160,80,52,8,33,0,0,0,0
2012-02-05,2347,916,8,1100,175,0,480,45,34,4,19,2,4,0,0
2012-02-06,3108,1600,20,1799,24,0,417,102,179,22,48,14,16,0,0
2012-02-07,4844,1117,1053,1421,1294,0,293,66,107,45,44,8,12,0,0
2012-02-08,3685,987,40,1612,503,0,151,117,151,22,63,3,3,0,9
2012-02-09,3452,1000,43,1259,786,0,589,130,131,98,51,2,22,0,3
2012-02-10,1599,1789,24,1929,903,0,461,154,293,81,47,6,25,0,0
2012-02-11,620,470,24,1152,536,0,438,35,465,3,27,21,66,0,0
2012-02-12,1795,518,20,1076,514,0,569,90,272,8,13,17,0,0,4
2012-02-13,1099,1393,20,1777,913,0,689,102,301,73,56,15,4,0,4
2012-02-14,2632,1124,20,373,944,0,682,119,314,45,49,8,0,0,2
2012-02-15,2654,1004,40,1838,1230,0,360,84,48,154,34,6,3,0,8
2012-02-16,622,953,1599,2204,785,0,213,104,77,99,60,2,1,0,0
2012-02-17,702,891,2206,1385,1019,0,578,108,48,46,24,4,2,0,0
2012-02-18,276,508,1704,203,2170,0,21,40,14,1,7,0,0,0,0
2012-02-19,1902,776,24,1689,1348,0,274,87,15,24,16,9,1,0,2
2012-02-20,237,581,624,4108,2758,0,448,135,129,17,20,9,3,0,0
2012-02-21,239,726,457,2058,701,0,456,266,157,22,34,4,3,0,0
2012-02-22,438,1051,1013,2337,1827,0,611,129,83,11,78,5,1,0,0
2012-02-23,5102,131,24,2616,2049,0,378,136,68,34,74,9,4,0,0
2012-02-24,6513,18,20,3452,1259,0,450,118,130,12,51,9,1,0,0
2012-02-25,8166,15,20,1526,1592,0,446,81,101,12,0,0,2,0,0
2012-02-26,1713,591,12,2000,1633,0,675,39,40,6,0,0,0,0,0
2012-02-27,476,1425,0,2891,2610,0,441,171,98,52,17,2,26,0,0
2012-02-28,2202,1650,99,2846,1902,0,383,210,39,22,97,5,1,0,0
2012-02-29,7972,1595,24,2089,1271,0,116,284,51,44,60,76,4,0,0
2012-03-01,12739,1644,52,1838,776,0,765,102,200,14,70,53,0,0,0
2012-03-02,12980,1029,20,2153,778,0,205,114,52,7,55,22,4,0,0
2012-03-03,3935,931,0,1362,819,0,3,301,21,15,27,7,13,0,0
2012-03-04,1638,654,28,1746,1338,0,94,248,196,30,13,39,10,0,0
2012-03-05,2681,834,24,2129,1169,85,340,325,140,21,48,17,0,0,0
2012-03-06,5508,842,30,2463,1048,130,318,448,127,30,43,0,1,0,0
2012-03-07,1716,918,200,2082,3152,80,297,414,112,24,57,2,11,0,0
2012-03-08,2445,315,64,2291,2659,116,3,157,138,23,42,2,12,0,0
2012-03-09,11724,847,20,1779,1535,51,48,161,89,11,20,0,10,0,0
2012-03-10,13046,392,4,867,948,60,216,80,23,6,402,37,7,0,0
2012-03-11,13379,392,60,946,681,15,254,196,54,5,118,30,17,0,0
2012-03-12,10675,974,1428,1102,720,57,133,301,71,13,229,12,49,0,0
2012-03-13,932,969,2236,1014,1481,454,359,437,129,29,272,3,11,0,0
