title
"Number of Jobs Submitted: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Submitted","[PURDUE CONDOR] Number of Jobs Submitted","[NICS KRAKEN] Number of Jobs Submitted","[TACC RANGER] Number of Jobs Submitted","[SDSC TRESTLES] Number of Jobs Submitted","[TACC LONESTAR4] Number of Jobs Submitted","[PSC BLACKLIGHT] Number of Jobs Submitted","[NICS NAUTILUS] Number of Jobs Submitted","[NCSA FORGE] Number of Jobs Submitted","[TACC LONGHORN] Number of Jobs Submitted","[LONI QUEENBEE] Number of Jobs Submitted","[NCSA LINCOLN] Number of Jobs Submitted","[PSC POPLE] Number of Jobs Submitted","[TACC SPUR] Number of Jobs Submitted","[SDSC DASH] Number of Jobs Submitted","[NCSA EMBER*] Number of Jobs Submitted","[NCAR FROST] Number of Jobs Submitted","[IU BIGRED*] Number of Jobs Submitted"
2011-08-01,3433,2543,1619,675,327,238,252,136,0,302,122,72,58,5,45,0,0,36
2011-08-02,16816,21363,1124,611,453,92,169,222,0,146,94,127,71,13,21,0,0,4
2011-08-03,27894,4374,1740,590,2647,488,10,13,0,85,91,133,88,1,22,0,0,1
2011-08-04,5691,2571,1168,870,2940,319,56,155,0,88,111,86,68,4,9,0,0,0
2011-08-05,13155,15661,1649,520,2808,513,101,243,0,44,53,37,99,0,0,0,0,0
2011-08-06,24228,8,1622,257,2294,204,113,10,0,17,49,51,51,0,1,0,0,0
2011-08-07,61137,20,1024,296,506,284,126,29,0,28,20,88,42,2,0,0,0,0
2011-08-08,4,0,835,743,513,423,284,250,0,36,64,41,93,7,0,0,0,0
2011-08-09,5159,552,1194,736,655,74,483,144,0,49,71,33,202,5,0,7,0,0
2011-08-10,35980,5913,939,744,1044,486,868,264,0,57,33,87,89,5,2,10,0,0
2011-08-11,6031,3168,261,615,373,598,272,201,0,46,6,86,87,3,10,0,0,0
2011-08-12,30321,681,743,525,473,421,1204,134,0,103,18,70,56,3,2,0,0,0
2011-08-13,34541,375,259,509,126,165,415,506,0,5,47,35,28,2,12,0,0,0
2011-08-14,3009,44,950,571,203,250,490,0,0,19,94,46,19,2,14,0,0,0
2011-08-15,7122,2925,1127,943,498,0,262,276,0,29,61,76,38,6,6,1,0,0
2011-08-16,3873,2729,1048,1078,567,6,1276,313,0,43,86,59,36,3,15,2,0,0
2011-08-17,4637,1911,2001,813,1062,242,1544,253,0,14,34,46,13,5,27,31,0,0
2011-08-18,1950,861,1939,1125,578,660,621,303,4,16,141,48,33,7,8,22,0,0
2011-08-19,1385,1813,886,1023,400,285,310,42,0,15,100,114,34,3,1,4,0,0
2011-08-20,855,277,2113,599,376,314,460,6,0,17,49,85,30,0,5,10,0,0
2011-08-21,1283,5909,1663,754,269,406,351,34,0,31,77,34,42,2,11,2,0,0
2011-08-22,1942,10352,1351,740,506,518,713,49,0,74,38,97,75,6,6,4,3,0
2011-08-23,3208,11883,4248,224,468,758,975,26,3,43,8,119,35,0,17,6,10,0
2011-08-24,2986,8012,7893,1149,448,698,792,110,16,29,0,23,60,3,9,1,4,0
2011-08-25,2903,12654,4991,731,613,652,942,7,0,18,2,80,61,5,20,7,13,0
2011-08-26,2327,12456,3641,560,638,443,795,114,0,38,35,79,32,1,8,4,11,0
2011-08-27,1614,13909,1452,554,316,187,462,288,0,12,3,51,11,1,6,7,0,0
2011-08-28,2918,12295,1059,543,336,349,156,196,0,8,44,46,0,0,2,6,0,0
2011-08-29,3184,8525,1165,1411,655,359,538,136,0,7,90,51,42,6,0,4,3,0
