Day,[PURDUE CONDOR] Number of Jobs Submitted,[PURDUE STEELE] Number of Jobs Submitted,[NCSA ABE] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[NICS ATHENA] Number of Jobs Submitted,[TACC LONESTAR] Number of Jobs Submitted,[NCSA COBALT] Number of Jobs Submitted,[IU BIGRED*] Number of Jobs Submitted,[PSC POPLE] Number of Jobs Submitted,[PSC BIGBEN] Number of Jobs Submitted,[NCSA DTF] Number of Jobs Submitted,[ORNL NSTG] Number of Jobs Submitted,[NCSA LINCOLN] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[NCAR FROST] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted
2010-02-01,4001,2681,1917,0,736,440,0,183,108,29,30,100,141,64,27,2,24,4,0
2010-02-02,2594,6223,1604,2,1033,683,0,183,261,9,53,5,242,69,25,5,22,5,0
2010-02-03,4835,1109,999,227,9,860,0,249,168,42,48,27,177,58,137,0,70,14,0
2010-02-04,5476,1908,813,693,673,654,0,226,102,12,59,85,234,58,30,2,41,7,0
2010-02-05,3228,4816,964,199,826,537,0,146,79,22,68,131,129,60,63,3,12,4,0
2010-02-06,42,356,1488,166,502,379,0,78,25,29,0,17,168,29,12,0,37,2,0
2010-02-07,506,233,1552,133,1069,277,0,91,84,35,7,86,31,16,9,0,10,0,0
2010-02-08,193,332,2745,437,1496,508,0,571,163,33,9,70,366,22,25,7,15,4,0
2010-02-09,49,518,2794,237,1775,416,0,157,106,49,60,191,322,23,104,6,24,4,0
2010-02-10,50,6496,4313,362,0,370,0,223,177,29,56,43,160,25,24,7,235,3,0
2010-02-11,13,7906,2746,224,922,339,0,80,136,85,80,71,138,32,26,21,259,2,0
2010-02-12,3546,9208,1579,170,1244,244,0,214,82,41,50,20,135,39,17,7,32,3,0
2010-02-13,5,10413,606,62,1084,217,0,102,86,17,79,58,77,55,14,0,10,3,0
2010-02-14,5,2143,970,193,1171,244,0,101,56,25,72,33,42,54,17,0,4,5,0
2010-02-15,13,8641,1940,224,1662,354,0,288,184,30,98,87,86,56,58,2,37,2,0
2010-02-16,108,7398,573,177,759,339,0,280,195,25,79,140,168,59,129,13,36,2,0
2010-02-17,3459,5206,1335,0,775,373,0,226,132,8,99,504,100,76,74,48,67,2,0
2010-02-18,4133,2601,2608,0,1232,459,0,240,228,19,84,747,96,63,53,22,327,1,0
2010-02-19,5079,7931,669,0,1172,418,0,503,190,15,74,714,74,58,63,2,144,2,0
2010-02-20,8059,3291,696,0,914,295,0,211,99,7,40,527,36,56,5,0,41,0,0
2010-02-21,3938,2823,1101,0,1169,263,0,140,71,5,32,809,320,58,58,0,22,1,0
2010-02-22,2810,825,2597,2,1591,527,0,332,96,7,134,584,245,70,125,7,70,3,0
2010-02-23,2341,810,1087,270,1272,446,0,254,131,80,67,772,105,70,81,7,57,5,0
2010-02-24,2731,669,818,199,264,343,0,234,90,74,45,86,567,60,477,6,33,3,0
2010-02-25,2623,2056,857,225,19,407,0,486,165,118,100,112,753,73,127,41,32,1,0
2010-02-26,1259,3374,468,423,1292,558,0,281,78,117,41,381,1314,62,24,27,84,0,0
2010-02-27,1418,123,78,443,1054,426,0,175,37,106,100,1028,847,59,20,3,14,4,0
2010-02-28,2038,2708,294,106,647,516,0,174,35,71,202,524,404,56,22,13,52,4,0
2010-03-01,3742,1415,817,62,984,541,0,173,105,305,142,95,403,59,65,49,27,3,0
2010-03-02,8139,413,816,103,697,466,0,2632,185,11,322,236,201,58,36,54,70,5,0
2010-03-03,4413,1116,1557,143,3,479,0,1981,125,31,123,815,168,57,38,59,122,5,0
2010-03-04,4331,1109,1013,318,2,594,0,1367,200,27,72,268,154,60,52,80,114,5,0
2010-03-05,1762,760,1098,425,3,513,0,177,253,74,197,86,243,60,49,10,8,8,0
2010-03-06,4356,2734,1251,95,424,525,0,209,223,124,19,515,133,54,25,8,18,0,0
2010-03-07,4825,3517,2739,741,558,614,0,156,230,47,17,274,152,52,41,6,41,2,0
2010-03-08,8630,10440,951,504,1715,635,0,197,164,46,154,79,199,63,13,17,35,3,0
2010-03-09,10127,10449,1218,374,1442,626,0,240,160,37,251,74,142,68,51,50,44,3,0
2010-03-10,5519,2451,841,300,2,638,0,189,158,12,40,47,168,69,37,82,23,2,0
2010-03-11,3871,2442,2057,135,36,423,0,125,180,10,52,141,178,63,26,114,20,9,0
2010-03-12,5260,2586,775,561,1086,433,0,93,71,9,99,253,115,61,21,39,14,3,0
2010-03-13,6133,323,601,97,791,156,0,46,69,1,130,1395,75,55,7,28,6,0,0
2010-03-14,18800,424,422,84,625,170,0,44,51,21,22,581,86,51,43,64,13,0,0
2010-03-15,24905,3041,845,176,1031,620,0,106,83,0,31,339,125,63,103,37,16,1,0
2010-03-16,12586,1617,719,211,1446,130,0,74,203,34,33,600,495,53,42,23,76,4,0
2010-03-17,4430,1172,99,121,27,689,0,168,167,44,94,578,182,41,0,2,112,6,0
2010-03-18,19891,5488,1132,155,365,661,0,141,207,36,68,100,1434,63,78,6,21,7,0
2010-03-19,14771,2697,590,142,1816,562,0,204,158,47,23,46,479,59,66,7,11,5,0
2010-03-20,10053,2233,851,195,1357,346,0,195,82,48,58,81,108,53,29,0,6,9,0
