Day,[NICS KRAKEN] CPU Hours: Per Job,[TACC STAMPEDE] CPU Hours: Per Job,[TACC LONESTAR4] CPU Hours: Per Job,[NICS DARTER] CPU Hours: Per Job,[SDSC GORDON] CPU Hours: Per Job,[GATECH KEENELAND] CPU Hours: Per Job,[PSC BLACKLIGHT] CPU Hours: Per Job,[TACC LONGHORN] CPU Hours: Per Job,[NICS NAUTILUS] CPU Hours: Per Job,[SDSC TRESTLES] CPU Hours: Per Job,[TACC MAVERICK2] CPU Hours: Per Job,[GATECH KIDS] CPU Hours: Per Job
2014-02-01,1083.89646749,156.18301875,308.69555644,0,322.90409619,119.83367710,413.21141575,42.13262727,0,225.66888819,0,53.24145833
2014-02-02,673.99213129,153.50987833,306.07335552,0,289.40593435,101.53160313,404.93867338,154.79450526,0,54.86305951,0,50.21344722
2014-02-03,546.03347458,375.07546513,230.98730530,0,221.78072735,124.78020826,302.61248900,47.88806667,0,63.38554363,0,16.57965596
2014-02-04,603.26416248,442.83048228,224.47037415,0,179.70288049,307.62279031,324.82405680,70.92914262,0,112.50555550,0,29.47564500
2014-02-05,753.57587385,268.16612081,231.50653263,0,114.57371510,188.27058413,256.56659887,274.97585000,0,142.01265332,0,15.53737671
2014-02-06,773.42040312,264.84692980,205.14802334,0,96.98845067,94.67714400,251.13258571,166.38425000,0,187.31477717,0,20.48284390
2014-02-07,1166.43290346,387.44976838,283.77558961,0,88.51760178,168.32775776,249.12274771,173.01240625,0,149.53790789,0,12.30256456
2014-02-08,1406.29565777,193.72533405,553.74716763,0,321.63025767,285.82203522,218.40322489,490.85508947,0,207.74802943,0,8.79776231
2014-02-09,1261.52817086,134.28722421,191.90534733,0,251.88898611,171.25770000,241.09937321,213.25496842,0,193.91957636,0,12.50543133
2014-02-10,1185.71096255,244.14449182,157.75502384,0,295.48505870,169.68344500,216.83849046,62.15496197,0,132.35604410,0,2.92436425
2014-02-11,977.89146382,346.57564881,210.19472727,0,141.45644657,46.69651429,289.07209639,34.39135955,0,152.28738408,0,0
2014-02-12,780.65853983,350.94184112,231.89286486,0,236.27927515,74.92238476,247.42921330,85.49648167,0.80534000,63.77517418,0,0.88876667
2014-02-13,803.89521709,284.17776311,384.83946410,0,268.27645809,90.86945246,207.32401371,20.86217234,2.90118929,70.23876083,0,0.98266971
2014-02-14,987.43246546,474.58923099,257.37644417,0,258.18701865,162.90859381,447.03592667,53.59749032,3.56480000,127.60797789,0,2.08308593
2014-02-15,1182.70722567,113.65762715,295.80011492,0,235.14669365,306.74749286,361.89665575,125.28027317,1.64516667,132.94208308,0,18.23545952
