Day,[LONI QUEENBEE] CPU Hours: Per Job,[TACC RANGER] CPU Hours: Per Job,[NICS KRAKEN] CPU Hours: Per Job,[TACC LONESTAR4] CPU Hours: Per Job,[PSC BLACKLIGHT] CPU Hours: Per Job,[GATECH KEENELAND] CPU Hours: Per Job,[TACC LONGHORN] CPU Hours: Per Job,[NICS NAUTILUS] CPU Hours: Per Job,[SDSC TRESTLES] CPU Hours: Per Job,[SDSC GORDON] CPU Hours: Per Job,[SDSC DASH] CPU Hours: Per Job,[NCSA FORGE] CPU Hours: Per Job,[TACC SPUR] CPU Hours: Per Job,[PURDUE STEELE] CPU Hours: Per Job,[PURDUE CONDOR] CPU Hours: Per Job
2012-02-01,1.65422000,745.41885438,955.69792009,286.08380782,196.62379091,0,337.72202826,196.54651250,61.25237360,0,2.89110000,29.62497705,14.40440000,11.77586838,1.34421510
2012-02-02,336.19853333,569.03454479,1628.81806905,232.75967521,235.27502133,0,177.31771842,242.76775789,67.22819677,0,256.46220000,26.23745909,2.31219512,5.78562575,2.63965647
2012-02-03,6144.00000000,585.19770574,768.50018245,162.79630498,279.14238446,0,133.85608696,129.53669167,125.26416294,0,259.80440000,23.81836776,17.10890000,7.10402172,5.99193082
2012-02-04,4173.01330000,836.83220194,1766.56396164,579.67512457,227.33730333,0,191.48743913,196.38843729,150.02835264,0,0,64.30055303,0,13.57964334,2.50130840
2012-02-05,1246.45720000,793.16953757,1908.95713925,318.80062419,461.51816429,0,521.40658000,80.53623043,134.37560526,0,0,86.75965556,5.18220000,13.75481286,2.63547500
2012-02-06,333.66819474,580.98105014,1350.56850063,414.97928004,352.18178394,0,414.82666429,209.21123036,76.95764014,0,0,29.23902640,5.83841429,11.70566236,1.79708333
2012-02-07,439.58854615,722.38536050,1449.99316908,220.33823647,379.16579880,0,215.69651842,193.91680625,45.21509517,0,140.49780000,44.27200833,12.33222500,8.76550467,0.59533057
2012-02-08,686.69267000,638.94537119,1351.60276889,883.58589653,178.28938203,0,147.91699189,143.55628864,95.22061254,0,3.81456667,38.55084402,27.87260000,6.92509951,3.76106575
2012-02-09,273.64577600,737.95321048,1514.22267193,267.83096092,212.85477022,0,73.52220090,236.40663529,87.94240735,0,9.41776667,35.53778765,9.52670000,9.08926578,5.30033133
2012-02-10,256.12974231,547.94790659,1031.75556743,238.82689260,263.35891194,0,100.79218158,224.27793412,103.77524820,0,0,19.88966274,18.91408333,13.78691018,4.02218095
2012-02-11,97.66328358,889.49651539,2515.42072572,222.60785330,472.73295000,0,308.00583725,241.04528448,114.81682533,0,0,15.27857349,5.92465238,19.72876050,0.08055714
2012-02-12,649.84615385,917.90261429,2573.36331213,289.15349515,301.36011460,0,446.43905385,534.92713158,105.85711964,0,112.82667500,16.21510381,8.16222778,27.17028603,0.00472000
2012-02-13,450.25124118,467.79940643,1301.99018738,227.50576343,370.33516793,0,125.72636092,189.92824040,100.91589180,0,148.74000000,15.77174951,20.97896000,28.43680035,4.09097250
2012-02-14,6144.00000000,630.73691027,1625.90637123,234.21011919,341.28803733,0,87.26721481,244.73872727,97.80491228,0,356.08296667,15.99238937,23.39278750,15.70315332,9.44375000
2012-02-15,5631.66392500,517.04231174,1630.74548285,193.05878074,378.40071050,0,39.23913293,277.07971795,84.99600262,0,4.08361250,58.72399014,7.44000000,13.92587738,10.09041750
2012-02-16,12449.00443333,433.95343537,1813.96119234,469.22661172,394.82763814,0,104.64722857,161.48082308,97.23081992,0,0,46.99288632,54.24665000,29.79911016,0.68793657
2012-02-17,3932.66666000,398.30851093,1813.33699445,122.49142806,373.38481043,0,126.57146782,248.21340678,90.31032928,0,0,55.85997681,23.65000000,31.88266156,1.01720018
2012-02-18,18432.00000000,1418.99248318,2874.75312114,913.49201818,568.61089220,0,384.64388750,434.96198966,49.05005026,0,0,124.38828286,0,49.51341349,8.00459762
2012-02-19,11699.73923333,382.76379578,2176.64438241,477.37546443,418.53359858,0,337.90263488,115.20111000,57.83789911,0,2.18665000,92.19508947,17.45578889,18.35485035,1.65189545
2012-02-20,10142.20000000,262.34212438,2549.10913954,326.85805147,412.93412582,0,143.58896429,297.08849118,54.42011387,0,0,24.82726849,33.57510000,108.82589091,0.86874510
2012-02-21,7372.84978000,487.27004847,2028.98077494,362.65215325,246.23259303,0,100.52809286,282.09790000,108.87051314,0,0,15.32376571,11.35555000,114.41645156,1.89863561
2012-02-22,2203.83260000,471.80249958,1396.79652447,280.69207921,364.88790492,0,185.09498065,135.62666635,72.77989973,0,0,41.84011009,34.52622000,62.49291625,0.61818493
2012-02-23,2245.15890000,419.49303676,8272.72628542,494.30621395,379.19200390,0,236.51423378,130.34133656,64.36440709,0,0,69.39964286,27.93086667,5.87508071,0.98338966
2012-02-24,5351.28296667,310.00517392,23651.69465088,277.62503923,374.31551733,0,390.10150893,47.21957925,74.60049897,0,0,21.44023312,30.13432222,4.17115823,7.51198955
2012-02-25,6037.80743333,554.86119863,15998.31806982,413.62281793,488.68350795,0,441.99579286,0,66.64627015,0,0,12.67064825,0,4.35193605,1.78601833
2012-02-26,18432.00000000,342.36577968,2386.33047392,264.76399965,490.79340732,0,338.86954074,0,71.17915407,0,0,33.73250469,0,19.03956785,0.09135625
2012-02-27,1055.36905000,387.53756100,1245.27338262,355.44347744,264.54712439,0,205.02012037,484.50455122,55.90238714,0,0,32.55555431,17.60890000,39.48589698,0.03416250
2012-02-28,864.07332500,319.04343313,1055.60679501,107.55756888,219.52646750,0,198.91306863,164.67578790,65.62920342,0,0,73.26520833,36.58490000,24.61647642,4.74291353
2012-02-29,484.08127143,410.97583616,1069.86629745,1040.15252286,220.90485290,0,130.41787500,189.98658353,71.83823891,0,0,85.74169211,2.56549605,9.70848570,5.22069432
2012-03-01,1152.00000000,501.46639766,1253.58880842,204.22224391,362.79951020,0,117.42179444,165.56449647,131.52686970,0,0,24.73743074,3.15725091,5.43190638,3.37613333
2012-03-02,3380.11047143,472.47955710,1683.49824431,221.34200088,286.15281647,0,147.71349643,205.79883250,126.17737753,0,0,94.92619200,9.33333182,5.61861931,8.55750000
2012-03-03,3007.41777647,455.93332059,1580.75722840,1399.33380714,131.89765245,0,155.41804400,239.60270333,119.11005262,0,0,126.02860185,23.27998571,15.99867158,10.71450556
2012-03-04,2464.16829333,457.16907127,1955.23532286,1394.47920256,207.24373707,0,93.36272000,336.27097879,76.91296688,0,0,26.85419102,4.89693095,27.60281707,0.28772222
2012-03-05,5056.00000000,465.59520205,1793.95248596,559.19646722,181.79931889,0,104.02363171,239.35172963,67.83002353,294.88282706,0,58.56649560,0.44235294,19.57838559,6.06033750
2012-03-06,2276.59111250,435.59168784,1873.34865259,450.24398921,150.44756974,0,169.44270000,153.21587903,89.71264450,134.03305497,0,67.81806034,0,12.19062060,5.64986242
2012-03-07,878.20249375,473.02819804,932.08943249,311.12766964,155.33628715,0,289.20301887,126.10776400,45.35769912,273.51832581,0,69.07486463,19.13110000,26.31723401,2.07305531
