title
"CPU Hours: Per Job: by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[SDSC TRESTLES] CPU Hours: Per Job","[NICS KRAKEN] CPU Hours: Per Job","[NCAR FROST] CPU Hours: Per Job","[TACC RANGER] CPU Hours: Per Job","[NICS ATHENA] CPU Hours: Per Job","[TACC LONGHORN] CPU Hours: Per Job","[NCSA LINCOLN] CPU Hours: Per Job","[LONI QUEENBEE] CPU Hours: Per Job","[PSC POPLE] CPU Hours: Per Job","[SDSC DASH] CPU Hours: Per Job","[TACC LONESTAR] CPU Hours: Per Job","[PSC BLACKLIGHT] CPU Hours: Per Job","[NCSA ABE] CPU Hours: Per Job","[IU BIGRED*] CPU Hours: Per Job","[NICS NAUTILUS] CPU Hours: Per Job","[TACC SPUR] CPU Hours: Per Job","[PURDUE STEELE] CPU Hours: Per Job","[NCSA COBALT] CPU Hours: Per Job","[PURDUE CONDOR] CPU Hours: Per Job","[NCSA EMBER*] CPU Hours: Per Job","[ORNL NSTG] CPU Hours: Per Job"
2010-08-01,0,2000.28997242,9521.51901111,891.16267241,2234.25113622,0.28376970,303.64555833,254.22660979,126.94160075,0,390.11422406,0,60.54426283,15.28814022,0,17.23288000,19.53077459,6.06819955,15.66942483,0,0.00417255
2010-08-02,0,1713.18874085,1037.63244035,984.67691484,2225.62329171,27.10069231,80.95684651,3.50850827,177.28552255,0,437.27708701,0,40.50068684,8.20996024,0,9.74833750,9.02798784,5.18745918,12.79939862,0,0.00768333
2010-08-03,0,1676.98583023,850.78558222,891.77032285,1773.75243606,14.43407778,212.93892593,101.45926634,104.66288323,0,409.05761139,0,70.34555368,36.63446000,0,14.33067000,11.96663833,6.10628980,3.78885274,0,0.01094706
2010-08-04,0,5439.14222993,5016.17333750,1153.66353912,1838.49588970,13.02470588,53.52529741,6.01366566,130.64333511,0,250.67307703,0,89.15728913,49.99030732,0,64.20000000,16.52886875,6.09882677,50.21791585,0,0.00781333
2010-08-05,0,2887.24939483,1689.27179231,1030.73780240,2575.42852874,49.61511000,95.18129870,92.33678131,86.34888687,2.41837333,257.03631862,0,105.92447418,46.95737458,0,32.93406667,25.58917145,6.99944150,6.67671004,0,0.00935385
2010-08-06,0,1915.50595621,2672.86813750,777.16969723,4137.23258835,36.97522857,108.65985735,296.39605769,166.89266262,28.24750444,299.28948238,0,82.30024085,43.94914632,0,31.79256667,22.68759709,5.89390679,18.14652007,0,0.00818000
2010-08-07,0,3331.72942572,3664.16266000,591.86040957,4915.26453690,0,99.66951509,656.91224375,169.41318496,29.38949455,269.26924483,0,97.37443323,40.47825696,0,2.40890000,25.56004015,4.29960882,22.33037339,0,0.00735294
2010-08-08,0,2766.77606550,3558.96635714,343.99870474,4611.30012759,8.02370000,186.56321500,550.79785915,147.22858523,37.72942414,293.84944502,0,140.55845184,16.04982850,0,64.13330000,32.26972962,5.13997435,4.81171789,0,0.00866923
2010-08-09,0,1993.49496849,950.59327179,966.24502036,3978.58078529,32.46405455,80.94719571,350.46572286,115.83190840,0,383.10490043,0,103.95042013,24.48323765,0,0.48556250,31.89552150,3.87834754,6.27856500,0,0.00602308
2010-08-10,0,2184.53521916,3215.71003793,864.13184300,3562.42389828,12.73840952,103.52643707,294.16995440,104.08913988,0,411.30132622,0,112.83741505,27.00481404,0,0,31.69022852,7.53508894,16.62636272,0,0.00788667
2010-08-11,0,9018.76657758,1299.62292632,671.82202227,2421.40441098,9.40101667,159.64797500,267.67390940,101.31569763,0,239.66341024,0,89.11289927,17.51842617,0,18.82222500,31.95367485,6.02331793,11.55589637,0,1.79366957
2010-08-12,0,40880.69220000,925.41959836,660.96882227,3630.15577043,0,93.72827263,269.09919186,110.93440000,0,183.42002615,0,132.56385253,25.91477909,0,7.32381429,17.40822576,4.96769870,14.30723216,0,0.00430625
2010-08-13,0,5148.83970184,1419.00606364,817.87771505,3637.86566638,5.55353409,67.34895455,201.38858571,106.53699518,12.36666667,345.07634962,0,128.69687964,35.71688763,0,14.26310000,18.62885578,5.01007283,33.52592198,0,0.81898800
2010-08-14,0,6098.97998237,2556.98490000,1037.35081030,2578.97384808,30.11560000,64.00895781,333.89976137,152.78438609,31.27301429,215.80620891,0,226.80838408,33.47505688,0,17.10332500,12.05670140,8.41691020,11.06837252,0,0.00407500
2010-08-15,0,2523.82594107,1666.88593333,430.21493854,738.19854545,86.65780000,143.69008077,328.16166835,150.81279500,80.43110000,223.48840710,0,187.03204597,33.52000000,0,31.67480000,12.96343338,7.75836467,18.70611894,0,0.00385490
