title
"CPU Hours: Per Job: by Resource"
parameters

start,end
2013-08-01,2014-01-31
---------
Day,"[NICS KRAKEN] CPU Hours: Per Job","[GATECH KEENELAND] CPU Hours: Per Job","[PSC BLACKLIGHT] CPU Hours: Per Job","[TACC STAMPEDE] CPU Hours: Per Job","[SDSC GORDON] CPU Hours: Per Job","[SDSC TRESTLES] CPU Hours: Per Job","[TACC LONESTAR4] CPU Hours: Per Job","[NICS NAUTILUS] CPU Hours: Per Job","[PURDUE STEELE] CPU Hours: Per Job","[TACC LONGHORN] CPU Hours: Per Job","[GATECH KIDS] CPU Hours: Per Job","[PURDUE CONDOR] CPU Hours: Per Job"
2013-08-01,1424.35143616,416.64154914,194.37896471,68.70959503,121.27134171,125.41760266,468.87842692,253.28519692,27.91079310,47.68900000,0,2.80494762
2013-08-02,1163.56789792,415.66901055,105.65996044,99.95083522,122.25009167,235.07822527,336.24177655,436.93567368,31.74267877,118.45555833,0,5.81395750
2013-08-03,1337.84850586,455.07252275,121.50789533,83.93292970,112.07894516,242.76854246,375.76503893,86.71822000,141.01918812,105.40232174,0,1.06171833
2013-08-04,1493.84173706,471.77567062,188.16344694,82.95584168,193.64795016,199.43455213,551.33204047,172.52721667,109.82422857,288.73681429,0,1.54944500
2013-08-05,1152.02375528,116.52665729,173.86450000,95.93884794,162.22218658,162.28177384,405.79997282,139.87301429,60.60939926,353.19110000,0,1.96604032
2013-08-06,1039.31842022,271.27938440,210.29762857,100.33676373,100.01790428,135.05637711,391.59585165,120.46820769,143.52651026,83.31985484,0,3.68139764
2013-08-07,580.30836035,422.08353591,282.04765897,281.01141327,129.25245802,62.92151924,307.83933227,153.00029333,105.65411111,32.64752483,0,1.83762757
2013-08-08,1459.45835761,693.44478769,149.67152763,330.11249551,151.93513894,130.49609403,317.98911888,364.08548333,66.92910909,14.75003361,0,2.36452347
2013-08-09,1293.83723058,858.79711905,129.67580059,314.87379906,111.99138373,167.63375807,252.35892077,680.23992414,101.36973611,26.09294118,0,0.96118505
2013-08-10,808.42400171,1068.27402414,135.90085011,269.86923645,105.10475837,473.07893954,452.23254431,274.06841579,143.83693667,26.08548715,0,4.28954301
2013-08-11,513.64863476,1110.93839367,134.32586892,264.34031755,128.34847544,363.11581726,413.17204282,16.75560000,98.13969310,23.75428653,0,3.49302343
2013-08-12,833.72863679,199.35565206,278.43315540,199.20666572,102.78837442,131.00816440,200.15642716,82.95687568,143.87070769,17.74010968,0.01330000,4.52708333
2013-08-13,1125.17117395,311.83784485,264.65304115,81.40053463,207.20018335,105.14472747,297.24474803,193.04323636,139.19289000,115.99365625,0.09530602,4.46822267
2013-08-14,1335.03320798,431.23097309,313.10140132,127.76552610,374.25501250,149.11916862,365.22172817,191.82624286,110.91614444,16.37129438,0.71720822,0.66699084
2013-08-15,920.45285322,1016.25075682,204.27271831,112.66468576,239.94084515,137.43779225,277.84225705,141.42903571,192.00000000,19.15935109,10.28494286,22.74194444
2013-08-16,752.74844832,617.13622968,282.26374177,125.62115523,154.82955426,97.49318959,240.86869308,88.98543500,192.00000000,22.66412246,7.99935000,0.05881364
2013-08-17,975.31882236,346.75049851,1026.19838936,80.91381653,171.40806608,79.29462477,260.25989570,64.22887500,170.72844000,17.40236500,7.11316000,0
2013-08-18,801.57824417,214.00010585,246.51595758,52.76474805,73.56675828,110.65365844,431.70591650,141.05500000,192.00000000,11.34234968,0,0.81235263
2013-08-19,592.01185336,265.28733218,87.43658876,81.91625175,107.73000089,106.01032112,317.55920379,104.09640588,14.97300377,11.94770370,7.42767857,0.54359091
2013-08-20,457.31797083,493.75557929,133.01713917,88.00943482,0.08000000,143.16312144,363.90129167,116.80381429,192.00000000,70.64690357,5.36815714,0.22199028
2013-08-21,274.84111734,416.07962043,106.71802984,135.77211074,25.12006588,164.75714062,256.56444060,81.45527813,178.14055000,41.38623257,4.46006944,1.86507711
2013-08-22,952.13143927,271.70118165,111.92752685,657.82680882,116.17038606,115.62469098,323.59827945,93.12457273,21.98520000,191.75539643,4.67408571,1.69627292
2013-08-23,536.54032622,481.31049590,225.94162818,201.94514024,109.63376136,214.55478500,359.15758826,109.65773333,0,50.05202680,4.58916667,1.07532491
2013-08-24,880.89150382,902.46147917,123.47604809,171.03869130,145.35763766,344.35103584,331.13821179,218.21137647,0,40.76142553,5.68830000,0.45780496
2013-08-25,1158.80521266,638.36797717,100.74511975,161.21856218,106.05081713,257.85182959,150.23956756,22.22050571,0,43.90783785,0,4.16013917
2013-08-26,665.48694450,186.04117814,988.69015714,172.20717906,141.05499268,165.29035323,181.29875784,10.25657500,0,162.10938222,17.74768889,0.83813512
2013-08-27,678.54388808,241.63418803,207.97015370,253.21080166,134.88544778,190.21772489,216.75581894,179.67075200,0,15.02991589,18.05695000,5.54966800
2013-08-28,814.37128058,208.78877185,297.96730432,367.29915618,59.29176770,188.17817111,310.38356094,5.64529667,0,15.01985816,9.86064444,3.01636164
2013-08-29,1050.71952731,219.98781718,168.01922730,439.87297472,79.38271702,234.31814945,340.43160158,3.29780220,0,43.73994146,34.60875000,0
2013-08-30,708.73518399,175.43094541,283.76708545,433.87561496,108.66665896,184.43546348,259.75276822,4.77810970,0,15.48416788,39.56000000,6.48826458
2013-08-31,2176.99342054,262.32085106,1056.54804828,533.39904750,166.27359260,365.91164342,141.53688880,81.37963179,0,48.47555517,0,0
2013-09-01,1892.32821621,180.66995465,973.08055000,415.88571903,132.85470006,410.61819370,126.97302447,40.43195072,0,16.08335263,0,17.12555556
2013-09-02,937.01138469,521.46473976,177.18496667,499.53699686,113.88869275,250.54843601,230.14451462,58.35420093,0,81.04791875,0,0.05214545
2013-09-03,863.36188514,494.20385333,366.15173764,359.68805911,116.81443063,56.19284166,175.91467141,57.71032199,0,41.52170769,0.33056667,8.85902917
2013-09-04,1335.47301141,366.80330058,275.83805628,373.81285969,150.07921024,120.64454980,169.16295292,47.40793929,0,57.44208788,2.72769524,0.01670000
2013-09-05,1055.59179849,152.82393261,251.78977113,443.85014705,181.21386677,216.09158538,39.53720628,30.39547333,0,108.51174286,0,6.71250000
2013-09-06,709.85615422,510.68436983,130.03961701,681.22839585,168.15031901,130.58901399,93.12362603,38.45055033,0,132.19282308,0,1.50177447
2013-09-07,643.61293332,481.97998367,267.35592947,643.34528048,149.43861056,224.94319519,211.68072099,38.70859006,0,32.75333182,0,2.54222143
2013-09-08,927.56100519,371.60870748,251.36327268,380.86808921,159.54964536,143.73819005,142.05182105,35.35615333,0,167.13717273,0,0
2013-09-09,832.58705936,294.58271963,256.32280920,325.67064560,92.62204874,186.86987980,102.64734532,36.32676818,0,118.27504615,0,5.22867813
2013-09-10,880.17311898,260.18933273,340.11695449,339.32779949,127.07750709,135.12842850,144.29307448,443.88748750,0,49.09899677,4.06652174,0.01417500
2013-09-11,1053.12398776,312.13716569,276.44567514,707.68256994,122.54527269,119.58288492,84.30835310,592.21296667,0,17.39832857,5.17512143,0.04610000
2013-09-12,874.35036935,255.52315190,364.86288311,485.25255351,165.64057343,126.72517772,65.16669216,40.35475625,0,13.24140640,18.06055000,0.08698739
2013-09-13,875.79009349,276.32657288,238.07657701,486.56386857,144.70756405,141.64410829,56.80600880,73.47277500,0,14.16407908,15.16635000,0.11360833
